type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,88745136199700.0,DRKH,Pride1_Sense1
QUEUE,Tokenize1,Pride1,88745136199500.0,DRKH,Pride1_Sense1
START,Tokenize2,Sense1,88745136552700.0,DRKH,Pride1_Sense1
START,Tokenize1,Pride1,88745136620700.0,DRKH,Pride1_Sense1
STOP,Tokenize2,Sense1,88745157849100.0,DRKH,Pride1_Sense1
STOP,Tokenize1,Pride1,88745157903600.0,DRKH,Pride1_Sense1
QUEUE,Collect2,Sense1,88745159920000.0,DRKH,Pride1_Sense1
QUEUE,Collect1,Pride1,88745159920300.0,DRKH,Pride1_Sense1
START,Collect2,Sense1,88745160164000.0,DRKH,Pride1_Sense1
START,Collect1,Pride1,88745160239400.0,DRKH,Pride1_Sense1
STOP,Collect2,Sense1,88745176599300.0,DRKH,Pride1_Sense1
STOP,Collect1,Pride1,88745177348400.0,DRKH,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,88745179353500.0,DRKH,Pride1_Sense1
START,ComputeScalar2,Sense1,88745179748500.0,DRKH,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,88745179353400.0,DRKH,Pride1_Sense1
START,ComputeScalar1,Pride1,88745180093300.0,DRKH,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,88745180419000.0,DRKH,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,88745180573400.0,DRKH,Pride1_Sense1
STOP,ComputeScalar2,Sense1,88745181319200.0,DRKH,Pride1_Sense1
STOP,ComputeScalar1,Pride1,88745181353700.0,DRKH,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,88745394669200.0,DRKH,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,88745395132200.0,DRKH,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,88745395345600.0,DRKH,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,88745395480000.0,DRKH,Pride1_Sense1
QUEUE,Tokenize2,Sense2,88745397116400.0,DRKH,Pride1_Sense2
QUEUE,Tokenize1,Pride1,88745397361700.0,DRKH,Pride1_Sense2
START,Tokenize2,Sense2,88745397359100.0,DRKH,Pride1_Sense2
START,Tokenize1,Pride1,88745397525500.0,DRKH,Pride1_Sense2
STOP,Tokenize1,Pride1,88745401836200.0,DRKH,Pride1_Sense2
QUEUE,Collect1,Pride1,88745402177300.0,DRKH,Pride1_Sense2
START,Collect1,Pride1,88745402331800.0,DRKH,Pride1_Sense2
STOP,Tokenize2,Sense2,88745405090700.0,DRKH,Pride1_Sense2
QUEUE,Collect2,Sense2,88745405457300.0,DRKH,Pride1_Sense2
START,Collect2,Sense2,88745405585700.0,DRKH,Pride1_Sense2
STOP,Collect1,Pride1,88745406209000.0,DRKH,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,88745406505200.0,DRKH,Pride1_Sense2
START,ComputeScalar1,Pride1,88745406675100.0,DRKH,Pride1_Sense2
STOP,ComputeScalar1,Pride1,88745408358500.0,DRKH,Pride1_Sense2
STOP,Collect2,Sense2,88745412628700.0,DRKH,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,88745413033200.0,DRKH,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,88745413042700.0,DRKH,Pride1_Sense2
START,ComputeScalar2,Sense2,88745413216300.0,DRKH,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,88745413334700.0,DRKH,Pride1_Sense2
STOP,ComputeScalar2,Sense2,88745415213200.0,DRKH,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,88745800161900.0,DRKH,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,88745800746600.0,DRKH,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,88745800979300.0,DRKH,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,88745801097300.0,DRKH,Pride1_Sense2
QUEUE,Tokenize2,Sense3,88745802919400.0,DRKH,Pride1_Sense3
QUEUE,Tokenize1,Pride1,88745802922900.0,DRKH,Pride1_Sense3
START,Tokenize2,Sense3,88745803102000.0,DRKH,Pride1_Sense3
START,Tokenize1,Pride1,88745803205300.0,DRKH,Pride1_Sense3
STOP,Tokenize1,Pride1,88745806615900.0,DRKH,Pride1_Sense3
QUEUE,Collect1,Pride1,88745806855800.0,DRKH,Pride1_Sense3
START,Collect1,Pride1,88745807007900.0,DRKH,Pride1_Sense3
STOP,Collect1,Pride1,88745809056800.0,DRKH,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,88745809423900.0,DRKH,Pride1_Sense3
START,ComputeScalar1,Pride1,88745809553300.0,DRKH,Pride1_Sense3
STOP,ComputeScalar1,Pride1,88745810143700.0,DRKH,Pride1_Sense3
STOP,Tokenize2,Sense3,88745814756200.0,DRKH,Pride1_Sense3
QUEUE,Collect2,Sense3,88745815187900.0,DRKH,Pride1_Sense3
START,Collect2,Sense3,88745815386300.0,DRKH,Pride1_Sense3
STOP,Collect2,Sense3,88745822545600.0,DRKH,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,88745823038900.0,DRKH,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,88745823218900.0,DRKH,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,88745823037700.0,DRKH,Pride1_Sense3
START,ComputeScalar2,Sense3,88745823401200.0,DRKH,Pride1_Sense3
STOP,ComputeScalar2,Sense3,88745826346700.0,DRKH,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,88746344655300.0,DRKH,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,88746345064500.0,DRKH,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,88746345290100.0,DRKH,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,88746345369900.0,DRKH,Pride1_Sense3
QUEUE,Tokenize1,Pride1,88746346949800.0,DRKH,Pride1_Sense4
QUEUE,Tokenize2,Sense4,88746347011800.0,DRKH,Pride1_Sense4
START,Tokenize1,Pride1,88746347180600.0,DRKH,Pride1_Sense4
START,Tokenize2,Sense4,88746347282400.0,DRKH,Pride1_Sense4
STOP,Tokenize1,Pride1,88746350812300.0,DRKH,Pride1_Sense4
QUEUE,Collect1,Pride1,88746351076100.0,DRKH,Pride1_Sense4
START,Collect1,Pride1,88746351275700.0,DRKH,Pride1_Sense4
STOP,Collect1,Pride1,88746353736600.0,DRKH,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,88746354098600.0,DRKH,Pride1_Sense4
START,ComputeScalar1,Pride1,88746354300300.0,DRKH,Pride1_Sense4
STOP,ComputeScalar1,Pride1,88746355334600.0,DRKH,Pride1_Sense4
STOP,Tokenize2,Sense4,88746369896300.0,DRKH,Pride1_Sense4
QUEUE,Collect2,Sense4,88746370373700.0,DRKH,Pride1_Sense4
START,Collect2,Sense4,88746370519000.0,DRKH,Pride1_Sense4
STOP,Collect2,Sense4,88746397828100.0,DRKH,Pride1_Sense4
QUEUE,ComputeScalar2,Sense4,88746398282900.0,DRKH,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,88746398274100.0,DRKH,Pride1_Sense4
START,ComputeScalar2,Sense4,88746398474600.0,DRKH,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,88746398509100.0,DRKH,Pride1_Sense4
STOP,ComputeScalar2,Sense4,88746402808800.0,DRKH,Pride1_Sense4
STOP,ComputeScalar3,Pride1_Sense4,88747750615300.0,DRKH,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,88747751387100.0,DRKH,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,88747751629500.0,DRKH,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,88747751759800.0,DRKH,Pride1_Sense4
QUEUE,Tokenize2,Sense5,88747753683000.0,DRKH,Pride1_Sense5
QUEUE,Tokenize1,Pride1,88747753683000.0,DRKH,Pride1_Sense5
START,Tokenize2,Sense5,88747753880800.0,DRKH,Pride1_Sense5
START,Tokenize1,Pride1,88747754135000.0,DRKH,Pride1_Sense5
STOP,Tokenize1,Pride1,88747759789100.0,DRKH,Pride1_Sense5
QUEUE,Collect1,Pride1,88747760246200.0,DRKH,Pride1_Sense5
START,Collect1,Pride1,88747760500500.0,DRKH,Pride1_Sense5
STOP,Collect1,Pride1,88747770519000.0,DRKH,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1,88747771212200.0,DRKH,Pride1_Sense5
START,ComputeScalar1,Pride1,88747771553400.0,DRKH,Pride1_Sense5
STOP,ComputeScalar1,Pride1,88747772571800.0,DRKH,Pride1_Sense5
STOP,Tokenize2,Sense5,88747803842600.0,DRKH,Pride1_Sense5
QUEUE,Collect2,Sense5,88747804326000.0,DRKH,Pride1_Sense5
START,Collect2,Sense5,88747804473600.0,DRKH,Pride1_Sense5
STOP,Collect2,Sense5,88747839889900.0,DRKH,Pride1_Sense5
QUEUE,ComputeScalar3,Pride1_Sense5,88747840299800.0,DRKH,Pride1_Sense5
QUEUE,ComputeScalar2,Sense5,88747840298400.0,DRKH,Pride1_Sense5
START,ComputeScalar3,Pride1_Sense5,88747840462500.0,DRKH,Pride1_Sense5
START,ComputeScalar2,Sense5,88747840707100.0,DRKH,Pride1_Sense5
STOP,ComputeScalar2,Sense5,88747848660700.0,DRKH,Pride1_Sense5
STOP,ComputeScalar3,Pride1_Sense5,88749841265000.0,DRKH,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,88749841618600.0,DRKH,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,88749841763600.0,DRKH,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,88749841900800.0,DRKH,Pride1_Sense5
QUEUE,Tokenize1,Pride1,88749845089600.0,DRKH,Pride1_Sense6
QUEUE,Tokenize2,Sense6,88749845112300.0,DRKH,Pride1_Sense6
