kind,name,id,time,team
Start,Tokenize,Pride1,5996346185256,Achilleus
Start,Tokenize,Sense1,5996356577060,Achilleus
End,Tokenize,Pride1,5996371239060,Achilleus
Start,Collect,Pride1,5996371465559,Achilleus
End,Collect,Pride1,5996388738955,Achilleus
Start,ComputeScalar,Pride1,5996388975367,Achilleus
End,Tokenize,Sense1,5996389483915,Achilleus
End,ComputeScalar,Pride1,5996390176855,Achilleus
Start,Collect,Sense1,5996390315547,Achilleus
Start,ComputeCosine,Pride1_Sense1,5996390357456,Achilleus
End,Collect,Sense1,5996404646282,Achilleus
Start,ComputeScalar,Pride1_Sense1,5996404900888,Achilleus
Start,ComputeScalar,Sense1,5996404901108,Achilleus
End,ComputeScalar,Pride1_Sense1,5996405985166,Achilleus
End,ComputeScalar,Sense1,5996406051950,Achilleus
End,ComputeCosine,Pride1_Sense1,5996406269206,Achilleus
Start,Tokenize,Pride1,5999353334732,Achilleus
End,Tokenize,Pride1,5999359510438,Achilleus
Start,Collect,Pride1,5999359719218,Achilleus
Start,Tokenize,Sense2,5999359791605,Achilleus
End,Collect,Pride1,5999363925638,Achilleus
Start,ComputeScalar,Pride1,5999364198549,Achilleus
End,ComputeScalar,Pride1,5999365223682,Achilleus
Start,ComputeCosine,Pride1_Sense2,5999365345832,Achilleus
End,Tokenize,Sense2,5999391499321,Achilleus
Start,Collect,Sense2,5999391724123,Achilleus
End,Collect,Sense2,5999399961331,Achilleus
Start,ComputeScalar,Pride1_Sense2,5999406292046,Achilleus
Start,ComputeScalar,Sense2,5999406289632,Achilleus
End,ComputeScalar,Pride1_Sense2,5999407038828,Achilleus
End,ComputeScalar,Sense2,5999408873785,Achilleus
End,ComputeCosine,Pride1_Sense2,5999409114399,Achilleus
Start,Tokenize,Sense3,6002366443983,Achilleus
Start,Tokenize,Pride1,6002372819391,Achilleus
End,Tokenize,Pride1,6002377664723,Achilleus
Start,Collect,Pride1,6002377908742,Achilleus
End,Collect,Pride1,6002381606983,Achilleus
Start,ComputeScalar,Pride1,6002381864438,Achilleus
End,ComputeScalar,Pride1,6002382872009,Achilleus
Start,ComputeCosine,Pride1_Sense3,6002383022964,Achilleus
End,Tokenize,Sense3,6002388905116,Achilleus
Start,Collect,Sense3,6002389119548,Achilleus
End,Collect,Sense3,6002408378686,Achilleus
Start,ComputeScalar,Sense3,6002408589900,Achilleus
End,ComputeScalar,Sense3,6002413108317,Achilleus
Start,ComputeScalar,Pride1_Sense3,6002413765550,Achilleus
End,ComputeScalar,Pride1_Sense3,6002414927832,Achilleus
End,ComputeCosine,Pride1_Sense3,6002415130481,Achilleus
Start,Tokenize,Pride1,6005376478806,Achilleus
Start,Tokenize,Sense4,6005376934592,Achilleus
End,Tokenize,Pride1,6005402397785,Achilleus
Start,Collect,Pride1,6005402593254,Achilleus
End,Collect,Pride1,6005405692961,Achilleus
Start,ComputeScalar,Pride1,6005405900990,Achilleus
End,ComputeScalar,Pride1,6005406886887,Achilleus
Start,ComputeCosine,Pride1_Sense4,6005407037518,Achilleus
End,Tokenize,Sense4,6005423659000,Achilleus
Start,Collect,Sense4,6005432209109,Achilleus
End,Collect,Sense4,6005472398828,Achilleus
Start,ComputeScalar,Sense4,6005472614496,Achilleus
End,ComputeScalar,Sense4,6005481560391,Achilleus
Start,ComputeScalar,Pride1_Sense4,6005481888090,Achilleus
End,ComputeScalar,Pride1_Sense4,6005483287846,Achilleus
End,ComputeCosine,Pride1_Sense4,6005483471120,Achilleus
Start,Tokenize,Pride1,6008424632096,Achilleus
Start,Tokenize,Sense5,6008424666599,Achilleus
End,Tokenize,Pride1,6008426804058,Achilleus
Start,Collect,Pride1,6008430241345,Achilleus
End,Collect,Pride1,6008433050942,Achilleus
Start,ComputeScalar,Pride1,6008433280226,Achilleus
End,ComputeScalar,Pride1,6008433782187,Achilleus
Start,ComputeCosine,Pride1_Sense5,6008433886187,Achilleus
End,Tokenize,Sense5,6008464426352,Achilleus
Start,Collect,Sense5,6008464684564,Achilleus
End,Collect,Sense5,6008615304439,Achilleus
