kind,name,id,time,team
Start,Tokenize,Pride1,13297894435931,Fabatyu
Start,Tokenize,Sense1,13297894442774,Fabatyu
Start,Collect,Pride1,13297898240762,Fabatyu
Start,Collect,Sense1,13297898292936,Fabatyu
End,Tokenize,Pride1,13297898178325,Fabatyu
End,Tokenize,Sense1,13297898248888,Fabatyu
End,Collect,Pride1,13297916241543,Fabatyu
End,Collect,Sense1,13297916989081,Fabatyu
Start,ComputeScalar,Pride1,13298003956647,Fabatyu
Start,ComputeScalar,Sense1,13298003926712,Fabatyu
Start,ComputeScalar,Pride1_Sense1,13298004019085,Fabatyu
End,ComputeScalar,Sense1,13298007216648,Fabatyu
Start,ComputeCosine,Pride1_Sense1,13298007935961,Fabatyu
End,ComputeScalar,Pride1_Sense1,13298007871813,Fabatyu
End,ComputeScalar,Pride1,13298007610089,Fabatyu
End,ComputeCosine,Pride1_Sense1,13298011076219,Fabatyu
Start,Tokenize,Pride1,13305708077044,Fabatyu
Start,Tokenize,Sense2,13305708081320,Fabatyu
End,Tokenize,Pride1,13305711508106,Fabatyu
Start,Collect,Pride1,13305711576958,Fabatyu
End,Tokenize,Sense2,13305712144454,Fabatyu
Start,Collect,Sense2,13305712179949,Fabatyu
End,Collect,Pride1,13305727993284,Fabatyu
End,Collect,Sense2,13305731197262,Fabatyu
Start,ComputeScalar,Pride1,13305811601206,Fabatyu
End,ComputeScalar,Pride1,13305813680028,Fabatyu
Start,ComputeScalar,Pride1_Sense2,13306007829903,Fabatyu
Start,ComputeScalar,Sense2,13306007815363,Fabatyu
End,ComputeScalar,Sense2,13306010847424,Fabatyu
Start,ComputeCosine,Pride1_Sense2,13306011418341,Fabatyu
End,ComputeScalar,Pride1_Sense2,13306011366595,Fabatyu
End,ComputeCosine,Pride1_Sense2,13306017121953,Fabatyu
Start,Tokenize,Pride1,13313792837064,Fabatyu
Start,Tokenize,Sense3,13313793200142,Fabatyu
End,Tokenize,Pride1,13313797497202,Fabatyu
Start,Collect,Pride1,13313797555362,Fabatyu
End,Tokenize,Sense3,13313798990994,Fabatyu
Start,Collect,Sense3,13313799030766,Fabatyu
End,Collect,Pride1,13313811504984,Fabatyu
End,Collect,Sense3,13313826160233,Fabatyu
Start,ComputeScalar,Pride1,13313911817898,Fabatyu
End,ComputeScalar,Pride1,13313913929222,Fabatyu
Start,ComputeScalar,Sense3,13314872462679,Fabatyu
Start,ComputeScalar,Pride1_Sense3,13314872483207,Fabatyu
End,ComputeScalar,Sense3,13315033019963,Fabatyu
End,ComputeScalar,Pride1_Sense3,13315034621524,Fabatyu
Start,ComputeCosine,Pride1_Sense3,13315034697647,Fabatyu
End,ComputeCosine,Pride1_Sense3,13315114803516,Fabatyu
Start,Tokenize,Pride1,13322436518081,Fabatyu
End,Tokenize,Pride1,13322439387207,Fabatyu
Start,Collect,Pride1,13322439453493,Fabatyu
Start,Tokenize,Sense4,13322440724478,Fabatyu
End,Tokenize,Sense4,13322446833933,Fabatyu
Start,Collect,Sense4,13322446874560,Fabatyu
End,Collect,Pride1,13322455984430,Fabatyu
End,Collect,Sense4,13322497666937,Fabatyu
Start,ComputeScalar,Pride1,13322553821231,Fabatyu
End,ComputeScalar,Pride1,13322610791060,Fabatyu
Start,ComputeScalar,Pride1_Sense4,13325631510860,Fabatyu
Start,ComputeScalar,Sense4,13325631481780,Fabatyu
End,ComputeScalar,Sense4,13325636561445,Fabatyu
End,ComputeScalar,Pride1_Sense4,13325638627010,Fabatyu
Start,ComputeCosine,Pride1_Sense4,13325638685171,Fabatyu
End,ComputeCosine,Pride1_Sense4,13325639859079,Fabatyu
Start,Tokenize,Pride1,13346436589927,Fabatyu
End,Tokenize,Pride1,13346439429544,Fabatyu
Start,Collect,Pride1,13346439486850,Fabatyu
Start,Tokenize,Sense5,13346442601876,Fabatyu
End,Tokenize,Sense5,13346453370185,Fabatyu
Start,Collect,Sense5,13346453409529,Fabatyu
End,Collect,Pride1,13346454444878,Fabatyu
End,Collect,Sense5,13346517217533,Fabatyu
Start,ComputeScalar,Pride1,13346577622701,Fabatyu
End,ComputeScalar,Pride1,13346579630960,Fabatyu
Start,ComputeScalar,Pride1_Sense5,13369478244209,Fabatyu
Start,ComputeScalar,Sense5,13369478237367,Fabatyu
End,ComputeScalar,Sense5,13369485625504,Fabatyu
End,ComputeScalar,Pride1_Sense5,13369488687074,Fabatyu
Start,ComputeCosine,Pride1_Sense5,13369488758065,Fabatyu
End,ComputeCosine,Pride1_Sense5,13369490116291,Fabatyu
Start,Tokenize,Pride1,13379786688693,Fabatyu
End,Tokenize,Pride1,13379790035508,Fabatyu
Start,Collect,Pride1,13379790101794,Fabatyu
Start,Tokenize,Sense6,13379799088499,Fabatyu
End,Collect,Pride1,13379805221047,Fabatyu
End,Tokenize,Sense6,13379812560005,Fabatyu
Start,Collect,Sense6,13379812596355,Fabatyu
End,Collect,Sense6,13379897454736,Fabatyu
Start,ComputeScalar,Pride1,13379902500189,Fabatyu
End,ComputeScalar,Pride1,13379904975446,Fabatyu
Start,ComputeScalar,Sense6,13446909660815,Fabatyu
Start,ComputeScalar,Pride1_Sense6,13446909682198,Fabatyu
End,ComputeScalar,Sense6,13446920093416,Fabatyu
End,ComputeScalar,Pride1_Sense6,13446922046081,Fabatyu
Start,ComputeCosine,Pride1_Sense6,13446922120065,Fabatyu
End,ComputeCosine,Pride1_Sense6,13446923666031,Fabatyu
Start,Tokenize,Sense1,13469059058914,Fabatyu
Start,Tokenize,Pride2,13469059061480,Fabatyu
End,Tokenize,Sense1,13469063313637,Fabatyu
Start,Collect,Sense1,13469063376929,Fabatyu
Start,Collect,Pride2,13469063929030,Fabatyu
End,Tokenize,Pride2,13469063885409,Fabatyu
End,Collect,Sense1,13469076830045,Fabatyu
End,Collect,Pride2,13469086651958,Fabatyu
Start,ComputeScalar,Sense1,13469161907812,Fabatyu
End,ComputeScalar,Sense1,13469164024268,Fabatyu
Start,ComputeScalar,Pride2,13469346155375,Fabatyu
Start,ComputeScalar,Pride2_Sense1,13469346170771,Fabatyu
End,ComputeScalar,Pride2,13469349086938,Fabatyu
End,ComputeScalar,Pride2_Sense1,13469349754933,Fabatyu
Start,ComputeCosine,Pride2_Sense1,13469349814377,Fabatyu
End,ComputeCosine,Pride2_Sense1,13469355506441,Fabatyu
Start,Tokenize,Sense2,13476543067890,Fabatyu
Start,Tokenize,Pride2,13476543067890,Fabatyu
End,Tokenize,Pride2,13476548961807,Fabatyu
Start,Collect,Pride2,13476549017830,Fabatyu
Start,Collect,Sense2,13476549017402,Fabatyu
End,Tokenize,Sense2,13476548951116,Fabatyu
End,Collect,Pride2,13476567861087,Fabatyu
End,Collect,Sense2,13476571833986,Fabatyu
Start,ComputeScalar,Sense2,13476807251972,Fabatyu
Start,ComputeScalar,Pride2,13476808161163,Fabatyu
Start,ComputeScalar,Pride2_Sense2,13476808186395,Fabatyu
End,ComputeScalar,Sense2,13476809815326,Fabatyu
End,ComputeScalar,Pride2,13476812729355,Fabatyu
Start,ComputeCosine,Pride2_Sense2,13476813399488,Fabatyu
End,ComputeScalar,Pride2_Sense2,13476813334912,Fabatyu
End,ComputeCosine,Pride2_Sense2,13476816049228,Fabatyu
Start,Tokenize,Pride2,13488896358233,Fabatyu
Start,Tokenize,Sense3,13488896551104,Fabatyu
End,Tokenize,Pride2,13488902366333,Fabatyu
Start,Collect,Pride2,13488902431764,Fabatyu
End,Tokenize,Sense3,13488903000543,Fabatyu
Start,Collect,Sense3,13488903036894,Fabatyu
End,Collect,Pride2,13488928590459,Fabatyu
End,Collect,Sense3,13488937282083,Fabatyu
Start,ComputeScalar,Pride2,13489209153661,Fabatyu
End,ComputeScalar,Pride2,13489212007391,Fabatyu
Start,ComputeScalar,Pride2_Sense3,13490057861913,Fabatyu
Start,ComputeScalar,Sense3,13490057855070,Fabatyu
End,ComputeScalar,Sense3,13490060506948,Fabatyu
End,ComputeScalar,Pride2_Sense3,13490061442226,Fabatyu
Start,ComputeCosine,Pride2_Sense3,13490061514072,Fabatyu
End,ComputeCosine,Pride2_Sense3,13490066563374,Fabatyu
Start,Tokenize,Pride2,13498403512230,Fabatyu
Start,Tokenize,Sense4,13498404979081,Fabatyu
Start,Collect,Pride2,13498406823122,Fabatyu
End,Tokenize,Pride2,13498406753414,Fabatyu
End,Tokenize,Sense4,13498412908200,Fabatyu
Start,Collect,Sense4,13498412950965,Fabatyu
End,Collect,Pride2,13498425752338,Fabatyu
End,Collect,Sense4,13498464973701,Fabatyu
Start,ComputeScalar,Pride2,13498646534319,Fabatyu
End,ComputeScalar,Pride2,13498649369232,Fabatyu
Start,ComputeScalar,Sense4,13502155351032,Fabatyu
Start,ComputeScalar,Pride2_Sense4,13502155371987,Fabatyu
End,ComputeScalar,Sense4,13502160420434,Fabatyu
Start,ComputeCosine,Pride2_Sense4,13502162652356,Fabatyu
End,ComputeScalar,Pride2_Sense4,13502162604887,Fabatyu
End,ComputeCosine,Pride2_Sense4,13502164909083,Fabatyu
Start,Tokenize,Pride2,13508912628728,Fabatyu
End,Tokenize,Pride2,13508916497707,Fabatyu
Start,Collect,Pride2,13508916555868,Fabatyu
Start,Tokenize,Sense5,13508917545458,Fabatyu
End,Tokenize,Sense5,13508930372062,Fabatyu
Start,Collect,Sense5,13508930415255,Fabatyu
End,Collect,Pride2,13508943711850,Fabatyu
End,Collect,Sense5,13508975694327,Fabatyu
Start,ComputeScalar,Pride2,13509171766075,Fabatyu
End,ComputeScalar,Pride2,13509175321584,Fabatyu
Start,ComputeScalar,Pride2_Sense5,13532720853185,Fabatyu
Start,ComputeScalar,Sense5,13532720834368,Fabatyu
End,ComputeScalar,Sense5,13532727896634,Fabatyu
End,ComputeScalar,Pride2_Sense5,13532731659983,Fabatyu
Start,ComputeCosine,Pride2_Sense5,13532731720282,Fabatyu
End,ComputeCosine,Pride2_Sense5,13532734869520,Fabatyu
Start,Tokenize,Pride2,13540262549164,Fabatyu
End,Tokenize,Pride2,13540267160121,Fabatyu
Start,Collect,Pride2,13540267230256,Fabatyu
Start,Tokenize,Sense6,13540274001290,Fabatyu
End,Collect,Pride2,13540290718256,Fabatyu
End,Tokenize,Sense6,13540296216594,Fabatyu
Start,Collect,Sense6,13540296258504,Fabatyu
End,Collect,Sense6,13540377610555,Fabatyu
Start,ComputeScalar,Pride2,13540587296645,Fabatyu
End,ComputeScalar,Pride2,13540590117874,Fabatyu
Start,ComputeScalar,Sense6,13629042353495,Fabatyu
Start,ComputeScalar,Pride2_Sense6,13629042377444,Fabatyu
End,ComputeScalar,Sense6,13629053537911,Fabatyu
End,ComputeScalar,Pride2_Sense6,13629056753436,Fabatyu
Start,ComputeCosine,Pride2_Sense6,13629056824426,Fabatyu
End,ComputeCosine,Pride2_Sense6,13629060072880,Fabatyu
Start,Tokenize,Sense1,13650162402607,Fabatyu
Start,Tokenize,Pride3,13650162820424,Fabatyu
End,Tokenize,Sense1,13650165426115,Fabatyu
Start,Collect,Sense1,13650165577077,Fabatyu
End,Tokenize,Pride3,13650167903938,Fabatyu
Start,Collect,Pride3,13650168051051,Fabatyu
End,Collect,Sense1,13650179276521,Fabatyu
End,Collect,Pride3,13650202287688,Fabatyu
Start,ComputeScalar,Sense1,13650285997392,Fabatyu
End,ComputeScalar,Sense1,13650287955188,Fabatyu
Start,ComputeScalar,Pride3_Sense1,13651179640454,Fabatyu
Start,ComputeScalar,Pride3,13651179626342,Fabatyu
End,ComputeScalar,Pride3,13651183931099,Fabatyu
End,ComputeScalar,Pride3_Sense1,13651185038721,Fabatyu
Start,ComputeCosine,Pride3_Sense1,13651185107146,Fabatyu
End,ComputeCosine,Pride3_Sense1,13651188558735,Fabatyu
Start,Tokenize,Pride3,13658141772186,Fabatyu
Start,Tokenize,Sense2,13658141763633,Fabatyu
End,Tokenize,Sense2,13658147874370,Fabatyu
Start,Collect,Sense2,13658147947071,Fabatyu
End,Tokenize,Pride3,13658148793397,Fabatyu
Start,Collect,Pride3,13658148828465,Fabatyu
End,Collect,Sense2,13658168613843,Fabatyu
End,Collect,Pride3,13658180408092,Fabatyu
