kind,name,id,time,team
Start,Tokenize,Pride3,4227466935782,flying_concrete_godzillas
Start,Tokenize,Sense3,4227472673790,flying_concrete_godzillas
End,Tokenize,Sense3,4227537516304,flying_concrete_godzillas
Start,Tokenize,Sense2,4227537949863,flying_concrete_godzillas
End,Tokenize,Pride3,4227550386326,flying_concrete_godzillas
End,Tokenize,Sense2,4227542760003,flying_concrete_godzillas
Start,Collect,Pride3,4227550774846,flying_concrete_godzillas
Start,Tokenize,Sense5,4227550925798,flying_concrete_godzillas
Start,Collect,Sense3,4227540774975,flying_concrete_godzillas
Start,Tokenize,Pride3,4227563101075,flying_concrete_godzillas
End,Tokenize,Sense5,4227618302050,flying_concrete_godzillas
End,Tokenize,Pride3,4227625157996,flying_concrete_godzillas
Start,Tokenize,Pride3,4227628463129,flying_concrete_godzillas
Start,Tokenize,Sense4,4227628402897,flying_concrete_godzillas
End,Tokenize,Pride3,4227643540643,flying_concrete_godzillas
Start,Tokenize,Pride3,4227643897113,flying_concrete_godzillas
End,Tokenize,Sense4,4227660488437,flying_concrete_godzillas
Start,Tokenize,Sense1,4227792153878,flying_concrete_godzillas
End,Tokenize,Sense1,4227793705072,flying_concrete_godzillas
Start,Tokenize,Sense6,4227793956301,flying_concrete_godzillas
End,Collect,Pride3,4227665589732,flying_concrete_godzillas
Start,Collect,Pride3,4227801609181,flying_concrete_godzillas
End,Collect,Sense3,4227802144415,flying_concrete_godzillas
Start,ComputeScalar,Sense3_Pride3,4227802624510,flying_concrete_godzillas
End,Tokenize,Pride3,4227788732187,flying_concrete_godzillas
Start,Tokenize,Pride3,4227805102638,flying_concrete_godzillas
Start,Collect,Sense2,4227810880218,flying_concrete_godzillas
Start,ComputeScalar,Sense3,4227810932405,flying_concrete_godzillas
End,ComputeScalar,Sense3_Pride3,4227810563014,flying_concrete_godzillas
End,Tokenize,Pride3,4227824993140,flying_concrete_godzillas
Start,Tokenize,Pride3,4227825346116,flying_concrete_godzillas
End,Collect,Sense2,4227831954659,flying_concrete_godzillas
Start,Collect,Sense5,4227832533462,flying_concrete_godzillas
End,ComputeScalar,Sense3,4227855380865,flying_concrete_godzillas
Start,ComputeScalar,Pride3,4227855595215,flying_concrete_godzillas
End,Tokenize,Pride3,4227915539333,flying_concrete_godzillas
Start,Tokenize,Pride2,4227915848189,flying_concrete_godzillas
End,ComputeScalar,Pride3,4227937489182,flying_concrete_godzillas
Start,ComputeCosine,Sense3_Pride3,4227938141022,flying_concrete_godzillas
End,ComputeCosine,Sense3_Pride3,4227938299201,flying_concrete_godzillas
End,Tokenize,Pride2,4227945949201,flying_concrete_godzillas
