kind,name,id,time,team,combination_id
Start,Tokenize,Pride1,1188561486592825.0,KrIptonLab-csi,1
Start,Tokenize,Sense1,1188561486592825.0,KrIptonLab-csi,1
End,Tokenize,Sense1,1188561701131298.0,KrIptonLab-csi,1
Start,Collect,Sense1,1188561702145037.0,KrIptonLab-csi,1
End,Collect,Sense1,1188561725068253.0,KrIptonLab-csi,1
Start,ComputeScalar,Sense1,1188561725849875.0,KrIptonLab-csi,1
End,ComputeScalar,Sense1,1188561740317369.0,KrIptonLab-csi,1
End,Tokenize,Pride1,1188561741960748.0,KrIptonLab-csi,1
Start,Collect,Pride1,1188561742391429.0,KrIptonLab-csi,1
End,Collect,Pride1,1188561757865558.0,KrIptonLab-csi,1
Start,ComputeScalar,Pride1,1188561758889955.0,KrIptonLab-csi,1
End,ComputeScalar,Pride1,1188561763449413.0,KrIptonLab-csi,1
Start,ComputeScalar,Pride1_Sense1,1188561764205375.0,KrIptonLab-csi,1
End,ComputeScalar,Pride1_Sense1,1188561771580643.0,KrIptonLab-csi,1
Start,ComputeCosine,Pride1_Sense1,1188561772227257.0,KrIptonLab-csi,1
End,ComputeCosine,Pride1_Sense1,1188561772616884.0,KrIptonLab-csi,1
Start,Tokenize,Pride1,1188561857429902.0,KrIptonLab-csi,2
Start,Tokenize,Sense2,1188561861545652.0,KrIptonLab-csi,2
End,Tokenize,Pride1,1188562105997719.0,KrIptonLab-csi,2
Start,Collect,Pride1,1188562106616306.0,KrIptonLab-csi,2
End,Collect,Pride1,1188562111353405.0,KrIptonLab-csi,2
Start,ComputeScalar,Pride1,1188562111803824.0,KrIptonLab-csi,2
End,ComputeScalar,Pride1,1188562115475865.0,KrIptonLab-csi,2
End,Tokenize,Sense2,1188562145322746.0,KrIptonLab-csi,2
Start,Collect,Sense2,1188562145772770.0,KrIptonLab-csi,2
End,Collect,Sense2,1188562154236387.0,KrIptonLab-csi,2
Start,ComputeScalar,Sense2,1188562156421374.0,KrIptonLab-csi,2
End,ComputeScalar,Sense2,1188562163655714.0,KrIptonLab-csi,2
Start,ComputeScalar,Pride1_Sense2,1188562164447599.0,KrIptonLab-csi,2
End,ComputeScalar,Pride1_Sense2,1188562169530901.0,KrIptonLab-csi,2
Start,ComputeCosine,Pride1_Sense2,1188562169971451.0,KrIptonLab-csi,2
End,ComputeCosine,Pride1_Sense2,1188562170183041.0,KrIptonLab-csi,2
Start,Tokenize,Pride1,1188562275662049.0,KrIptonLab-csi,3
Start,Tokenize,Sense3,1188562275669154.0,KrIptonLab-csi,3
End,Tokenize,Pride1,1188562286359208.0,KrIptonLab-csi,3
Start,Collect,Pride1,1188562286761466.0,KrIptonLab-csi,3
End,Collect,Pride1,1188562321826262.0,KrIptonLab-csi,3
Start,ComputeScalar,Pride1,1188562322350106.0,KrIptonLab-csi,3
End,ComputeScalar,Pride1,1188562333775989.0,KrIptonLab-csi,3
End,Tokenize,Sense3,1188562429125105.0,KrIptonLab-csi,3
Start,Collect,Sense3,1188562429972651.0,KrIptonLab-csi,3
End,Collect,Sense3,1188562442728474.0,KrIptonLab-csi,3
Start,ComputeScalar,Sense3,1188562442949144.0,KrIptonLab-csi,3
Start,ComputeScalar,Pride1_Sense3,1188562443186788.0,KrIptonLab-csi,3
End,ComputeScalar,Pride1_Sense3,1188562446207478.0,KrIptonLab-csi,3
End,ComputeScalar,Sense3,1188562456672914.0,KrIptonLab-csi,3
Start,ComputeCosine,Pride1_Sense3,1188562457012406.0,KrIptonLab-csi,3
End,ComputeCosine,Pride1_Sense3,1188562457298211.0,KrIptonLab-csi,3
Start,Tokenize,Pride1,1188562524004854.0,KrIptonLab-csi,4
Start,Tokenize,Sense4,1188562524042750.0,KrIptonLab-csi,4
End,Tokenize,Pride1,1188562550029685.0,KrIptonLab-csi,4
Start,Collect,Pride1,1188562550422865.0,KrIptonLab-csi,4
End,Collect,Pride1,1188562580491995.0,KrIptonLab-csi,4
Start,ComputeScalar,Pride1,1188562580683452.0,KrIptonLab-csi,4
End,ComputeScalar,Pride1,1188562586193488.0,KrIptonLab-csi,4
End,Tokenize,Sense4,1188562658528988.0,KrIptonLab-csi,4
Start,Collect,Sense4,1188562659108099.0,KrIptonLab-csi,4
End,Collect,Sense4,1188562687856368.0,KrIptonLab-csi,4
Start,ComputeScalar,Sense4,1188562688339552.0,KrIptonLab-csi,4
Start,ComputeScalar,Pride1_Sense4,1188562688472585.0,KrIptonLab-csi,4
End,ComputeScalar,Pride1_Sense4,1188562691517355.0,KrIptonLab-csi,4
