kind,name,id,time,team,combination_id
Start,Tokenize,Sense1,54130992620538,Toportyuk,1
Start,Tokenize,Pride1,54130993080224,Toportyuk,1
End,Tokenize,Sense1,54131034135676,Toportyuk,1
End,Tokenize,Pride1,54131034782194,Toportyuk,1
Start,Collect,Sense1,54131035017588,Toportyuk,1
Start,Collect,Pride1,54131035818365,Toportyuk,1
End,Collect,Sense1,54131053251823,Toportyuk,1
Start,ComputeScalar,Sense1,54131054858539,Toportyuk,1
End,Collect,Pride1,54131057692725,Toportyuk,1
Start,ComputeScalar,Sense1_Pride1,54131061662961,Toportyuk,1
End,ComputeScalar,Sense1_Pride1,54131067869978,Toportyuk,1
Start,ComputeScalar,Pride1,54131062492439,Toportyuk,1
End,ComputeScalar,Sense1,54131075971002,Toportyuk,1
End,ComputeScalar,Pride1,54131086153013,Toportyuk,1
Start,ComputeCosine,Sense1_Pride1,54131089263004,Toportyuk,1
End,ComputeCosine,Sense1_Pride1,54131089601381,Toportyuk,1
Start,Tokenize,Sense1,54131205462794,Toportyuk,2
Start,Tokenize,Pride2,54131205681547,Toportyuk,2
End,Tokenize,Sense1,54131232116043,Toportyuk,2
Start,Collect,Sense1,54131232437976,Toportyuk,2
End,Collect,Sense1,54131240249642,Toportyuk,2
Start,ComputeScalar,Sense1,54131240741679,Toportyuk,2
End,ComputeScalar,Sense1,54131242778140,Toportyuk,2
End,Tokenize,Pride2,54131245105892,Toportyuk,2
Start,Collect,Pride2,54131245421648,Toportyuk,2
End,Collect,Pride2,54131271150366,Toportyuk,2
Start,ComputeScalar,Sense1_Pride2,54131271574283,Toportyuk,2
Start,ComputeScalar,Pride2,54131271707917,Toportyuk,2
End,ComputeScalar,Sense1_Pride2,54131272896820,Toportyuk,2
End,ComputeScalar,Pride2,54131274592615,Toportyuk,2
Start,ComputeCosine,Sense1_Pride2,54131275041669,Toportyuk,2
End,ComputeCosine,Sense1_Pride2,54131275114682,Toportyuk,2
Start,Tokenize,Sense1,54131334056681,Toportyuk,3
End,Tokenize,Sense1,54131336989700,Toportyuk,3
Start,Collect,Sense1,54131337220975,Toportyuk,3
Start,Tokenize,Pride3,54131340269012,Toportyuk,3
End,Collect,Sense1,54131342920790,Toportyuk,3
Start,ComputeScalar,Sense1,54131344265314,Toportyuk,3
End,ComputeScalar,Sense1,54131346242949,Toportyuk,3
End,Tokenize,Pride3,54131355642660,Toportyuk,3
Start,Collect,Pride3,54131355957794,Toportyuk,3
End,Collect,Pride3,54131370900326,Toportyuk,3
Start,ComputeScalar,Pride3,54131372088548,Toportyuk,3
Start,ComputeScalar,Sense1_Pride3,54131374046149,Toportyuk,3
End,ComputeScalar,Sense1_Pride3,54131375866531,Toportyuk,3
End,ComputeScalar,Pride3,54131378140152,Toportyuk,3
Start,ComputeCosine,Sense1_Pride3,54131378512297,Toportyuk,3
End,ComputeCosine,Sense1_Pride3,54131378586593,Toportyuk,3
Start,Tokenize,Sense1,54131424911535,Toportyuk,4
Start,Tokenize,Pride4,54131425024030,Toportyuk,4
End,Tokenize,Sense1,54131428755448,Toportyuk,4
Start,Collect,Sense1,54131429003363,Toportyuk,4
End,Collect,Sense1,54131432853919,Toportyuk,4
Start,ComputeScalar,Sense1,54131444902563,Toportyuk,4
End,ComputeScalar,Sense1,54131446925746,Toportyuk,4
End,Tokenize,Pride4,54131452648232,Toportyuk,4
Start,Collect,Pride4,54131452950540,Toportyuk,4
End,Collect,Pride4,54131502359204,Toportyuk,4
Start,ComputeScalar,Sense1_Pride4,54131502856218,Toportyuk,4
Start,ComputeScalar,Pride4,54131502916866,Toportyuk,4
End,ComputeScalar,Sense1_Pride4,54131504502962,Toportyuk,4
End,ComputeScalar,Pride4,54131513544884,Toportyuk,4
Start,ComputeCosine,Sense1_Pride4,54131513931011,Toportyuk,4
End,ComputeCosine,Sense1_Pride4,54131513989419,Toportyuk,4
Start,Tokenize,Sense1,54131562194425,Toportyuk,5
Start,Tokenize,Pride5,54131562465369,Toportyuk,5
End,Tokenize,Sense1,54131564402912,Toportyuk,5
Start,Collect,Sense1,54131564667347,Toportyuk,5
End,Collect,Sense1,54131566653030,Toportyuk,5
Start,ComputeScalar,Sense1,54131567098080,Toportyuk,5
End,ComputeScalar,Sense1,54131569219176,Toportyuk,5
End,Tokenize,Pride5,54131587557027,Toportyuk,5
Start,Collect,Pride5,54131587874780,Toportyuk,5
End,Collect,Pride5,54131624696940,Toportyuk,5
Start,ComputeScalar,Sense1_Pride5,54131625078123,Toportyuk,5
Start,ComputeScalar,Pride5,54131625134562,Toportyuk,5
