kind,name,id,time,team,combination_id
Start,Tokenize,Sense1,10582456696983,naturakka,1
Start,Tokenize,Pride1,10582456786118,naturakka,1
End,Tokenize,Sense1,10582490205786,naturakka,1
Start,Collect,Sense1,10582490297680,naturakka,1
End,Tokenize,Pride1,10582498855816,naturakka,1
Start,Collect,Pride1,10582498951289,naturakka,1
End,Collect,Sense1,10582510144310,naturakka,1
Start,ComputeScalar,Sense1,10582510248753,naturakka,1
End,Collect,Pride1,10582511303418,naturakka,1
Start,ComputeScalar,Pride1,10582511364483,naturakka,1
Start,ComputeScalar,Sense1_Pride1,10582511413700,naturakka,1
End,ComputeScalar,Sense1,10582513577698,naturakka,1
End,ComputeScalar,Pride1,10582513659828,naturakka,1
End,ComputeScalar,Sense1_Pride1,10582517414854,naturakka,1
Start,ComputeCosine,Sense1_Pride1,10582517550609,naturakka,1
End,ComputeCosine,Sense1_Pride1,10582517959096,naturakka,1
Start,Tokenize,Pride1,10582591920100,naturakka,2
Start,Tokenize,Sense2,10582591973100,naturakka,2
End,Tokenize,Pride1,10582612496594,naturakka,2
Start,Collect,Pride1,10582612582265,naturakka,2
End,Tokenize,Sense2,10582615758253,naturakka,2
Start,Collect,Sense2,10582615830021,naturakka,2
Start,ComputeScalar,Pride1,10582617956028,naturakka,2
End,Collect,Pride1,10582618126036,naturakka,2
End,ComputeScalar,Pride1,10582620120211,naturakka,2
End,Collect,Sense2,10582626622054,naturakka,2
Start,ComputeScalar,Sense2_Pride1,10582626712136,naturakka,2
Start,ComputeScalar,Sense2,10582626757259,naturakka,2
End,ComputeScalar,Sense2,10582628782697,naturakka,2
End,ComputeScalar,Sense2_Pride1,10582630233487,naturakka,2
Start,ComputeCosine,Sense2_Pride1,10582630286541,naturakka,2
End,ComputeCosine,Sense2_Pride1,10582630391926,naturakka,2
Start,Tokenize,Pride1,10582669068431,naturakka,3
Start,Tokenize,Sense3,10582669152173,naturakka,3
End,Tokenize,Pride1,10582673573585,naturakka,3
Start,Collect,Pride1,10582673671966,naturakka,3
Start,ComputeScalar,Pride1,10582680058970,naturakka,3
End,Collect,Pride1,10582681279536,naturakka,3
End,ComputeScalar,Pride1,10582681592564,naturakka,3
End,Tokenize,Sense3,10582687550143,naturakka,3
Start,Collect,Sense3,10582687641002,naturakka,3
End,Collect,Sense3,10582716031287,naturakka,3
Start,ComputeScalar,Sense3_Pride1,10582716128569,naturakka,3
Start,ComputeScalar,Sense3,10582716183050,naturakka,3
End,ComputeScalar,Sense3,10582718905155,naturakka,3
End,ComputeScalar,Sense3_Pride1,10582721299852,naturakka,3
Start,ComputeCosine,Sense3_Pride1,10582721362638,naturakka,3
End,ComputeCosine,Sense3_Pride1,10582721422738,naturakka,3
Start,Tokenize,Sense4,10582743980231,naturakka,4
Start,Tokenize,Pride1,10582744031987,naturakka,4
End,Tokenize,Pride1,10582749009440,naturakka,4
Start,Collect,Pride1,10582749089229,naturakka,4
Start,ComputeScalar,Pride1,10582753403471,naturakka,4
End,Collect,Pride1,10582754226255,naturakka,4
End,ComputeScalar,Pride1,10582754280862,naturakka,4
End,Tokenize,Sense4,10582759546476,naturakka,4
Start,Collect,Sense4,10582759618871,naturakka,4
End,Collect,Sense4,10582808672788,naturakka,4
Start,ComputeScalar,Sense4,10582808755581,naturakka,4
Start,ComputeScalar,Sense4_Pride1,10582808824274,naturakka,4
End,ComputeScalar,Sense4_Pride1,10582813386132,naturakka,4
End,ComputeScalar,Sense4,10582814051685,naturakka,4
Start,ComputeCosine,Sense4_Pride1,10582814099819,naturakka,4
End,ComputeCosine,Sense4_Pride1,10582814176513,naturakka,4
Start,Tokenize,Sense5,10582869385049,naturakka,5
Start,Tokenize,Pride1,10582869449517,naturakka,5
End,Tokenize,Pride1,10582873110226,naturakka,5
Start,Collect,Pride1,10582873190960,naturakka,5
Start,ComputeScalar,Pride1,10582877501382,naturakka,5
End,Collect,Pride1,10582877626129,naturakka,5
End,ComputeScalar,Pride1,10582878509063,naturakka,5
End,Tokenize,Sense5,10582901437074,naturakka,5
Start,Collect,Sense5,10582901594400,naturakka,5
End,Collect,Sense5,10582988398116,naturakka,5
Start,ComputeScalar,Sense5,10582988488133,naturakka,5
Start,ComputeScalar,Sense5_Pride1,10582988549618,naturakka,5
End,ComputeScalar,Sense5_Pride1,10582993477021,naturakka,5
End,ComputeScalar,Sense5,10582993730273,naturakka,5
Start,ComputeCosine,Sense5_Pride1,10582993769755,naturakka,5
End,ComputeCosine,Sense5_Pride1,10582993826435,naturakka,5
Start,Tokenize,Sense6,10583037004481,naturakka,6
Start,Tokenize,Pride1,10583037073852,naturakka,6
End,Tokenize,Pride1,10583039987005,naturakka,6
Start,Collect,Pride1,10583040093066,naturakka,6
Start,ComputeScalar,Pride1,10583043257099,naturakka,6
End,Collect,Pride1,10583043330982,naturakka,6
End,ComputeScalar,Pride1,10583043732497,naturakka,6
End,Tokenize,Sense6,10583098773673,naturakka,6
Start,Collect,Sense6,10583098868872,naturakka,6
End,Collect,Sense6,10583287590459,naturakka,6
Start,ComputeScalar,Sense6,10583287660517,naturakka,6
Start,ComputeScalar,Sense6_Pride1,10583287720595,naturakka,6
