kind,name,id,time,team,combination_id
Start,Tokenize,Sense1,1803975589993.0,Whatever,1
Start,Tokenize,Pride1,1803975711385.0,Whatever,1
End,Tokenize,Pride1,1804007383249.0,Whatever,1
Start,Collect,Pride1,1804007651382.0,Whatever,1
End,Tokenize,Sense1,1804008697918.0,Whatever,1
Start,Collect,Sense1,1804008825317.0,Whatever,1
End,Collect,Sense1,1804122964109.0,Whatever,1
End,Collect,Pride1,1804123381542.0,Whatever,1
Start,ComputeScalar,Sense1,1804123431847.0,Whatever,1
End,ComputeScalar,Sense1,1804190112420.0,Whatever,1
Start,ComputeScalar,Sense1_Pride1,1804190297372.0,Whatever,1
End,ComputeScalar,Sense1_Pride1,1804281521753.0,Whatever,1
Start,ComputeScalar,Pride1,1804281817500.0,Whatever,1
End,ComputeScalar,Pride1,1804347314978.0,Whatever,1
Start,ComputeCosine,Sense1_Pride1,1804347804115.0,Whatever,1
End,ComputeCosine,Sense1_Pride1,1804347891112.0,Whatever,1
Start,Tokenize,Sense1,1806354553348.0,Whatever,2
End,Tokenize,Sense1,1806359529040.0,Whatever,2
Start,Collect,Sense1,1806359787511.0,Whatever,2
Start,Tokenize,Pride2,1806367190714.0,Whatever,2
End,Tokenize,Pride2,1806382094903.0,Whatever,2
Start,Collect,Pride2,1806382328102.0,Whatever,2
End,Collect,Sense1,1806459225380.0,Whatever,2
Start,ComputeScalar,Sense1,1806459592593.0,Whatever,2
End,ComputeScalar,Sense1,1806527124394.0,Whatever,2
End,Collect,Pride2,1806650118296.0,Whatever,2
Start,ComputeScalar,Sense1_Pride2,1806650313881.0,Whatever,2
End,ComputeScalar,Sense1_Pride2,1806797145372.0,Whatever,2
Start,ComputeScalar,Pride2,1806797348204.0,Whatever,2
End,ComputeScalar,Pride2,1806955298138.0,Whatever,2
Start,ComputeCosine,Sense1_Pride2,1806955502298.0,Whatever,2
End,ComputeCosine,Sense1_Pride2,1806955553616.0,Whatever,2
Start,Tokenize,Sense1,1808978215510.0,Whatever,3
Start,Tokenize,Pride3,1808978373981.0,Whatever,3
End,Tokenize,Sense1,1808981732020.0,Whatever,3
Start,Collect,Sense1,1808981924111.0,Whatever,3
End,Tokenize,Pride3,1809000263613.0,Whatever,3
Start,Collect,Pride3,1809000446732.0,Whatever,3
End,Collect,Sense1,1809064917331.0,Whatever,3
Start,ComputeScalar,Sense1,1809065140020.0,Whatever,3
End,ComputeScalar,Sense1,1809133223601.0,Whatever,3
End,Collect,Pride3,1809791961485.0,Whatever,3
Start,ComputeScalar,Sense1_Pride3,1809792236315.0,Whatever,3
End,ComputeScalar,Sense1_Pride3,1810041140253.0,Whatever,3
Start,ComputeScalar,Pride3,1810041298116.0,Whatever,3
End,ComputeScalar,Pride3,1810517314681.0,Whatever,3
Start,ComputeCosine,Sense1_Pride3,1810517551820.0,Whatever,3
End,ComputeCosine,Sense1_Pride3,1810517600095.0,Whatever,3
Start,Tokenize,Sense1,1812528584500.0,Whatever,4
Start,Tokenize,Pride4,1812528667671.0,Whatever,4
End,Tokenize,Sense1,1812533537536.0,Whatever,4
Start,Collect,Sense1,1812533769567.0,Whatever,4
End,Tokenize,Pride4,1812546988683.0,Whatever,4
Start,Collect,Pride4,1812547212572.0,Whatever,4
End,Collect,Sense1,1812593885081.0,Whatever,4
Start,ComputeScalar,Sense1,1812594331414.0,Whatever,4
End,ComputeScalar,Sense1,1812637548322.0,Whatever,4
End,Collect,Pride4,1816359376915.0,Whatever,4
Start,ComputeScalar,Pride4,1816359602203.0,Whatever,4
End,ComputeScalar,Pride4,1818631231709.0,Whatever,4
Start,ComputeScalar,Sense1_Pride4,1818631359181.0,Whatever,4
End,ComputeScalar,Sense1_Pride4,1819395872615.0,Whatever,4
Start,ComputeCosine,Sense1_Pride4,1819396094144.0,Whatever,4
End,ComputeCosine,Sense1_Pride4,1819396138090.0,Whatever,4
