type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,55014880302115,A_kover_juhasz,Pride1_Sense1
START,Tokenize1,Pride1,55014880624601,A_kover_juhasz,Pride1_Sense1
END,Tokenize1,Pride1,55014935529588,A_kover_juhasz,Pride1_Sense1
QUEUE,Collect1,Pride1,55014936121561,A_kover_juhasz,Pride1_Sense1
START,Collect1,Pride1,55014936234035,A_kover_juhasz,Pride1_Sense1
END,Collect1,Pride1,55015078188774,A_kover_juhasz,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,55015078727540,A_kover_juhasz,Pride1_Sense1
START,ComputeScalar1,Pride1,55015078815304,A_kover_juhasz,Pride1_Sense1
END,ComputeScalar1,Pride1,55015079269246,A_kover_juhasz,Pride1_Sense1
QUEUE,Tokenize2,Sense1,55015113703695,A_kover_juhasz,Pride1_Sense1
START,Tokenize2,Sense1,55015114156185,A_kover_juhasz,Pride1_Sense1
END,Tokenize2,Sense1,55015126539520,A_kover_juhasz,Pride1_Sense1
QUEUE,Collect2,Sense1,55015126821718,A_kover_juhasz,Pride1_Sense1
START,Collect2,Sense1,55015127183005,A_kover_juhasz,Pride1_Sense1
END,Collect2,Sense1,55015167221418,A_kover_juhasz,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,55015167523966,A_kover_juhasz,Pride1_Sense1
START,ComputeScalar2,Sense1,55015167557944,A_kover_juhasz,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,55015167563870,A_kover_juhasz,Pride1_Sense1
END,ComputeScalar2,Sense1,55015167954914,A_kover_juhasz,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,55015168012279,A_kover_juhasz,Pride1_Sense1
END,ComputeScalar3,Pride1_Sense1,55015169002781,A_kover_juhasz,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,55015169209001,A_kover_juhasz,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,55015169698703,A_kover_juhasz,Pride1_Sense1
END,ComputeCosine,Pride1_Sense1,55015169796141,A_kover_juhasz,Pride1_Sense1
QUEUE,Tokenize1,Pride1,55062538530000,A_kover_juhasz,Pride1_Sense2
START,Tokenize1,Pride1,55062538790982,A_kover_juhasz,Pride1_Sense2
END,Tokenize1,Pride1,55062612477102,A_kover_juhasz,Pride1_Sense2
QUEUE,Collect1,Pride1,55062617477383,A_kover_juhasz,Pride1_Sense2
START,Collect1,Pride1,55062617557608,A_kover_juhasz,Pride1_Sense2
END,Collect1,Pride1,55062739328349,A_kover_juhasz,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,55062740274163,A_kover_juhasz,Pride1_Sense2
START,ComputeScalar1,Pride1,55062740422713,A_kover_juhasz,Pride1_Sense2
END,ComputeScalar1,Pride1,55062741163031,A_kover_juhasz,Pride1_Sense2
QUEUE,Tokenize2,Sense2,55063153381523,A_kover_juhasz,Pride1_Sense2
START,Tokenize2,Sense2,55063153459896,A_kover_juhasz,Pride1_Sense2
END,Tokenize2,Sense2,55063162191684,A_kover_juhasz,Pride1_Sense2
QUEUE,Collect2,Sense2,55063162555758,A_kover_juhasz,Pride1_Sense2
START,Collect2,Sense2,55063162662276,A_kover_juhasz,Pride1_Sense2
END,Collect2,Sense2,55063305521270,A_kover_juhasz,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,55063305940296,A_kover_juhasz,Pride1_Sense2
START,ComputeScalar2,Sense2,55063305974839,A_kover_juhasz,Pride1_Sense2
END,ComputeScalar2,Sense2,55063306668324,A_kover_juhasz,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,55063306958932,A_kover_juhasz,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,55063307343296,A_kover_juhasz,Pride1_Sense2
END,ComputeScalar3,Pride1_Sense2,55063308496297,A_kover_juhasz,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,55063308825406,A_kover_juhasz,Pride1_Sense2
