type,name,input_id,time,team,meas_id
START,Tokenize1,Pride1,2721914106866,BigRedButton,Pride1_Sense1
END,Tokenize1,Pride1,2721971613187,BigRedButton,Pride1_Sense1
START,Collect1,Pride1,2721971712670,BigRedButton,Pride1_Sense1
START,Tokenize2,Sense1,2721971762953,BigRedButton,Pride1_Sense1
END,Tokenize2,Sense1,2721973541288,BigRedButton,Pride1_Sense1
END,Collect1,Pride1,2721990410703,BigRedButton,Pride1_Sense1
START,Collect2,Sense1,2721990503428,BigRedButton,Pride1_Sense1
START,ComputeScalar1,Pride1,2721990495548,BigRedButton,Pride1_Sense1
START,ComputeScalar2,Sense1,2721990849292,BigRedButton,Pride1_Sense1
END,Collect2,Sense1,2722001825683,BigRedButton,Pride1_Sense1
START,ComputeCosine,Sense1,2722001964896,BigRedButton,Pride1_Sense1
END,ComputeScalar2,Sense1,2722002919521,BigRedButton,Pride1_Sense1
END,ComputeCosine,Sense1,2722004257641,BigRedButton,Pride1_Sense1
START,Tokenize1,Pride1,2722051994209,BigRedButton,Pride1_Sense2
START,Collect1,Pride1,2722076608891,BigRedButton,Pride1_Sense2
END,Collect1,Pride1,2722081096493,BigRedButton,Pride1_Sense2
START,ComputeScalar1,Pride1,2722081273533,BigRedButton,Pride1_Sense2
END,Tokenize1,Pride1,2722081337230,BigRedButton,Pride1_Sense2
START,Tokenize2,Sense2,2722081516806,BigRedButton,Pride1_Sense2
END,Tokenize2,Sense2,2722081940090,BigRedButton,Pride1_Sense2
START,Collect2,Sense2,2722082051540,BigRedButton,Pride1_Sense2
END,Collect2,Sense2,2722083156261,BigRedButton,Pride1_Sense2
START,ComputeScalar2,Sense2,2722083444830,BigRedButton,Pride1_Sense2
END,ComputeScalar2,Sense2,2722087825058,BigRedButton,Pride1_Sense2
START,ComputeCosine,Sense2,2722087878493,BigRedButton,Pride1_Sense2
END,ComputeCosine,Sense2,2722090560705,BigRedButton,Pride1_Sense2
START,Tokenize1,Pride1,2722172617525,BigRedButton,Pride1_Sense3
END,Tokenize1,Pride1,2722179887481,BigRedButton,Pride1_Sense3
START,Tokenize2,Sense3,2722180042752,BigRedButton,Pride1_Sense3
START,Collect1,Pride1,2722180171775,BigRedButton,Pride1_Sense3
END,Tokenize2,Sense3,2722182118925,BigRedButton,Pride1_Sense3
END,Collect1,Pride1,2722185863628,BigRedButton,Pride1_Sense3
START,Collect2,Sense3,2722185940019,BigRedButton,Pride1_Sense3
END,Collect2,Sense3,2722186130524,BigRedButton,Pride1_Sense3
START,ComputeScalar1,Pride1,2722186308194,BigRedButton,Pride1_Sense3
START,ComputeScalar2,Sense3,2722186407824,BigRedButton,Pride1_Sense3
END,ComputeScalar2,Sense3,2722194242932,BigRedButton,Pride1_Sense3
START,ComputeCosine,Sense3,2722194295176,BigRedButton,Pride1_Sense3
END,ComputeCosine,Sense3,2722195160741,BigRedButton,Pride1_Sense3
START,Tokenize1,Pride1,2722317164889,BigRedButton,Pride1_Sense4
END,Tokenize1,Pride1,2722326610162,BigRedButton,Pride1_Sense4
START,Tokenize2,Sense4,2722326706130,BigRedButton,Pride1_Sense4
START,Collect1,Pride1,2722326850052,BigRedButton,Pride1_Sense4
END,Tokenize2,Sense4,2722329048783,BigRedButton,Pride1_Sense4
START,ComputeScalar1,Pride1,2722329326469,BigRedButton,Pride1_Sense4
END,Collect1,Pride1,2722329576599,BigRedButton,Pride1_Sense4
START,Collect2,Sense4,2722329702336,BigRedButton,Pride1_Sense4
START,ComputeScalar2,Sense4,2722330201122,BigRedButton,Pride1_Sense4
END,ComputeScalar2,Sense4,2722334102213,BigRedButton,Pride1_Sense4
START,ComputeCosine,Sense4,2722334208003,BigRedButton,Pride1_Sense4
END,Collect2,Sense4,2722334385012,BigRedButton,Pride1_Sense4
END,ComputeCosine,Sense4,2722334639017,BigRedButton,Pride1_Sense4
START,Tokenize1,Pride1,2722469039414,BigRedButton,Pride1_Sense5
END,Tokenize1,Pride1,2722471569869,BigRedButton,Pride1_Sense5
