type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,1888693670710,LikeABosch,Pride1_Sense1
START,Tokenize2,Sense1,1888693761370,LikeABosch,Pride1_Sense1
QUEUE,Tokenize1,Pride1,1888693670707,LikeABosch,Pride1_Sense1
START,Tokenize1,Pride1,1888693839362,LikeABosch,Pride1_Sense1
QUEUE,Collect2,Sense1,1888712235032,LikeABosch,Pride1_Sense1
START,Collect2,Sense1,1888712365769,LikeABosch,Pride1_Sense1
STOP,Tokenize2,Sense1,1888714184448,LikeABosch,Pride1_Sense1
STOP,Tokenize1,Pride1,1888718040461,LikeABosch,Pride1_Sense1
QUEUE,Collect1,Pride1,1888718362382,LikeABosch,Pride1_Sense1
START,Collect1,Pride1,1888718418576,LikeABosch,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,1888731386815,LikeABosch,Pride1_Sense1
STOP,Collect1,Pride1,1888731460127,LikeABosch,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1_Sense1,1888731386732,LikeABosch,Pride1_Sense1
START,ComputeScalar1,Pride1_Sense1,1888731706339,LikeABosch,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,1888731729582,LikeABosch,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,1888731551124,LikeABosch,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,1888732424989,LikeABosch,Pride1_Sense1
STOP,ComputeScalar1,Pride1_Sense1,1888732624277,LikeABosch,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,1888732967837,LikeABosch,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,1888733130148,LikeABosch,Pride1_Sense1
STOP,Collect2,Sense1,1888733786611,LikeABosch,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,1888733896494,LikeABosch,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,1888733989948,LikeABosch,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,1888733810606,LikeABosch,Pride1_Sense1
QUEUE,Tokenize1,Pride1,1888734521807,LikeABosch,Pride1_Sense2
START,Tokenize1,Pride1,1888734710624,LikeABosch,Pride1_Sense2
QUEUE,Tokenize2,Sense2,1888734613356,LikeABosch,Pride1_Sense2
START,Tokenize2,Sense2,1888734827412,LikeABosch,Pride1_Sense2
QUEUE,Collect1,Pride1,1888754990454,LikeABosch,Pride1_Sense2
START,Collect1,Pride1,1888755055521,LikeABosch,Pride1_Sense2
STOP,Collect1,Pride1,1888758054597,LikeABosch,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,1888758141035,LikeABosch,Pride1_Sense2
STOP,Tokenize1,Pride1,1888758177377,LikeABosch,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1_Sense2,1888758237895,LikeABosch,Pride1_Sense2
START,ComputeScalar1,Pride1_Sense2,1888758301159,LikeABosch,Pride1_Sense2
STOP,ComputeScalar1,Pride1_Sense2,1888758664535,LikeABosch,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,1888758737174,LikeABosch,Pride1_Sense2
STOP,Tokenize2,Sense2,1888761225320,LikeABosch,Pride1_Sense2
QUEUE,Collect2,Sense2,1888761359931,LikeABosch,Pride1_Sense2
START,Collect2,Sense2,1888761523643,LikeABosch,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,1888774673406,LikeABosch,Pride1_Sense2
STOP,Collect2,Sense2,1888774727634,LikeABosch,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,1888774673360,LikeABosch,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,1888774882013,LikeABosch,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,1888775243679,LikeABosch,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,1888775629577,LikeABosch,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,1888775706456,LikeABosch,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,1888775757000,LikeABosch,Pride1_Sense2
QUEUE,Tokenize2,Sense3,1888776486599,LikeABosch,Pride1_Sense3
START,Tokenize2,Sense3,1888776532191,LikeABosch,Pride1_Sense3
QUEUE,Tokenize1,Pride1,1888776498470,LikeABosch,Pride1_Sense3
START,Tokenize1,Pride1,1888776588562,LikeABosch,Pride1_Sense3
STOP,Tokenize1,Pride1,1888782597507,LikeABosch,Pride1_Sense3
QUEUE,Collect1,Pride1,1888782764148,LikeABosch,Pride1_Sense3
START,Collect1,Pride1,1888782793430,LikeABosch,Pride1_Sense3
STOP,Collect1,Pride1,1888787174122,LikeABosch,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1_Sense3,1888787240582,LikeABosch,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,1888787292941,LikeABosch,Pride1_Sense3
START,ComputeScalar1,Pride1_Sense3,1888787319291,LikeABosch,Pride1_Sense3
STOP,ComputeScalar1,Pride1_Sense3,1888787695373,LikeABosch,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,1888787918346,LikeABosch,Pride1_Sense3
QUEUE,Collect2,Sense3,1888794500868,LikeABosch,Pride1_Sense3
START,Collect2,Sense3,1888794663120,LikeABosch,Pride1_Sense3
STOP,Tokenize2,Sense3,1888804451741,LikeABosch,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,1888810168382,LikeABosch,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,1888810783008,LikeABosch,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,1888810924206,LikeABosch,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,1888811033379,LikeABosch,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,1888812126062,LikeABosch,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,1888812234950,LikeABosch,Pride1_Sense3
STOP,Collect2,Sense3,1888812280010,LikeABosch,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,1888812345042,LikeABosch,Pride1_Sense3
QUEUE,Tokenize1,Pride1,1888812706005,LikeABosch,Pride1_Sense4
QUEUE,Tokenize2,Sense4,1888812720497,LikeABosch,Pride1_Sense4
START,Tokenize2,Sense4,1888812784716,LikeABosch,Pride1_Sense4
START,Tokenize1,Pride1,1888812740274,LikeABosch,Pride1_Sense4
STOP,Tokenize1,Pride1,1888817317967,LikeABosch,Pride1_Sense4
QUEUE,Collect1,Pride1,1888817460580,LikeABosch,Pride1_Sense4
START,Collect1,Pride1,1888817509802,LikeABosch,Pride1_Sense4
