type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,59110309383038,OPonion,Pride1_Sense1
START,Tokenize1,Pride1,59110310208040,OPonion,Pride1_Sense1
QUEUE,Tokenize2,Sense1,59110310775900,OPonion,Pride1_Sense1
START,Tokenize2,Sense1,59110311085928,OPonion,Pride1_Sense1
STOP,Tokenize2,Sense1,59110341501033,OPonion,Pride1_Sense1
QUEUE,Collect2,Sense1,59110341825362,OPonion,Pride1_Sense1
START,Collect2,Sense1,59110342128154,OPonion,Pride1_Sense1
STOP,Collect2,Sense1,59110348907019,OPonion,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,59110349663603,OPonion,Pride1_Sense1
START,ComputeScalar3,Sense1,59110349697183,OPonion,Pride1_Sense1
STOP,ComputeScalar3,Sense1,59110356631932,OPonion,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,59110356908688,OPonion,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,59110356938457,OPonion,Pride1_Sense1
STOP,Tokenize1,Pride1,59110372473008,OPonion,Pride1_Sense1
QUEUE,Collect1,Pride1,59110372566028,OPonion,Pride1_Sense1
START,Collect1,Pride1,59110372860545,OPonion,Pride1_Sense1
STOP,Collect1,Pride1,59110376718049,OPonion,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,59110376895077,OPonion,Pride1_Sense1
START,ComputeScalar1,Pride1,59110376929571,OPonion,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,59110376934996,OPonion,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,59110376987347,OPonion,Pride1_Sense1
STOP,ComputeScalar1,Pride1,59110377695529,OPonion,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,59110378308890,OPonion,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,59110378456566,OPonion,Pride1_Sense1
QUEUE,Tokenize1,Pride1,59110378835761,OPonion,Pride1_Sense2
QUEUE,Tokenize2,Sense2,59110378929767,OPonion,Pride1_Sense2
START,Tokenize1,Pride1,59110379395751,OPonion,Pride1_Sense2
START,Tokenize2,Sense2,59110379638527,OPonion,Pride1_Sense2
STOP,Tokenize1,Pride1,59110395979113,OPonion,Pride1_Sense2
QUEUE,Collect1,Pride1,59110396164693,OPonion,Pride1_Sense2
START,Collect1,Pride1,59110398617971,OPonion,Pride1_Sense2
STOP,Collect1,Pride1,59110404686252,OPonion,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,59110404878671,OPonion,Pride1_Sense2
START,ComputeScalar1,Pride1,59110404920483,OPonion,Pride1_Sense2
STOP,ComputeScalar1,Pride1,59110405971411,OPonion,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,59110406110504,OPonion,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,59110406138591,OPonion,Pride1_Sense2
STOP,Tokenize2,Sense2,59110410862936,OPonion,Pride1_Sense2
QUEUE,Collect2,Sense2,59110413070638,OPonion,Pride1_Sense2
START,Collect2,Sense2,59110413325346,OPonion,Pride1_Sense2
STOP,Collect2,Sense2,59110421352006,OPonion,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,59110421504343,OPonion,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,59110421520946,OPonion,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,59110421587731,OPonion,Pride1_Sense2
START,ComputeScalar3,Sense2,59110421549085,OPonion,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,59110422771669,OPonion,Pride1_Sense2
STOP,ComputeScalar3,Sense2,59110423503731,OPonion,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,59110423930146,OPonion,Pride1_Sense2
QUEUE,Tokenize1,Pride1,59110424748828,OPonion,Pride1_Sense3
QUEUE,Tokenize2,Sense3,59110424842071,OPonion,Pride1_Sense3
START,Tokenize2,Sense3,59110424988567,OPonion,Pride1_Sense3
START,Tokenize1,Pride1,59110428486939,OPonion,Pride1_Sense3
STOP,Tokenize1,Pride1,59110443868484,OPonion,Pride1_Sense3
QUEUE,Collect1,Pride1,59110444218933,OPonion,Pride1_Sense3
START,Collect1,Pride1,59110444401354,OPonion,Pride1_Sense3
STOP,Collect1,Pride1,59110455278565,OPonion,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,59110455434062,OPonion,Pride1_Sense3
START,ComputeScalar1,Pride1,59110455478172,OPonion,Pride1_Sense3
STOP,ComputeScalar1,Pride1,59110456396371,OPonion,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,59110456528575,OPonion,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,59110456554785,OPonion,Pride1_Sense3
STOP,Tokenize2,Sense3,59110464651784,OPonion,Pride1_Sense3
QUEUE,Collect2,Sense3,59110464920719,OPonion,Pride1_Sense3
START,Collect2,Sense3,59110465130228,OPonion,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,59110494043308,OPonion,Pride1_Sense3
START,ComputeScalar3,Sense3,59110494104575,OPonion,Pride1_Sense3
STOP,ComputeScalar3,Sense3,59110497645541,OPonion,Pride1_Sense3
STOP,Collect2,Sense3,59110498393035,OPonion,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,59110498573827,OPonion,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,59110498660570,OPonion,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,59110499625765,OPonion,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,59110499786332,OPonion,Pride1_Sense3
QUEUE,Tokenize1,Pride1,59110500106851,OPonion,Pride1_Sense4
QUEUE,Tokenize2,Sense4,59110500154766,OPonion,Pride1_Sense4
START,Tokenize1,Pride1,59110500277030,OPonion,Pride1_Sense4
START,Tokenize2,Sense4,59110500319932,OPonion,Pride1_Sense4
STOP,Tokenize1,Pride1,59110503162887,OPonion,Pride1_Sense4
QUEUE,Collect1,Pride1,59110503192118,OPonion,Pride1_Sense4
START,Collect1,Pride1,59110503312703,OPonion,Pride1_Sense4
STOP,Collect1,Pride1,59110505223419,OPonion,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,59110505566121,OPonion,Pride1_Sense4
START,ComputeScalar1,Pride1,59110506495865,OPonion,Pride1_Sense4
STOP,ComputeScalar1,Pride1,59110507448666,OPonion,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,59110508140217,OPonion,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,59110508207466,OPonion,Pride1_Sense4
STOP,Tokenize2,Sense4,59110522699138,OPonion,Pride1_Sense4
QUEUE,Collect2,Sense4,59110522791216,OPonion,Pride1_Sense4
START,Collect2,Sense4,59110522948301,OPonion,Pride1_Sense4
QUEUE,ComputeScalar3,Sense4,59110538559230,OPonion,Pride1_Sense4
START,ComputeScalar3,Sense4,59110538631701,OPonion,Pride1_Sense4
STOP,ComputeScalar3,Sense4,59110544860485,OPonion,Pride1_Sense4
STOP,Collect2,Sense4,59110545125073,OPonion,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,59110545242973,OPonion,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,59110545299972,OPonion,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,59110546625679,OPonion,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,59110546760705,OPonion,Pride1_Sense4
QUEUE,Tokenize1,Pride1,59110547026562,OPonion,Pride1_Sense5
QUEUE,Tokenize2,Sense5,59110547108598,OPonion,Pride1_Sense5
START,Tokenize1,Pride1,59110547219315,OPonion,Pride1_Sense5
START,Tokenize2,Sense5,59110547251023,OPonion,Pride1_Sense5
STOP,Tokenize1,Pride1,59110553321568,OPonion,Pride1_Sense5
QUEUE,Collect1,Pride1,59110553394488,OPonion,Pride1_Sense5
START,Collect1,Pride1,59110554402898,OPonion,Pride1_Sense5
STOP,Collect1,Pride1,59110556263159,OPonion,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1,59110556385881,OPonion,Pride1_Sense5
START,ComputeScalar1,Pride1,59110556413908,OPonion,Pride1_Sense5
STOP,ComputeScalar1,Pride1,59110557107056,OPonion,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,59110557207774,OPonion,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,59110557227681,OPonion,Pride1_Sense5
STOP,Tokenize2,Sense5,59110593519282,OPonion,Pride1_Sense5
QUEUE,Collect2,Sense5,59110593777652,OPonion,Pride1_Sense5
START,Collect2,Sense5,59110594008436,OPonion,Pride1_Sense5
QUEUE,ComputeScalar3,Sense5,59110664571082,OPonion,Pride1_Sense5
START,ComputeScalar3,Sense5,59110664630073,OPonion,Pride1_Sense5
STOP,ComputeScalar3,Sense5,59110667448885,OPonion,Pride1_Sense5
STOP,Collect2,Sense5,59110668100054,OPonion,Pride1_Sense5
QUEUE,ComputeScalar2,Pride1_Sense5,59110668327809,OPonion,Pride1_Sense5
START,ComputeScalar2,Pride1_Sense5,59110668353847,OPonion,Pride1_Sense5
STOP,ComputeScalar2,Pride1_Sense5,59110669163378,OPonion,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,59110669278162,OPonion,Pride1_Sense5
QUEUE,Tokenize1,Pride1,59110669557304,OPonion,Pride1_Sense6
QUEUE,Tokenize2,Sense6,59110669627569,OPonion,Pride1_Sense6
START,Tokenize1,Pride1,59110669839853,OPonion,Pride1_Sense6
START,Tokenize2,Sense6,59110669870678,OPonion,Pride1_Sense6
STOP,Tokenize1,Pride1,59110672231582,OPonion,Pride1_Sense6
QUEUE,Collect1,Pride1,59110679098611,OPonion,Pride1_Sense6
START,Collect1,Pride1,59110679341519,OPonion,Pride1_Sense6
STOP,Collect1,Pride1,59110681418920,OPonion,Pride1_Sense6
QUEUE,ComputeScalar1,Pride1,59110681647043,OPonion,Pride1_Sense6
START,ComputeScalar1,Pride1,59110681673761,OPonion,Pride1_Sense6
STOP,ComputeScalar1,Pride1,59110682000277,OPonion,Pride1_Sense6
QUEUE,ComputeCosine,Pride1_Sense6,59110682112757,OPonion,Pride1_Sense6
START,ComputeCosine,Pride1_Sense6,59110682142487,OPonion,Pride1_Sense6
STOP,Tokenize2,Sense6,59110735679882,OPonion,Pride1_Sense6
QUEUE,Collect2,Sense6,59110735961241,OPonion,Pride1_Sense6
START,Collect2,Sense6,59110736265229,OPonion,Pride1_Sense6
STOP,Collect2,Sense6,59110877762514,OPonion,Pride1_Sense6
QUEUE,ComputeScalar3,Sense6,59110877904874,OPonion,Pride1_Sense6
START,ComputeScalar3,Sense6,59110877932166,OPonion,Pride1_Sense6
QUEUE,ComputeScalar2,Pride1_Sense6,59110877948662,OPonion,Pride1_Sense6
START,ComputeScalar2,Pride1_Sense6,59110877965662,OPonion,Pride1_Sense6
STOP,ComputeScalar2,Pride1_Sense6,59110879412519,OPonion,Pride1_Sense6
STOP,ComputeScalar3,Sense6,59110901925089,OPonion,Pride1_Sense6
STOP,ComputeCosine,Pride1_Sense6,59110902356673,OPonion,Pride1_Sense6
QUEUE,Tokenize1,Pride2,59110902763901,OPonion,Pride2_Sense1
QUEUE,Tokenize2,Sense1,59110902904474,OPonion,Pride2_Sense1
START,Tokenize1,Pride2,59110902952054,OPonion,Pride2_Sense1
START,Tokenize2,Sense1,59110903120293,OPonion,Pride2_Sense1
STOP,Tokenize2,Sense1,59110906216753,OPonion,Pride2_Sense1
QUEUE,Collect2,Sense1,59110906448856,OPonion,Pride2_Sense1
START,Collect2,Sense1,59110906709455,OPonion,Pride2_Sense1
STOP,Collect2,Sense1,59110909388451,OPonion,Pride2_Sense1
QUEUE,ComputeScalar3,Sense1,59110909484330,OPonion,Pride2_Sense1
START,ComputeScalar3,Sense1,59110909608895,OPonion,Pride2_Sense1
STOP,ComputeScalar3,Sense1,59110909881591,OPonion,Pride2_Sense1
QUEUE,ComputeCosine,Pride2_Sense1,59110909995103,OPonion,Pride2_Sense1
START,ComputeCosine,Pride2_Sense1,59110910010608,OPonion,Pride2_Sense1
STOP,Tokenize1,Pride2,59110911513506,OPonion,Pride2_Sense1
QUEUE,Collect1,Pride2,59110911558788,OPonion,Pride2_Sense1
START,Collect1,Pride2,59110911687462,OPonion,Pride2_Sense1
STOP,Collect1,Pride2,59110919724637,OPonion,Pride2_Sense1
QUEUE,ComputeScalar1,Pride2,59110919848499,OPonion,Pride2_Sense1
QUEUE,ComputeScalar2,Pride2_Sense1,59110919868202,OPonion,Pride2_Sense1
START,ComputeScalar2,Pride2_Sense1,59110919900902,OPonion,Pride2_Sense1
START,ComputeScalar1,Pride2,59110919872594,OPonion,Pride2_Sense1
STOP,ComputeScalar2,Pride2_Sense1,59110920766997,OPonion,Pride2_Sense1
STOP,ComputeScalar1,Pride2,59110921196118,OPonion,Pride2_Sense1
STOP,ComputeCosine,Pride2_Sense1,59110921353466,OPonion,Pride2_Sense1
QUEUE,Tokenize1,Pride2,59110921691939,OPonion,Pride2_Sense2
QUEUE,Tokenize2,Sense2,59110921730397,OPonion,Pride2_Sense2
START,Tokenize2,Sense2,59110921815503,OPonion,Pride2_Sense2
STOP,Tokenize2,Sense2,59110926645968,OPonion,Pride2_Sense2
QUEUE,Collect2,Sense2,59110926967552,OPonion,Pride2_Sense2
START,Collect2,Sense2,59110927183669,OPonion,Pride2_Sense2
START,Tokenize1,Pride2,59110927410309,OPonion,Pride2_Sense2
STOP,Tokenize1,Pride2,59110933038677,OPonion,Pride2_Sense2
QUEUE,Collect1,Pride2,59110933088253,OPonion,Pride2_Sense2
START,Collect1,Pride2,59110933412857,OPonion,Pride2_Sense2
QUEUE,ComputeScalar3,Sense2,59110936228084,OPonion,Pride2_Sense2
START,ComputeScalar3,Sense2,59110936258376,OPonion,Pride2_Sense2
STOP,ComputeScalar3,Sense2,59110937157275,OPonion,Pride2_Sense2
QUEUE,ComputeCosine,Pride2_Sense2,59110937258771,OPonion,Pride2_Sense2
