type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,140384836837806,RusselsTeapot,Pride1_Sense1
QUEUE,Tokenize2,Sense1,140384857375674,RusselsTeapot,Pride1_Sense1
START,Tokenize1,Pride1,140384857930525,RusselsTeapot,Pride1_Sense1
START,Tokenize2,Sense1,140384858647556,RusselsTeapot,Pride1_Sense1
STOP,Tokenize1,Pride1,140384872010196,RusselsTeapot,Pride1_Sense1
QUEUE,Collect1,Pride1,140384872764273,RusselsTeapot,Pride1_Sense1
STOP,Tokenize2,Sense1,140384873608777,RusselsTeapot,Pride1_Sense1
QUEUE,Collect2,Sense1,140384873665045,RusselsTeapot,Pride1_Sense1
START,Collect1,Pride1,140384878151065,RusselsTeapot,Pride1_Sense1
START,Collect2,Sense1,140384878151292,RusselsTeapot,Pride1_Sense1
STOP,Collect1,Pride1,140384889547362,RusselsTeapot,Pride1_Sense1
STOP,Collect2,Sense1,140384889416172,RusselsTeapot,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,140384897673910,RusselsTeapot,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,140384897644627,RusselsTeapot,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,140384899054098,RusselsTeapot,Pride1_Sense1
START,ComputeScalar1,Pride1,140384899049881,RusselsTeapot,Pride1_Sense1
START,ComputeScalar3,Sense1,140384899320583,RusselsTeapot,Pride1_Sense1
STOP,ComputeScalar1,Pride1,140384900970549,RusselsTeapot,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,140384901822316,RusselsTeapot,Pride1_Sense1
STOP,ComputeScalar3,Sense1,140384901131736,RusselsTeapot,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,140384902951886,RusselsTeapot,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,140384918316273,RusselsTeapot,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,140384918860998,RusselsTeapot,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,140384919217585,RusselsTeapot,Pride1_Sense1
QUEUE,Tokenize1,Pride1,140384919823252,RusselsTeapot,Pride1_Sense2
QUEUE,Tokenize2,Sense2,140384919911569,RusselsTeapot,Pride1_Sense2
START,Tokenize1,Pride1,140384919954254,RusselsTeapot,Pride1_Sense2
START,Tokenize2,Sense2,140384920085228,RusselsTeapot,Pride1_Sense2
STOP,Tokenize1,Pride1,140384923168090,RusselsTeapot,Pride1_Sense2
QUEUE,Collect1,Pride1,140384923271750,RusselsTeapot,Pride1_Sense2
START,Collect1,Pride1,140384923452483,RusselsTeapot,Pride1_Sense2
STOP,Collect1,Pride1,140384926210065,RusselsTeapot,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,140384926380605,RusselsTeapot,Pride1_Sense2
START,ComputeScalar1,Pride1,140384926708626,RusselsTeapot,Pride1_Sense2
STOP,Tokenize2,Sense2,140384927342019,RusselsTeapot,Pride1_Sense2
QUEUE,Collect2,Sense2,140384927412501,RusselsTeapot,Pride1_Sense2
STOP,ComputeScalar1,Pride1,140384927452668,RusselsTeapot,Pride1_Sense2
START,Collect2,Sense2,140384927586014,RusselsTeapot,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,140384927736923,RusselsTeapot,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,140384927871325,RusselsTeapot,Pride1_Sense2
STOP,Collect2,Sense2,140384931629030,RusselsTeapot,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,140384931795386,RusselsTeapot,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,140384931873102,RusselsTeapot,Pride1_Sense2
START,ComputeScalar3,Sense2,140384931957123,RusselsTeapot,Pride1_Sense2
STOP,ComputeScalar3,Sense2,140384933181552,RusselsTeapot,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,140384933171977,RusselsTeapot,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,140384933391117,RusselsTeapot,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,140384933440619,RusselsTeapot,Pride1_Sense2
QUEUE,Tokenize1,Pride1,140384933640804,RusselsTeapot,Pride1_Sense3
QUEUE,Tokenize2,Sense3,140384933714799,RusselsTeapot,Pride1_Sense3
START,Tokenize1,Pride1,140384933771046,RusselsTeapot,Pride1_Sense3
START,Tokenize2,Sense3,140384933868868,RusselsTeapot,Pride1_Sense3
STOP,Tokenize1,Pride1,140384937947730,RusselsTeapot,Pride1_Sense3
QUEUE,Collect1,Pride1,140384938075690,RusselsTeapot,Pride1_Sense3
START,Collect1,Pride1,140384938285787,RusselsTeapot,Pride1_Sense3
STOP,Collect1,Pride1,140384941400055,RusselsTeapot,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,140384941654231,RusselsTeapot,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,140384941774001,RusselsTeapot,Pride1_Sense3
START,ComputeScalar1,Pride1,140384941901228,RusselsTeapot,Pride1_Sense3
STOP,ComputeScalar1,Pride1,140384943755557,RusselsTeapot,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,140384944017973,RusselsTeapot,Pride1_Sense3
STOP,Tokenize2,Sense3,140384946006632,RusselsTeapot,Pride1_Sense3
QUEUE,Collect2,Sense3,140384946101841,RusselsTeapot,Pride1_Sense3
START,Collect2,Sense3,140384946251552,RusselsTeapot,Pride1_Sense3
STOP,Collect2,Sense3,140384955332074,RusselsTeapot,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,140384955525825,RusselsTeapot,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,140384955611745,RusselsTeapot,Pride1_Sense3
START,ComputeScalar3,Sense3,140384955643906,RusselsTeapot,Pride1_Sense3
STOP,ComputeScalar3,Sense3,140384957554233,RusselsTeapot,Pride1_Sense3
