type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,8516685931037,czMarcik,Pride1_Sense1
QUEUE,Tokenize1,Pride1,8516686137349,czMarcik,Pride1_Sense1
START,Tokenize1,Pride1,8516686343037,czMarcik,Pride1_Sense1
START,Tokenize2,Sense1,8516691431257,czMarcik,Pride1_Sense1
STOP,Tokenize1,Pride1,8516715147174,czMarcik,Pride1_Sense1
QUEUE,Collect1,Pride1,8516715349162,czMarcik,Pride1_Sense1
START,Collect1,Pride1,8516715415132,czMarcik,Pride1_Sense1
STOP,Tokenize2,Sense1,8516720791225,czMarcik,Pride1_Sense1
QUEUE,Collect2,Sense1,8516720981262,czMarcik,Pride1_Sense1
START,Collect2,Sense1,8516721010103,czMarcik,Pride1_Sense1
STOP,Collect2,Sense1,8516738471347,czMarcik,Pride1_Sense1
STOP,Collect1,Pride1,8516738759752,czMarcik,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,8516738990445,czMarcik,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,8516739099001,czMarcik,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,8516739195356,czMarcik,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,8516740932570,czMarcik,Pride1_Sense1
START,ComputeScalar1,Pride1,8516742159562,czMarcik,Pride1_Sense1
STOP,ComputeScalar1,Pride1,8516743395477,czMarcik,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,8516743875595,czMarcik,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,8516743970925,czMarcik,Pride1_Sense1
START,ComputeScalar3,Sense1,8516744953196,czMarcik,Pride1_Sense1
STOP,ComputeScalar3,Sense1,8516745875112,czMarcik,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,8516746141607,czMarcik,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,8516746214200,czMarcik,Pride1_Sense1
QUEUE,Tokenize1,Pride2,8516855405877,czMarcik,Pride2_Sense1
START,Tokenize1,Pride2,8516855482993,czMarcik,Pride2_Sense1
STOP,Tokenize1,Pride2,8516858645712,czMarcik,Pride2_Sense1
QUEUE,Tokenize2,Sense1,8516863889189,czMarcik,Pride2_Sense1
START,Tokenize2,Sense1,8516863992937,czMarcik,Pride2_Sense1
QUEUE,Collect1,Pride2,8516869115831,czMarcik,Pride2_Sense1
START,Collect1,Pride2,8516869168725,czMarcik,Pride2_Sense1
STOP,Collect1,Pride2,8516876790550,czMarcik,Pride2_Sense1
QUEUE,ComputeScalar2,Pride2_Sense1,8516877010474,czMarcik,Pride2_Sense1
QUEUE,ComputeScalar1,Pride2,8516877022298,czMarcik,Pride2_Sense1
START,ComputeScalar1,Pride2,8516877245148,czMarcik,Pride2_Sense1
STOP,ComputeScalar1,Pride2,8516878375679,czMarcik,Pride2_Sense1
QUEUE,ComputeCosine,Pride2_Sense1,8516878554104,czMarcik,Pride2_Sense1
STOP,Tokenize2,Sense1,8516900684640,czMarcik,Pride2_Sense1
QUEUE,Collect2,Sense1,8516900859485,czMarcik,Pride2_Sense1
START,Collect2,Sense1,8516900891242,czMarcik,Pride2_Sense1
STOP,Collect2,Sense1,8516906638086,czMarcik,Pride2_Sense1
START,ComputeScalar2,Pride2_Sense1,8516906894502,czMarcik,Pride2_Sense1
QUEUE,ComputeScalar3,Sense1,8516906915649,czMarcik,Pride2_Sense1
START,ComputeScalar3,Sense1,8516907062257,czMarcik,Pride2_Sense1
STOP,ComputeScalar2,Pride2_Sense1,8516908017792,czMarcik,Pride2_Sense1
STOP,ComputeScalar3,Sense1,8516908954638,czMarcik,Pride2_Sense1
START,ComputeCosine,Pride2_Sense1,8516909129117,czMarcik,Pride2_Sense1
STOP,ComputeCosine,Pride2_Sense1,8516909165420,czMarcik,Pride2_Sense1
QUEUE,Tokenize1,Pride3,8517010134029,czMarcik,Pride3_Sense1
QUEUE,Tokenize2,Sense1,8517010260562,czMarcik,Pride3_Sense1
START,Tokenize1,Pride3,8517010342412,czMarcik,Pride3_Sense1
STOP,Tokenize1,Pride3,8517013745982,czMarcik,Pride3_Sense1
START,Tokenize2,Sense1,8517013956972,czMarcik,Pride3_Sense1
QUEUE,Collect1,Pride3,8517013984796,czMarcik,Pride3_Sense1
START,Collect1,Pride3,8517014130269,czMarcik,Pride3_Sense1
STOP,Collect1,Pride3,8517017031526,czMarcik,Pride3_Sense1
QUEUE,ComputeScalar2,Pride3_Sense1,8517017373693,czMarcik,Pride3_Sense1
QUEUE,ComputeScalar1,Pride3,8517017679864,czMarcik,Pride3_Sense1
START,ComputeScalar1,Pride3,8517017731192,czMarcik,Pride3_Sense1
STOP,ComputeScalar1,Pride3,8517018461870,czMarcik,Pride3_Sense1
QUEUE,ComputeCosine,Pride3_Sense1,8517018590581,czMarcik,Pride3_Sense1
STOP,Tokenize2,Sense1,8517046073232,czMarcik,Pride3_Sense1
QUEUE,Collect2,Sense1,8517046307866,czMarcik,Pride3_Sense1
START,Collect2,Sense1,8517046350136,czMarcik,Pride3_Sense1
STOP,Collect2,Sense1,8517073153624,czMarcik,Pride3_Sense1
START,ComputeScalar2,Pride3_Sense1,8517076982060,czMarcik,Pride3_Sense1
QUEUE,ComputeScalar3,Sense1,8517077184447,czMarcik,Pride3_Sense1
STOP,ComputeScalar2,Pride3_Sense1,8517078363133,czMarcik,Pride3_Sense1
START,ComputeScalar3,Sense1,8517078694038,czMarcik,Pride3_Sense1
STOP,ComputeScalar3,Sense1,8517081955308,czMarcik,Pride3_Sense1
START,ComputeCosine,Pride3_Sense1,8517082208506,czMarcik,Pride3_Sense1
STOP,ComputeCosine,Pride3_Sense1,8517082246280,czMarcik,Pride3_Sense1
QUEUE,Tokenize1,Pride4,8517190397036,czMarcik,Pride4_Sense1
QUEUE,Tokenize2,Sense1,8517190436432,czMarcik,Pride4_Sense1
START,Tokenize1,Pride4,8517190481904,czMarcik,Pride4_Sense1
START,Tokenize2,Sense1,8517190509652,czMarcik,Pride4_Sense1
STOP,Tokenize1,Pride4,8517223010556,czMarcik,Pride4_Sense1
QUEUE,Collect1,Pride4,8517223223065,czMarcik,Pride4_Sense1
START,Collect1,Pride4,8517223258920,czMarcik,Pride4_Sense1
STOP,Collect1,Pride4,8517225927293,czMarcik,Pride4_Sense1
QUEUE,ComputeScalar1,Pride4,8517226169544,czMarcik,Pride4_Sense1
