type,name,input_id,time,team,meas_id
QUEUE,Collect1,Pride1,24464490464050,ritkub,Pride1_Sense1
QUEUE,Tokenize1,Pride1,24464490506742,ritkub,Pride1_Sense1
QUEUE,Tokenize1,Sense1,24464490485251,ritkub,Pride1_Sense1
QUEUE,Collect2,Sense1,24464490463945,ritkub,Pride1_Sense1
START,Tokenize1,Sense1,24464490695980,ritkub,Pride1_Sense1
START,Tokenize1,Pride1,24464490650398,ritkub,Pride1_Sense1
STOP,Tokenize1,Pride1,24464513875505,ritkub,Pride1_Sense1
START,Collect1,Pride1,24464514100856,ritkub,Pride1_Sense1
STOP,Tokenize1,Sense1,24464515519497,ritkub,Pride1_Sense1
START,Collect2,Sense1,24464515729103,ritkub,Pride1_Sense1
STOP,Collect2,Sense1,24464529121359,ritkub,Pride1_Sense1
STOP,Collect1,Pride1,24464529164362,ritkub,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,24464529364057,ritkub,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,24464529363936,ritkub,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,24464529363913,ritkub,Pride1_Sense1
START,ComputeScalar1,Pride1,24464529462066,ritkub,Pride1_Sense1
START,ComputeScalar2,Sense1,24464529534883,ritkub,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,24464529504206,ritkub,Pride1_Sense1
STOP,ComputeScalar1,Pride1,24464535341510,ritkub,Pride1_Sense1
STOP,ComputeScalar2,Sense1,24464535625871,ritkub,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,24464535664255,ritkub,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,24464535651583,ritkub,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,24464535936945,ritkub,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,24464536046325,ritkub,Pride1_Sense1
QUEUE,Collect1,Pride1,24464536664281,ritkub,Pride1_Sense2
QUEUE,Tokenize1,Pride1,24464536775006,ritkub,Pride1_Sense2
START,Tokenize1,Pride1,24464536836659,ritkub,Pride1_Sense2
QUEUE,Tokenize1,Sense2,24464536706716,ritkub,Pride1_Sense2
QUEUE,Collect2,Sense2,24464536689879,ritkub,Pride1_Sense2
START,Tokenize1,Sense2,24464536978776,ritkub,Pride1_Sense2
STOP,Tokenize1,Pride1,24464547244296,ritkub,Pride1_Sense2
START,Collect1,Pride1,24464547465884,ritkub,Pride1_Sense2
STOP,Tokenize1,Sense2,24464548389497,ritkub,Pride1_Sense2
START,Collect2,Sense2,24464548566722,ritkub,Pride1_Sense2
STOP,Collect1,Pride1,24464552384092,ritkub,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,24464552727789,ritkub,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,24464552727943,ritkub,Pride1_Sense2
START,ComputeScalar1,Pride1,24464552842896,ritkub,Pride1_Sense2
STOP,ComputeScalar1,Pride1,24464555916661,ritkub,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,24464556142887,ritkub,Pride1_Sense2
STOP,Collect2,Sense2,24464560399357,ritkub,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,24464560604194,ritkub,Pride1_Sense2
START,ComputeScalar2,Sense2,24464560607784,ritkub,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,24464560690836,ritkub,Pride1_Sense2
STOP,ComputeScalar2,Sense2,24464563736235,ritkub,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,24464563863154,ritkub,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,24464564047287,ritkub,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,24464564092513,ritkub,Pride1_Sense2
QUEUE,Collect1,Pride1,24464564665522,ritkub,Pride1_Sense3
QUEUE,Tokenize1,Pride1,24464564735262,ritkub,Pride1_Sense3
QUEUE,Tokenize1,Sense3,24464564721006,ritkub,Pride1_Sense3
START,Tokenize1,Pride1,24464564855195,ritkub,Pride1_Sense3
QUEUE,Collect2,Sense3,24464564699882,ritkub,Pride1_Sense3
START,Tokenize1,Sense3,24464564862138,ritkub,Pride1_Sense3
STOP,Tokenize1,Pride1,24464568255033,ritkub,Pride1_Sense3
START,Collect1,Pride1,24464568413066,ritkub,Pride1_Sense3
STOP,Collect1,Pride1,24464572870446,ritkub,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,24464573144588,ritkub,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,24464573167685,ritkub,Pride1_Sense3
START,ComputeScalar1,Pride1,24464573219699,ritkub,Pride1_Sense3
STOP,ComputeScalar1,Pride1,24464574594075,ritkub,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,24464574799411,ritkub,Pride1_Sense3
STOP,Tokenize1,Sense3,24464580548659,ritkub,Pride1_Sense3
START,Collect2,Sense3,24464580865477,ritkub,Pride1_Sense3
STOP,Collect2,Sense3,24464592302131,ritkub,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,24464592499569,ritkub,Pride1_Sense3
START,ComputeScalar2,Sense3,24464592502836,ritkub,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,24464592562165,ritkub,Pride1_Sense3
STOP,ComputeScalar2,Sense3,24464595296349,ritkub,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,24464598500374,ritkub,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,24464598683404,ritkub,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,24464598719004,ritkub,Pride1_Sense3
QUEUE,Collect1,Pride1,24464599332259,ritkub,Pride1_Sense4
QUEUE,Tokenize1,Sense4,24464599387455,ritkub,Pride1_Sense4
QUEUE,Collect2,Sense4,24464599365292,ritkub,Pride1_Sense4
START,Tokenize1,Sense4,24464599500345,ritkub,Pride1_Sense4
QUEUE,Tokenize1,Pride1,24464599422165,ritkub,Pride1_Sense4
START,Tokenize1,Pride1,24464599598314,ritkub,Pride1_Sense4
STOP,Tokenize1,Pride1,24464602433512,ritkub,Pride1_Sense4
START,Collect1,Pride1,24464602756473,ritkub,Pride1_Sense4
STOP,Collect1,Pride1,24464606890315,ritkub,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,24464607141447,ritkub,Pride1_Sense4
QUEUE,ComputeScalar2,Sense4,24464607147523,ritkub,Pride1_Sense4
START,ComputeScalar1,Pride1,24464607229863,ritkub,Pride1_Sense4
STOP,ComputeScalar1,Pride1,24464608376308,ritkub,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,24464608551583,ritkub,Pride1_Sense4
STOP,Tokenize1,Sense4,24464627314902,ritkub,Pride1_Sense4
START,Collect2,Sense4,24464627586003,ritkub,Pride1_Sense4
STOP,Collect2,Sense4,24464657118878,ritkub,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,24464657317777,ritkub,Pride1_Sense4
START,ComputeScalar2,Sense4,24464657321028,ritkub,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,24464657380056,ritkub,Pride1_Sense4
STOP,ComputeScalar2,Sense4,24464660405569,ritkub,Pride1_Sense4
STOP,ComputeScalar3,Pride1_Sense4,24464668880636,ritkub,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,24464669064544,ritkub,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,24464669097289,ritkub,Pride1_Sense4
QUEUE,Collect1,Pride1,24464670039676,ritkub,Pride1_Sense5
QUEUE,Collect2,Sense5,24464670062055,ritkub,Pride1_Sense5
QUEUE,Tokenize1,Pride1,24464670172241,ritkub,Pride1_Sense5
QUEUE,Tokenize1,Sense5,24464670123929,ritkub,Pride1_Sense5
START,Tokenize1,Pride1,24464670272270,ritkub,Pride1_Sense5
START,Tokenize1,Sense5,24464670311318,ritkub,Pride1_Sense5
STOP,Tokenize1,Pride1,24464677954636,ritkub,Pride1_Sense5
START,Collect1,Pride1,24464678193585,ritkub,Pride1_Sense5
STOP,Collect1,Pride1,24464681312586,ritkub,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1,24464681548201,ritkub,Pride1_Sense5
QUEUE,ComputeScalar2,Sense5,24464681563551,ritkub,Pride1_Sense5
START,ComputeScalar1,Pride1,24464681639094,ritkub,Pride1_Sense5
STOP,ComputeScalar1,Pride1,24464683348710,ritkub,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,24464683532122,ritkub,Pride1_Sense5
STOP,Tokenize1,Sense5,24464757242803,ritkub,Pride1_Sense5
START,Collect2,Sense5,24464757473050,ritkub,Pride1_Sense5
STOP,Collect2,Sense5,24464801073937,ritkub,Pride1_Sense5
START,ComputeScalar2,Sense5,24464801282046,ritkub,Pride1_Sense5
QUEUE,ComputeScalar3,Pride1_Sense5,24464801287287,ritkub,Pride1_Sense5
START,ComputeScalar3,Pride1_Sense5,24464801430546,ritkub,Pride1_Sense5
STOP,ComputeScalar2,Sense5,24464803866824,ritkub,Pride1_Sense5
STOP,ComputeScalar3,Pride1_Sense5,24464818329120,ritkub,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,24464818547035,ritkub,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,24464818601953,ritkub,Pride1_Sense5
QUEUE,Collect1,Pride1,24464820539677,ritkub,Pride1_Sense6
QUEUE,Tokenize1,Pride1,24464820650816,ritkub,Pride1_Sense6
QUEUE,Tokenize1,Sense6,24464820621970,ritkub,Pride1_Sense6
START,Tokenize1,Pride1,24464820809529,ritkub,Pride1_Sense6
QUEUE,Collect2,Sense6,24464820572757,ritkub,Pride1_Sense6
START,Tokenize1,Sense6,24464820881451,ritkub,Pride1_Sense6
STOP,Tokenize1,Pride1,24464823339256,ritkub,Pride1_Sense6
START,Collect1,Pride1,24464823525256,ritkub,Pride1_Sense6
STOP,Collect1,Pride1,24464825708595,ritkub,Pride1_Sense6
