type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,157797601277000,aguti,Pride1_Sense1
QUEUE,Tokenize2,Sense1,157797602549300,aguti,Pride1_Sense1
START,Tokenize1,Pride1,157797602549200,aguti,Pride1_Sense1
START,Tokenize2,Sense1,157797602947800,aguti,Pride1_Sense1
STOP,Tokenize2,Sense1,157797704730000,aguti,Pride1_Sense1
STOP,Tokenize1,Pride1,157797737979800,aguti,Pride1_Sense1
QUEUE,Collect1,Pride1,157797750749100,aguti,Pride1_Sense1
START,Collect1,Pride1,157797751150700,aguti,Pride1_Sense1
QUEUE,Collect2,Sense1,157797752111400,aguti,Pride1_Sense1
START,Collect2,Sense1,157797752799400,aguti,Pride1_Sense1
STOP,Collect1,Pride1,157797772452400,aguti,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,157797772846300,aguti,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1,157797773145300,aguti,Pride1_Sense1
STOP,Collect2,Sense1,157797773633800,aguti,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,157797773844000,aguti,Pride1_Sense1
START,ComputeScalar1,Pride1,157797774273500,aguti,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,157797774516400,aguti,Pride1_Sense1
START,ComputeScalar3,Sense1,157797776108400,aguti,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,157797779602700,aguti,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,157797780766900,aguti,Pride1_Sense1
STOP,ComputeScalar3,Sense1,157797781584800,aguti,Pride1_Sense1
STOP,ComputeScalar1,Pride1,157797785179300,aguti,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,157797785881700,aguti,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,157797786253600,aguti,Pride1_Sense1
QUEUE,Tokenize1,Pride1,157797810630700,aguti,Pride1_Sense2
QUEUE,Tokenize2,Sense2,157797811717400,aguti,Pride1_Sense2
START,Tokenize1,Pride1,157797812902000,aguti,Pride1_Sense2
START,Tokenize2,Sense2,157797815093000,aguti,Pride1_Sense2
STOP,Tokenize1,Pride1,157797851725100,aguti,Pride1_Sense2
QUEUE,Collect1,Pride1,157797852181300,aguti,Pride1_Sense2
START,Collect1,Pride1,157797856898400,aguti,Pride1_Sense2
STOP,Tokenize2,Sense2,157797869986900,aguti,Pride1_Sense2
QUEUE,Collect2,Sense2,157797870215300,aguti,Pride1_Sense2
START,Collect2,Sense2,157797870450200,aguti,Pride1_Sense2
STOP,Collect1,Pride1,157797871015100,aguti,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,157797871291200,aguti,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1,157797871587200,aguti,Pride1_Sense2
START,ComputeScalar1,Pride1,157797871848800,aguti,Pride1_Sense2
STOP,ComputeScalar1,Pride1,157797875543200,aguti,Pride1_Sense2
QUEUE,ComputeCosine,Pride1,157797875773800,aguti,Pride1_Sense2
STOP,Collect2,Sense2,157797884817200,aguti,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,157797886785600,aguti,Pride1_Sense2
START,ComputeScalar3,Sense2,157797887856300,aguti,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,157797887861600,aguti,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,157797891433900,aguti,Pride1_Sense2
STOP,ComputeScalar3,Sense2,157797893426800,aguti,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,157797893911200,aguti,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,157797894175800,aguti,Pride1_Sense2
QUEUE,Tokenize1,Pride1,157797908027700,aguti,Pride1_Sense3
QUEUE,Tokenize2,Sense3,157797908502100,aguti,Pride1_Sense3
START,Tokenize1,Pride1,157797908734000,aguti,Pride1_Sense3
START,Tokenize2,Sense3,157797909611100,aguti,Pride1_Sense3
STOP,Tokenize1,Pride1,157797914717900,aguti,Pride1_Sense3
QUEUE,Collect1,Pride1,157797914927700,aguti,Pride1_Sense3
START,Collect1,Pride1,157797915189900,aguti,Pride1_Sense3
STOP,Collect1,Pride1,157797920584200,aguti,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,157797921041100,aguti,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1,157797921346800,aguti,Pride1_Sense3
START,ComputeScalar1,Pride1,157797921693200,aguti,Pride1_Sense3
STOP,ComputeScalar1,Pride1,157797924195200,aguti,Pride1_Sense3
QUEUE,ComputeCosine,Pride1,157797924401700,aguti,Pride1_Sense3
STOP,Tokenize2,Sense3,157797929882300,aguti,Pride1_Sense3
QUEUE,Collect2,Sense3,157797931577800,aguti,Pride1_Sense3
START,Collect2,Sense3,157797933035100,aguti,Pride1_Sense3
STOP,Collect2,Sense3,157797944887600,aguti,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,157797945178500,aguti,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,157797945397800,aguti,Pride1_Sense3
START,ComputeScalar3,Sense3,157797945420000,aguti,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,157797948595500,aguti,Pride1_Sense3
STOP,ComputeScalar3,Sense3,157797954753000,aguti,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,157797955682300,aguti,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,157797956013600,aguti,Pride1_Sense3
QUEUE,Tokenize1,Pride1,157797969388300,aguti,Pride1_Sense4
QUEUE,Tokenize2,Sense4,157797969598500,aguti,Pride1_Sense4
START,Tokenize1,Pride1,157797969657700,aguti,Pride1_Sense4
START,Tokenize2,Sense4,157797970145900,aguti,Pride1_Sense4
STOP,Tokenize1,Pride1,157797975623600,aguti,Pride1_Sense4
QUEUE,Collect1,Pride1,157797975824500,aguti,Pride1_Sense4
START,Collect1,Pride1,157797977192600,aguti,Pride1_Sense4
STOP,Collect1,Pride1,157797980810000,aguti,Pride1_Sense4
