type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,,BlaskoG,Pride1_Sense1
QUEUE,Tokenize2,Sense1,,BlaskoG,Pride1_Sense1
START,Tokenize1,Pride1,490791506727,BlaskoG,Pride1_Sense1
START,Tokenize2,Sense1,490800489925,BlaskoG,Pride1_Sense1
QUEUE,Collect1,Pride1,,BlaskoG,Pride1_Sense1
QUEUE,Collect2,Sense1,,BlaskoG,Pride1_Sense1
START,Collect1,Pride1,491229792062,BlaskoG,Pride1_Sense1
START,Collect2,Sense1,491229792329,BlaskoG,Pride1_Sense1
STOP,Collect1,Pride1,491431799871,BlaskoG,Pride1_Sense1
STOP,Collect2,Pride1,491431909071,BlaskoG,Pride1_Sense1
STOP,Tokenize2,Sense1,491432099393,BlaskoG,Pride1_Sense1
STOP,Tokenize1,Pride1,491432927780,BlaskoG,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,,BlaskoG,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,,BlaskoG,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,491736999206,BlaskoG,Pride1_Sense1
START,ComputeScalar2,Sense1,491737296756,BlaskoG,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,,BlaskoG,Pride1_Sense1
START,ComputeScalar1,Pride1,491741196170,BlaskoG,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,491745903269,BlaskoG,Pride1_Sense1
STOP,ComputeScalar1,Pride1,491746262967,BlaskoG,Pride1_Sense1
STOP,ComputeScalar2,Sense1,491747630222,BlaskoG,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,,BlaskoG,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,492041622644,BlaskoG,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,492351398373,BlaskoG,Pride1_Sense1
QUEUE,Tokenize1,Pride1,,BlaskoG,Pride1_Sense2
QUEUE,Tokenize2,Sense2,,BlaskoG,Pride1_Sense2
START,Tokenize1,Pride1,24376506926048,BlaskoG,Pride1_Sense2
START,Tokenize2,Sense2,24376524384437,BlaskoG,Pride1_Sense2
QUEUE,Collect1,Pride1,,BlaskoG,Pride1_Sense2
QUEUE,Collect2,Sense2,,BlaskoG,Pride1_Sense2
START,Collect2,Sense2,24376664430876,BlaskoG,Pride1_Sense2
START,Collect1,Pride1,24376664859546,BlaskoG,Pride1_Sense2
STOP,Collect1,Pride1,24376742492202,BlaskoG,Pride1_Sense2
STOP,Tokenize1,Pride1,24376742818905,BlaskoG,Pride1_Sense2
STOP,Collect2,Sense2,24376750435464,BlaskoG,Pride1_Sense2
STOP,Tokenize2,Sense2,24376750737297,BlaskoG,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,,BlaskoG,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,,BlaskoG,Pride1_Sense2
START,ComputeScalar1,Pride1,24376825426660,BlaskoG,Pride1_Sense2
STOP,ComputeScalar1,Pride1,24376827314832,BlaskoG,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,,BlaskoG,Pride1_Sense2
START,ComputeScalar2,Sense2,24376831130504,BlaskoG,Pride1_Sense2
STOP,ComputeScalar2,Sense2,24376831423003,BlaskoG,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,24376862985481,BlaskoG,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,24376873957581,BlaskoG,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,,BlaskoG,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,24377164554084,BlaskoG,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,24377478819455,BlaskoG,Pride1_Sense2
QUEUE,Tokenize1,Pride1,,BlaskoG,Pride1_Sense3
QUEUE,Tokenize2,Sense3,,BlaskoG,Pride1_Sense3
START,Tokenize1,Pride1,24572163886301,BlaskoG,Pride1_Sense3
START,Tokenize2,Sense3,24572169591043,BlaskoG,Pride1_Sense3
QUEUE,Collect1,Pride1,,BlaskoG,Pride1_Sense3
START,Collect1,Pride1,24572308218069,BlaskoG,Pride1_Sense3
QUEUE,Collect2,Sense3,,BlaskoG,Pride1_Sense3
START,Collect2,Sense3,24572371150729,BlaskoG,Pride1_Sense3
STOP,Collect1,Pride1,24572432332280,BlaskoG,Pride1_Sense3
STOP,Tokenize1,Pride1,24572437203363,BlaskoG,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,,BlaskoG,Pride1_Sense3
STOP,Collect2,Sense3,24572472226312,BlaskoG,Pride1_Sense3
STOP,Tokenize2,Sense3,24572472422110,BlaskoG,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,,BlaskoG,Pride1_Sense3
START,ComputeScalar1,Pride1,24572474004293,BlaskoG,Pride1_Sense3
STOP,ComputeScalar1,Pride1,24572478400220,BlaskoG,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,,BlaskoG,Pride1_Sense3
START,ComputeScalar2,Sense3,24572484697039,BlaskoG,Pride1_Sense3
STOP,ComputeScalar2,Sense3,24572485036676,BlaskoG,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,24572513013116,BlaskoG,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,24572517376826,BlaskoG,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,,BlaskoG,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,24572809012899,BlaskoG,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,24573117890743,BlaskoG,Pride1_Sense3
QUEUE,Tokenize1,Pride1,,BlaskoG,Pride1_Sense4
QUEUE,Tokenize2,Sense4,,BlaskoG,Pride1_Sense4
START,Tokenize1,Pride1,2371723457908,BlaskoG,Pride1_Sense4
START,Tokenize2,Sense4,2371728149666,BlaskoG,Pride1_Sense4
QUEUE,Collect1,Pride1,,BlaskoG,Pride1_Sense4
START,Collect1,Pride1,2371885164755,BlaskoG,Pride1_Sense4
STOP,Collect1,Pride1,2371989734575,BlaskoG,Pride1_Sense4
STOP,Tokenize1,Pride1,2371990471426,BlaskoG,Pride1_Sense4
QUEUE,Collect2,Sense4,,BlaskoG,Pride1_Sense4
START,Collect2,Sense4,2372007443816,BlaskoG,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,,BlaskoG,Pride1_Sense4
START,ComputeScalar1,Pride1,2372041882693,BlaskoG,Pride1_Sense4
STOP,ComputeScalar1,Pride1,2372052853153,BlaskoG,Pride1_Sense4
STOP,Collect2,Sense4,2372201289351,BlaskoG,Pride1_Sense4
STOP,Tokenize2,Sense4,2372201487002,BlaskoG,Pride1_Sense4
QUEUE,ComputeScalar2,Sense4,,BlaskoG,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,,BlaskoG,Pride1_Sense4
START,ComputeScalar2,Sense4,2372211147990,BlaskoG,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,2372213283316,BlaskoG,Pride1_Sense4
STOP,ComputeScalar3,Pride1_Sense4,2372213534123,BlaskoG,Pride1_Sense4
STOP,ComputeScalar2,Sense4,2372224129578,BlaskoG,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,,BlaskoG,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,2372249102838,BlaskoG,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,2372557227052,BlaskoG,Pride1_Sense4
