type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,9021574852792.0,CsoRike,Pride1_Sense1
START,Tokenize1,Pride1,9021582856443.0,CsoRike,Pride1_Sense1
QUEUE,Tokenize2,Sense1,9021597252476.0,CsoRike,Pride1_Sense1
START,Tokenize2,Sense1,9021598243311.0,CsoRike,Pride1_Sense1
STOP,Tokenize2,Sense1,9021619213225.0,CsoRike,Pride1_Sense1
START,Collect2,Sense1,9021619279038.0,CsoRike,Pride1_Sense1
STOP,Tokenize1,Pride1,9021620400339.0,CsoRike,Pride1_Sense1
START,Collect1,Pride1,9021620431528.0,CsoRike,Pride1_Sense1
START,ComputeScalar1,Pride1,9021634961652.0,CsoRike,Pride1_Sense1
STOP,ComputeScalar1,Pride1,9021635530556.0,CsoRike,Pride1_Sense1
START,ComputeScalar1,Pride1,9021636062795.0,CsoRike,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,9021638530373.0,CsoRike,Pride1_Sense1
STOP,Collect1,Pride1,9021639963007.0,CsoRike,Pride1_Sense1
STOP,ComputeScalar1,Pride1,9021640904069.0,CsoRike,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,9021640980303.0,CsoRike,Pride1_Sense1
STOP,Collect2,Sense1,9021642956809.0,CsoRike,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,9021643107171.0,CsoRike,Pride1_Sense1
START,ComputeScalar3,Sense1,9021643642035.0,CsoRike,Pride1_Sense1
STOP,ComputeScalar3,Sense1,9021645717660.0,CsoRike,Pride1_Sense1
START,ComputeScalar3,Sense1,9021646384612.0,CsoRike,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,9021649794499.0,CsoRike,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,9021651128072.0,CsoRike,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,9021656492536.0,CsoRike,Pride1_Sense1
STOP,ComputeScalar3,Sense1,9021657928579.0,CsoRike,Pride1_Sense1
QUEUE,Tokenize1,Pride1,9021670497439.0,CsoRike,Pride1_Sense2
QUEUE,Tokenize2,Sense2,9021671015004.0,CsoRike,Pride1_Sense2
START,Tokenize1,Pride1,9021673138543.0,CsoRike,Pride1_Sense2
START,Tokenize2,Sense2,9021673143229.0,CsoRike,Pride1_Sense2
STOP,Tokenize1,Pride1,9021678892189.0,CsoRike,Pride1_Sense2
START,Collect1,Pride1,9021679413144.0,CsoRike,Pride1_Sense2
STOP,Collect1,Pride1,9021682123101.0,CsoRike,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,9021682199898.0,CsoRike,Pride1_Sense2
START,ComputeScalar1,Pride1,9021682974539.0,CsoRike,Pride1_Sense2
STOP,ComputeScalar1,Pride1,9021690706360.0,CsoRike,Pride1_Sense2
START,ComputeScalar1,Pride1,9021693866356.0,CsoRike,Pride1_Sense2
STOP,ComputeScalar1,Pride1,9021695511324.0,CsoRike,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,9021697555731.0,CsoRike,Pride1_Sense2
START,Collect2,Sense2,9021704431547.0,CsoRike,Pride1_Sense2
STOP,Tokenize2,Sense2,9021709044419.0,CsoRike,Pride1_Sense2
START,ComputeScalar3,Sense2,9021709935087.0,CsoRike,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,9021712539250.0,CsoRike,Pride1_Sense2
STOP,Collect2,Sense2,9021712829231.0,CsoRike,Pride1_Sense2
STOP,ComputeScalar3,Sense2,9021713140340.0,CsoRike,Pride1_Sense2
START,ComputeScalar3,Sense2,9021714143876.0,CsoRike,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,9021719930046.0,CsoRike,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,9021723108934.0,CsoRike,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,9021726554260.0,CsoRike,Pride1_Sense2
STOP,ComputeScalar3,Sense2,9021728771719.0,CsoRike,Pride1_Sense2
QUEUE,Tokenize1,Pride1,9021740514617.0,CsoRike,Pride1_Sense3
QUEUE,Tokenize2,Sense3,9021741026809.0,CsoRike,Pride1_Sense3
START,Tokenize1,Pride1,9021746395847.0,CsoRike,Pride1_Sense3
START,Tokenize2,Sense3,9021746760150.0,CsoRike,Pride1_Sense3
START,Collect1,Pride1,9021754404401.0,CsoRike,Pride1_Sense3
STOP,Tokenize1,Pride1,9021755812680.0,CsoRike,Pride1_Sense3
START,ComputeScalar1,Pride1,9021757683711.0,CsoRike,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,9021757696936.0,CsoRike,Pride1_Sense3
STOP,ComputeScalar1,Pride1,9021758078486.0,CsoRike,Pride1_Sense3
STOP,Collect1,Pride1,9021758226092.0,CsoRike,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,9021758351189.0,CsoRike,Pride1_Sense3
START,ComputeScalar1,Pride1,9021760491087.0,CsoRike,Pride1_Sense3
STOP,ComputeScalar1,Pride1,9021762502240.0,CsoRike,Pride1_Sense3
START,Collect2,Sense3,9021773011323.0,CsoRike,Pride1_Sense3
STOP,Tokenize2,Sense3,9021780871096.0,CsoRike,Pride1_Sense3
START,ComputeScalar3,Sense3,9021785698684.0,CsoRike,Pride1_Sense3
STOP,ComputeScalar3,Sense3,9021786180677.0,CsoRike,Pride1_Sense3
START,ComputeScalar3,Sense3,9021786551081.0,CsoRike,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,9021795595821.0,CsoRike,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,9021797651380.0,CsoRike,Pride1_Sense3
STOP,Collect2,Sense3,9021798041363.0,CsoRike,Pride1_Sense3
STOP,ComputeScalar3,Sense3,9021798312865.0,CsoRike,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,9021798516485.0,CsoRike,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,9021801177778.0,CsoRike,Pride1_Sense3
QUEUE,Tokenize1,Pride1,9021848166155.0,CsoRike,Pride1_Sense4
QUEUE,Tokenize2,Sense4,9021848482873.0,CsoRike,Pride1_Sense4
START,Tokenize1,Pride1,9021848483980.0,CsoRike,Pride1_Sense4
START,Tokenize2,Sense4,9021848712066.0,CsoRike,Pride1_Sense4
STOP,Tokenize1,Pride1,9021851149106.0,CsoRike,Pride1_Sense4
START,Collect1,Pride1,9021851395930.0,CsoRike,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,9021856944994.0,CsoRike,Pride1_Sense4
START,ComputeScalar1,Pride1,9021856966355.0,CsoRike,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,9021857512250.0,CsoRike,Pride1_Sense4
STOP,Collect1,Pride1,9021857614240.0,CsoRike,Pride1_Sense4
STOP,ComputeScalar1,Pride1,9021857699718.0,CsoRike,Pride1_Sense4
START,ComputeScalar1,Pride1,9021858290244.0,CsoRike,Pride1_Sense4
STOP,ComputeScalar1,Pride1,9021860985804.0,CsoRike,Pride1_Sense4
START,Collect2,Sense4,9021874197792.0,CsoRike,Pride1_Sense4
STOP,Tokenize2,Sense4,9021888371936.0,CsoRike,Pride1_Sense4
START,ComputeScalar3,Sense4,9021909900360.0,CsoRike,Pride1_Sense4
STOP,ComputeScalar3,Sense4,9021910250560.0,CsoRike,Pride1_Sense4
START,ComputeScalar3,Sense4,9021910672196.0,CsoRike,Pride1_Sense4
STOP,Collect2,Sense4,9021917774421.0,CsoRike,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,9021917805764.0,CsoRike,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,9021925110290.0,CsoRike,Pride1_Sense4
STOP,ComputeScalar3,Sense4,9021934002210.0,CsoRike,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,9021934036175.0,CsoRike,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,9021935152520.0,CsoRike,Pride1_Sense4
QUEUE,Tokenize1,Pride1,9021951247320.0,CsoRike,Pride1_Sense5
QUEUE,Tokenize2,Sense5,9021951640853.0,CsoRike,Pride1_Sense5
START,Tokenize1,Pride1,9021956523804.0,CsoRike,Pride1_Sense5
START,Tokenize2,Sense5,9021956523690.0,CsoRike,Pride1_Sense5
STOP,Tokenize1,Pride1,9021965519474.0,CsoRike,Pride1_Sense5
