type, name, input_id, time, team, meas_id
QUEUE,Tokenize2,Sense1,88745136199700,DRKH,Pride1_Sense1
QUEUE,Tokenize1,Pride1,88745136199500,DRKH,Pride1_Sense1
START,Tokenize2,Sense1,88745136552700,DRKH,Pride1_Sense1
START,Tokenize1,Pride1,88745136620700,DRKH,Pride1_Sense1
STOP,Tokenize2,Sense1,88745157849100,DRKH,Pride1_Sense1
STOP,Tokenize1,Pride1,88745157903600,DRKH,Pride1_Sense1
QUEUE,Collect2,Sense1,88745159920000,DRKH,Pride1_Sense1
QUEUE,Collect1,Pride1,88745159920300,DRKH,Pride1_Sense1
START,Collect2,Sense1,88745160164000,DRKH,Pride1_Sense1
START,Collect1,Pride1,88745160239400,DRKH,Pride1_Sense1
STOP,Collect2,Sense1,88745176599300,DRKH,Pride1_Sense1
STOP,Collect1,Pride1,88745177348400,DRKH,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,88745179353500,DRKH,Pride1_Sense1
START,ComputeScalar2,Sense1,88745179748500,DRKH,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,88745179353400,DRKH,Pride1_Sense1
START,ComputeScalar1,Pride1,88745180093300,DRKH,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,88745180419000,DRKH,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,88745180573400,DRKH,Pride1_Sense1
STOP,ComputeScalar2,Sense1,88745181319200,DRKH,Pride1_Sense1
STOP,ComputeScalar1,Pride1,88745181353700,DRKH,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,88745394669200,DRKH,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,88745395132200,DRKH,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,88745395345600,DRKH,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,88745395480000,DRKH,Pride1_Sense1
QUEUE,Tokenize2,Sense2,88745397116400,DRKH,Pride1_Sense2
QUEUE,Tokenize1,Pride1,88745397361700,DRKH,Pride1_Sense2
START,Tokenize2,Sense2,88745397359100,DRKH,Pride1_Sense2
START,Tokenize1,Pride1,88745397525500,DRKH,Pride1_Sense2
STOP,Tokenize1,Pride1,88745401836200,DRKH,Pride1_Sense2
QUEUE,Collect1,Pride1,88745402177300,DRKH,Pride1_Sense2
START,Collect1,Pride1,88745402331800,DRKH,Pride1_Sense2
STOP,Tokenize2,Sense2,88745405090700,DRKH,Pride1_Sense2
QUEUE,Collect2,Sense2,88745405457300,DRKH,Pride1_Sense2
START,Collect2,Sense2,88745405585700,DRKH,Pride1_Sense2
STOP,Collect1,Pride1,88745406209000,DRKH,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,88745406505200,DRKH,Pride1_Sense2
START,ComputeScalar1,Pride1,88745406675100,DRKH,Pride1_Sense2
STOP,ComputeScalar1,Pride1,88745408358500,DRKH,Pride1_Sense2
STOP,Collect2,Sense2,88745412628700,DRKH,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,88745413033200,DRKH,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,88745413042700,DRKH,Pride1_Sense2
START,ComputeScalar2,Sense2,88745413216300,DRKH,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,88745413334700,DRKH,Pride1_Sense2
STOP,ComputeScalar2,Sense2,88745415213200,DRKH,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,88745800161900,DRKH,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,88745800746600,DRKH,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,88745800979300,DRKH,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,88745801097300,DRKH,Pride1_Sense2
QUEUE,Tokenize2,Sense3,88745802919400,DRKH,Pride1_Sense3
QUEUE,Tokenize1,Pride1,88745802922900,DRKH,Pride1_Sense3
START,Tokenize2,Sense3,88745803102000,DRKH,Pride1_Sense3
START,Tokenize1,Pride1,88745803205300,DRKH,Pride1_Sense3
STOP,Tokenize1,Pride1,88745806615900,DRKH,Pride1_Sense3
QUEUE,Collect1,Pride1,88745806855800,DRKH,Pride1_Sense3
START,Collect1,Pride1,88745807007900,DRKH,Pride1_Sense3
STOP,Collect1,Pride1,88745809056800,DRKH,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,88745809423900,DRKH,Pride1_Sense3
START,ComputeScalar1,Pride1,88745809553300,DRKH,Pride1_Sense3
STOP,ComputeScalar1,Pride1,88745810143700,DRKH,Pride1_Sense3
STOP,Tokenize2,Sense3,88745814756200,DRKH,Pride1_Sense3
QUEUE,Collect2,Sense3,88745815187900,DRKH,Pride1_Sense3
START,Collect2,Sense3,88745815386300,DRKH,Pride1_Sense3
STOP,Collect2,Sense3,88745822545600,DRKH,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,88745823038900,DRKH,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,88745823218900,DRKH,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,88745823037700,DRKH,Pride1_Sense3
