type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,61700209689810,Kimehecc,Pride1_Sense2
START,Tokenize1,Pride1,61700210167127,Kimehecc,Pride1_Sense2
QUEUE,Tokenize2,Sense2,61700216217433,Kimehecc,Pride1_Sense2
START,Tokenize2,Sense2,61700216444720,Kimehecc,Pride1_Sense2
STOP,Tokenize1,Pride1,61700222975212,Kimehecc,Pride1_Sense2
QUEUE,Tokenize1,Pride1,61700224582402,Kimehecc,Pride1_Sense1
START,Tokenize1,Pride1,61700224634045,Kimehecc,Pride1_Sense1
STOP,Tokenize1,Pride1,61700227198019,Kimehecc,Pride1_Sense1
QUEUE,Tokenize2,Sense1,61700227484734,Kimehecc,Pride1_Sense1
START,Tokenize2,Sense1,61700227519968,Kimehecc,Pride1_Sense1
STOP,Tokenize2,Sense1,61700230532768,Kimehecc,Pride1_Sense1
STOP,Tokenize2,Sense2,61700231268203,Kimehecc,Pride1_Sense2
QUEUE,Collect1,Pride1,61700231941476,Kimehecc,Pride1_Sense2
START,Collect1,Pride1,61700232096724,Kimehecc,Pride1_Sense2
QUEUE,Collect2,Sense2,61700236969961,Kimehecc,Pride1_Sense2
START,Collect2,Sense2,61700237132643,Kimehecc,Pride1_Sense2
QUEUE,Collect1,Pride1,61700251890182,Kimehecc,Pride1_Sense1
START,Collect1,Pride1,61700251966855,Kimehecc,Pride1_Sense1
QUEUE,Collect2,Sense1,61700260929309,Kimehecc,Pride1_Sense1
START,Collect2,Sense1,61700261034524,Kimehecc,Pride1_Sense1
QUEUE,Tokenize1,Pride1,61700393383029,Kimehecc,Pride1_Sense3
START,Tokenize1,Pride1,61700393486907,Kimehecc,Pride1_Sense3
QUEUE,Tokenize2,Sense3,61700393749865,Kimehecc,Pride1_Sense3
START,Tokenize2,Sense3,61700393789466,Kimehecc,Pride1_Sense3
STOP,Tokenize1,Pride1,61700400420694,Kimehecc,Pride1_Sense3
QUEUE,Collect1,Pride1,61700405494715,Kimehecc,Pride1_Sense3
