type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,5106149208102,KrilabCsapat,Pride1_Sense1
QUEUE,Tokenize2,Sense1,5106150393194,KrilabCsapat,Pride1_Sense1
QUEUE,Collect1,Pride1,5106150823113,KrilabCsapat,Pride1_Sense1
QUEUE,Collect2,Sense1,5106150869031,KrilabCsapat,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,5106151161782,KrilabCsapat,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,5106151194566,KrilabCsapat,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,5106151215613,KrilabCsapat,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,5106151237986,KrilabCsapat,Pride1_Sense1
START,Tokenize1,Pride1,5106162428482,KrilabCsapat,Pride1_Sense1
STOP,Tokenize1,Pride1,5106184942010,KrilabCsapat,Pride1_Sense1
START,Tokenize2,Sense1,5106186333222,KrilabCsapat,Pride1_Sense1
STOP,Tokenize2,Sense1,5106195675326,KrilabCsapat,Pride1_Sense1
START,Collect1,Pride1,5106195782493,KrilabCsapat,Pride1_Sense1
STOP,Collect1,Pride1,5106210789086,KrilabCsapat,Pride1_Sense1
START,Collect2,Sense1,5106210854519,KrilabCsapat,Pride1_Sense1
STOP,Collect2,Sense1,5106213747338,KrilabCsapat,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,5106213833004,KrilabCsapat,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,5106216229291,KrilabCsapat,Pride1_Sense1
START,ComputeScalar1,Pride1,5106216289560,KrilabCsapat,Pride1_Sense1
STOP,ComputeScalar1,Pride1,5106217530104,KrilabCsapat,Pride1_Sense1
START,ComputeScalar2,Sense1,5106217583574,KrilabCsapat,Pride1_Sense1
STOP,ComputeScalar2,Sense1,5106218658040,KrilabCsapat,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,5106218741430,KrilabCsapat,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,5106218827361,KrilabCsapat,Pride1_Sense1
QUEUE,Tokenize1,Pride1,5106219112466,KrilabCsapat,Pride1_Sense2
QUEUE,Tokenize2,Sense2,5106220036044,KrilabCsapat,Pride1_Sense2
QUEUE,Collect1,Pride1,5106220094955,KrilabCsapat,Pride1_Sense2
QUEUE,Collect2,Sense2,5106220122479,KrilabCsapat,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,5106220147875,KrilabCsapat,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,5106220177277,KrilabCsapat,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,5106220202033,KrilabCsapat,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,5106220228360,KrilabCsapat,Pride1_Sense2
START,Tokenize1,Pride1,5106220316431,KrilabCsapat,Pride1_Sense2
STOP,Tokenize1,Pride1,5106226708844,KrilabCsapat,Pride1_Sense2
START,Tokenize2,Sense2,5106226983950,KrilabCsapat,Pride1_Sense2
STOP,Tokenize2,Sense2,5106231387692,KrilabCsapat,Pride1_Sense2
START,Collect1,Pride1,5106231449038,KrilabCsapat,Pride1_Sense2
STOP,Collect1,Pride1,5106233979102,KrilabCsapat,Pride1_Sense2
START,Collect2,Sense2,5106234037815,KrilabCsapat,Pride1_Sense2
STOP,Collect2,Sense2,5106236810374,KrilabCsapat,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,5106236871948,KrilabCsapat,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,5106238286667,KrilabCsapat,Pride1_Sense2
START,ComputeScalar1,Pride1,5106238333854,KrilabCsapat,Pride1_Sense2
STOP,ComputeScalar1,Pride1,5106239524174,KrilabCsapat,Pride1_Sense2
START,ComputeScalar2,Sense2,5106239595736,KrilabCsapat,Pride1_Sense2
STOP,ComputeScalar2,Sense2,5106240662639,KrilabCsapat,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,5106240716604,KrilabCsapat,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,5106240763113,KrilabCsapat,Pride1_Sense2
QUEUE,Tokenize1,Pride1,5106240872877,KrilabCsapat,Pride1_Sense3
QUEUE,Tokenize2,Sense3,5106241077687,KrilabCsapat,Pride1_Sense3
QUEUE,Collect1,Pride1,5106241119995,KrilabCsapat,Pride1_Sense3
QUEUE,Collect2,Sense3,5106241146937,KrilabCsapat,Pride1_Sense3
