type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,17781351930238,LikeABosch,Pride1_Sense1
START,Tokenize1,Pride1,17781351999983,LikeABosch,Pride1_Sense1
QUEUE,Tokenize2,Sense1,17781351930413,LikeABosch,Pride1_Sense1
START,Tokenize2,Sense1,17781352428533,LikeABosch,Pride1_Sense1
STOP,Tokenize2,Sense1,17781378081790,LikeABosch,Pride1_Sense1
QUEUE,Collect2,Sense1,17781378732577,LikeABosch,Pride1_Sense1
START,Collect2,Sense1,17781378791991,LikeABosch,Pride1_Sense1
STOP,Tokenize1,Pride1,17781382013164,LikeABosch,Pride1_Sense1
QUEUE,Collect1,Pride1,17781382205438,LikeABosch,Pride1_Sense1
START,Collect1,Pride1,17781382269135,LikeABosch,Pride1_Sense1
STOP,Collect2,Sense1,17781402156952,LikeABosch,Pride1_Sense1
STOP,Collect1,Pride1,17781402323854,LikeABosch,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,17781402656399,LikeABosch,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,17781402763965,LikeABosch,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,17781403389015,LikeABosch,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1_Sense1,17781402657262,LikeABosch,Pride1_Sense1
START,ComputeScalar1,Pride1_Sense1,17781403884139,LikeABosch,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,17781404544925,LikeABosch,Pride1_Sense1
STOP,ComputeScalar1,Pride1_Sense1,17781404622951,LikeABosch,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,17781404632729,LikeABosch,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,17781405719137,LikeABosch,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,17781406066489,LikeABosch,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,17781406145553,LikeABosch,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,17781406227258,LikeABosch,Pride1_Sense1
QUEUE,Tokenize1,Pride1,17781406873010,LikeABosch,Pride1_Sense2
START,Tokenize1,Pride1,17781406913294,LikeABosch,Pride1_Sense2
QUEUE,Tokenize2,Sense2,17781406987705,LikeABosch,Pride1_Sense2
START,Tokenize2,Sense2,17781407035361,LikeABosch,Pride1_Sense2
QUEUE,Collect2,Sense2,17781413701826,LikeABosch,Pride1_Sense2
START,Collect2,Sense2,17781413761537,LikeABosch,Pride1_Sense2
QUEUE,Collect1,Pride1,17781415870665,LikeABosch,Pride1_Sense2
START,Collect1,Pride1,17781415949893,LikeABosch,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,17781416511730,LikeABosch,Pride1_Sense2
STOP,Collect1,Pride1,17781417749342,LikeABosch,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1_Sense2,17781417782685,LikeABosch,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,17781417825072,LikeABosch,Pride1_Sense2
START,ComputeScalar1,Pride1_Sense2,17781417839056,LikeABosch,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,17781418123386,LikeABosch,Pride1_Sense2
STOP,ComputeScalar1,Pride1_Sense2,17781418142359,LikeABosch,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,17781418208182,LikeABosch,Pride1_Sense2
STOP,Tokenize2,Sense2,17781418296090,LikeABosch,Pride1_Sense2
STOP,Collect2,Sense2,17781418623971,LikeABosch,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,17781418689145,LikeABosch,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,17781418737707,LikeABosch,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,17781419037121,LikeABosch,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,17781419084050,LikeABosch,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,17781419175497,LikeABosch,Pride1_Sense2
STOP,Tokenize1,Pride1,17781419478350,LikeABosch,Pride1_Sense2
QUEUE,Tokenize2,Sense3,17781419706283,LikeABosch,Pride1_Sense3
START,Tokenize2,Sense3,17781419738565,LikeABosch,Pride1_Sense3
QUEUE,Tokenize1,Pride1,17781419714434,LikeABosch,Pride1_Sense3
START,Tokenize1,Pride1,17781419812384,LikeABosch,Pride1_Sense3
STOP,Tokenize2,Sense3,17781423835399,LikeABosch,Pride1_Sense3
QUEUE,Collect2,Sense3,17781423933829,LikeABosch,Pride1_Sense3
START,Collect2,Sense3,17781423959608,LikeABosch,Pride1_Sense3
QUEUE,Collect1,Pride1,17781424080914,LikeABosch,Pride1_Sense3
START,Collect1,Pride1,17781424117356,LikeABosch,Pride1_Sense3
STOP,Collect2,Sense3,17781425965067,LikeABosch,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,17781426017429,LikeABosch,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,17781426038809,LikeABosch,Pride1_Sense3
STOP,Tokenize1,Pride1,17781426099579,LikeABosch,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,17781426105950,LikeABosch,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,17781426344967,LikeABosch,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,17781426586602,LikeABosch,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,17781426599656,LikeABosch,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1_Sense3,17781426707073,LikeABosch,Pride1_Sense3
START,ComputeScalar1,Pride1_Sense3,17781426754807,LikeABosch,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,17781427011495,LikeABosch,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,17781427037274,LikeABosch,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,17781427070739,LikeABosch,Pride1_Sense3
STOP,ComputeScalar1,Pride1_Sense3,17781427160950,LikeABosch,Pride1_Sense3
STOP,Collect1,Pride1,17781427239869,LikeABosch,Pride1_Sense3
QUEUE,Tokenize1,Pride1,17781427663199,LikeABosch,Pride1_Sense4
START,Tokenize1,Pride1,17781427702504,LikeABosch,Pride1_Sense4
QUEUE,Tokenize2,Sense4,17781428425138,LikeABosch,Pride1_Sense4
START,Tokenize2,Sense4,17781428509539,LikeABosch,Pride1_Sense4
STOP,Tokenize2,Sense4,17781431074417,LikeABosch,Pride1_Sense4
QUEUE,Collect2,Sense4,17781431195612,LikeABosch,Pride1_Sense4
START,Collect2,Sense4,17781431222970,LikeABosch,Pride1_Sense4
STOP,Tokenize1,Pride1,17781431997097,LikeABosch,Pride1_Sense4
QUEUE,Collect1,Pride1,17781432058908,LikeABosch,Pride1_Sense4
START,Collect1,Pride1,17781432103103,LikeABosch,Pride1_Sense4
STOP,Collect1,Pride1,17781433533900,LikeABosch,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1_Sense4,17781433608220,LikeABosch,Pride1_Sense4
START,ComputeScalar1,Pride1_Sense4,17781433696603,LikeABosch,Pride1_Sense4
STOP,ComputeScalar1,Pride1_Sense4,17781433931373,LikeABosch,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,17781433990665,LikeABosch,Pride1_Sense4
STOP,Collect2,Sense4,17781434204961,LikeABosch,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,17781434267914,LikeABosch,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,17781434319284,LikeABosch,Pride1_Sense4
STOP,ComputeScalar3,Pride1_Sense4,17781434577744,LikeABosch,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,17781433609339,LikeABosch,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,17781434700124,LikeABosch,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,17781434888621,LikeABosch,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,17781434946691,LikeABosch,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,17781434989512,LikeABosch,Pride1_Sense4
QUEUE,Tokenize2,Sense5,17781435454258,LikeABosch,Pride1_Sense5
START,Tokenize2,Sense5,17781435488567,LikeABosch,Pride1_Sense5
QUEUE,Tokenize1,Pride1,17781435464349,LikeABosch,Pride1_Sense5
START,Tokenize1,Pride1,17781435540469,LikeABosch,Pride1_Sense5
STOP,Tokenize2,Sense5,17781439688572,LikeABosch,Pride1_Sense5
QUEUE,Collect2,Sense5,17781439788166,LikeABosch,Pride1_Sense5
START,Collect2,Sense5,17781439813652,LikeABosch,Pride1_Sense5
QUEUE,Collect1,Pride1,17781439821635,LikeABosch,Pride1_Sense5
START,Collect1,Pride1,17781439867037,LikeABosch,Pride1_Sense5
STOP,Collect1,Pride1,17781441443172,LikeABosch,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1_Sense5,17781441559271,LikeABosch,Pride1_Sense5
START,ComputeScalar1,Pride1_Sense5,17781441829261,LikeABosch,Pride1_Sense5
QUEUE,ComputeScalar2,Pride1_Sense5,17781441861984,LikeABosch,Pride1_Sense5
STOP,Tokenize1,Pride1,17781442020013,LikeABosch,Pride1_Sense5
STOP,ComputeScalar1,Pride1_Sense5,17781442167377,LikeABosch,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,17781442233647,LikeABosch,Pride1_Sense5
START,ComputeScalar2,Pride1_Sense5,17781442386740,LikeABosch,Pride1_Sense5
