type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,3742572473100,MeetingInGeneral,Pride1_Sense1
QUEUE,Tokenize2,Sense1,3742574082700,MeetingInGeneral,Pride1_Sense1
START,Tokenize1,Pride1,3742574266700,MeetingInGeneral,Pride1_Sense1
START,Tokenize2,Sense1,3742574620100,MeetingInGeneral,Pride1_Sense1
STOP,Tokenize2,Sense1,3742582049500,MeetingInGeneral,Pride1_Sense1
STOP,Tokenize1,Pride1,3742582374600,MeetingInGeneral,Pride1_Sense1
QUEUE,Collect1,Pride1,3742582591900,MeetingInGeneral,Pride1_Sense1
QUEUE,Collect2,Sense1,3742582779400,MeetingInGeneral,Pride1_Sense1
START,Collect1,Pride1,3742583030200,MeetingInGeneral,Pride1_Sense1
START,Collect2,Sense1,3742583282800,MeetingInGeneral,Pride1_Sense1
STOP,Collect2,Sense1,3742620937000,MeetingInGeneral,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,3742621250400,MeetingInGeneral,Pride1_Sense1
START,ComputeScalar2,Sense1,3742621451000,MeetingInGeneral,Pride1_Sense1
STOP,Collect1,Pride1,3742622231900,MeetingInGeneral,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,3742622426500,MeetingInGeneral,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,3742622602400,MeetingInGeneral,Pride1_Sense1
START,ComputeScalar1,Pride1,3742622747500,MeetingInGeneral,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,3742622895900,MeetingInGeneral,Pride1_Sense1
STOP,ComputeScalar1,Pride1,3742625072500,MeetingInGeneral,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,3742625307900,MeetingInGeneral,Pride1_Sense1
STOP,ComputeScalar2,Sense1,3742625484200,MeetingInGeneral,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,3742625615900,MeetingInGeneral,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,3742625777000,MeetingInGeneral,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,3742625993300,MeetingInGeneral,Pride1_Sense1
QUEUE,Tokenize1,Pride2,3746689297100,MeetingInGeneral,Pride2_Sense1
QUEUE,Tokenize2,Sense1,3746689528300,MeetingInGeneral,Pride2_Sense1
START,Tokenize1,Pride2,3746690112100,MeetingInGeneral,Pride2_Sense1
START,Tokenize2,Sense1,3746690495600,MeetingInGeneral,Pride2_Sense1
STOP,Tokenize2,Sense1,3746694707000,MeetingInGeneral,Pride2_Sense1
QUEUE,Collect2,Sense1,3746695213200,MeetingInGeneral,Pride2_Sense1
START,Collect2,Sense1,3746695425100,MeetingInGeneral,Pride2_Sense1
STOP,Tokenize1,Pride2,3746695562200,MeetingInGeneral,Pride2_Sense1
QUEUE,Collect1,Pride2,3746696013100,MeetingInGeneral,Pride2_Sense1
START,Collect1,Pride2,3746696232500,MeetingInGeneral,Pride2_Sense1
STOP,Collect2,Sense1,3746710959400,MeetingInGeneral,Pride2_Sense1
QUEUE,ComputeScalar2,Sense1,3746712124200,MeetingInGeneral,Pride2_Sense1
START,ComputeScalar2,Sense1,3746712677600,MeetingInGeneral,Pride2_Sense1
STOP,ComputeScalar2,Sense1,3746713799600,MeetingInGeneral,Pride2_Sense1
STOP,Collect1,Pride2,3746722776700,MeetingInGeneral,Pride2_Sense1
QUEUE,ComputeScalar1,Pride2,3746723311100,MeetingInGeneral,Pride2_Sense1
QUEUE,ComputeScalar3,Pride2_Sense1,3746723602700,MeetingInGeneral,Pride2_Sense1
START,ComputeScalar1,Pride2,3746723739200,MeetingInGeneral,Pride2_Sense1
START,ComputeScalar3,Pride2_Sense1,3746723903100,MeetingInGeneral,Pride2_Sense1
STOP,ComputeScalar3,Pride2_Sense1,3746726510200,MeetingInGeneral,Pride2_Sense1
STOP,ComputeScalar1,Pride2,3746727424200,MeetingInGeneral,Pride2_Sense1
QUEUE,ComputeCosine,Pride2_Sense1,3746728157400,MeetingInGeneral,Pride2_Sense1
START,ComputeCosine,Pride2_Sense1,3746728370400,MeetingInGeneral,Pride2_Sense1
STOP,ComputeCosine,Pride2_Sense1,3746728516300,MeetingInGeneral,Pride2_Sense1
QUEUE,Tokenize1,Pride3,3750772724000,MeetingInGeneral,Pride3_Sense1
QUEUE,Tokenize2,Sense1,3750772948500,MeetingInGeneral,Pride3_Sense1
START,Tokenize1,Pride3,3750773400900,MeetingInGeneral,Pride3_Sense1
START,Tokenize2,Sense1,3750773878100,MeetingInGeneral,Pride3_Sense1
STOP,Tokenize2,Sense1,3750778563100,MeetingInGeneral,Pride3_Sense1
QUEUE,Collect2,Sense1,3750779132800,MeetingInGeneral,Pride3_Sense1
START,Collect2,Sense1,3750779505700,MeetingInGeneral,Pride3_Sense1
STOP,Tokenize1,Pride3,3750780524400,MeetingInGeneral,Pride3_Sense1
QUEUE,Collect1,Pride3,3750780656200,MeetingInGeneral,Pride3_Sense1
START,Collect1,Pride3,3750780921600,MeetingInGeneral,Pride3_Sense1
STOP,Collect2,Sense1,3750786146200,MeetingInGeneral,Pride3_Sense1
QUEUE,ComputeScalar2,Sense1,3750786415200,MeetingInGeneral,Pride3_Sense1
START,ComputeScalar2,Sense1,3750786919600,MeetingInGeneral,Pride3_Sense1
STOP,ComputeScalar2,Sense1,3750788347400,MeetingInGeneral,Pride3_Sense1
STOP,Collect1,Pride3,3750812494000,MeetingInGeneral,Pride3_Sense1
QUEUE,ComputeScalar1,Pride3,3750812714100,MeetingInGeneral,Pride3_Sense1
QUEUE,ComputeScalar3,Pride3_Sense1,3750812846500,MeetingInGeneral,Pride3_Sense1
START,ComputeScalar1,Pride3,3750813299900,MeetingInGeneral,Pride3_Sense1
START,ComputeScalar3,Pride3_Sense1,3750813666400,MeetingInGeneral,Pride3_Sense1
STOP,ComputeScalar3,Pride3_Sense1,3750816916300,MeetingInGeneral,Pride3_Sense1
STOP,ComputeScalar1,Pride3,3750817500200,MeetingInGeneral,Pride3_Sense1
QUEUE,ComputeCosine,Pride3_Sense1,3750817790700,MeetingInGeneral,Pride3_Sense1
START,ComputeCosine,Pride3_Sense1,3750817939900,MeetingInGeneral,Pride3_Sense1
STOP,ComputeCosine,Pride3_Sense1,3750818364700,MeetingInGeneral,Pride3_Sense1
QUEUE,Tokenize1,Pride4,3754919094700,MeetingInGeneral,Pride4_Sense1
QUEUE,Tokenize2,Sense1,3754919579400,MeetingInGeneral,Pride4_Sense1
