type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,601926118134500,RuntimeTerror,Pride1_Sense1
QUEUE,Tokenize1,Pride1,601926118224300,RuntimeTerror,Pride1_Sense1
START,Tokenize2,Sense1,601926118507300,RuntimeTerror,Pride1_Sense1
START,Tokenize1,Pride1,601926118507400,RuntimeTerror,Pride1_Sense1
STOP,Tokenize2,Sense1,601926150196600,RuntimeTerror,Pride1_Sense1
QUEUE,Collect2,Sense1,601926150467600,RuntimeTerror,Pride1_Sense1
START,Collect2,Sense1,601926150487900,RuntimeTerror,Pride1_Sense1
STOP,Tokenize1,Pride1,601926150647000,RuntimeTerror,Pride1_Sense1
QUEUE,Collect1,Pride1,601926150832300,RuntimeTerror,Pride1_Sense1
START,Collect1,Pride1,601926150850200,RuntimeTerror,Pride1_Sense1
STOP,Collect1,Pride1,601926165853800,RuntimeTerror,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,601926166001700,RuntimeTerror,Pride1_Sense1
START,ComputeScalar1,Pride1,601926166017900,RuntimeTerror,Pride1_Sense1
STOP,Collect2,Sense1,601926166375900,RuntimeTerror,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,601926166593500,RuntimeTerror,Pride1_Sense1
START,ComputeScalar2,Sense1,601926166615500,RuntimeTerror,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,601926166686200,RuntimeTerror,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,601926166710100,RuntimeTerror,Pride1_Sense1
STOP,ComputeScalar1,Pride1,601926169016000,RuntimeTerror,Pride1_Sense1
STOP,ComputeScalar2,Sense1,601926169167200,RuntimeTerror,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,601926170998800,RuntimeTerror,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,601926171112200,RuntimeTerror,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,601926171131400,RuntimeTerror,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,601926171189700,RuntimeTerror,Pride1_Sense1
QUEUE,Tokenize1,Pride1,601926171999400,RuntimeTerror,Pride1_Sense2
QUEUE,Tokenize2,Sense2,601926172001600,RuntimeTerror,Pride1_Sense2
START,Tokenize1,Pride1,601926172021800,RuntimeTerror,Pride1_Sense2
START,Tokenize2,Sense2,601926172022300,RuntimeTerror,Pride1_Sense2
STOP,Tokenize1,Pride1,601926176194500,RuntimeTerror,Pride1_Sense2
QUEUE,Collect1,Pride1,601926176232900,RuntimeTerror,Pride1_Sense2
START,Collect1,Pride1,601926176243100,RuntimeTerror,Pride1_Sense2
STOP,Tokenize2,Sense2,601926177424100,RuntimeTerror,Pride1_Sense2
QUEUE,Collect2,Sense2,601926177458800,RuntimeTerror,Pride1_Sense2
START,Collect2,Sense2,601926177468600,RuntimeTerror,Pride1_Sense2
STOP,Collect1,Pride1,601926183354800,RuntimeTerror,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,601926183389200,RuntimeTerror,Pride1_Sense2
START,ComputeScalar1,Pride1,601926183400100,RuntimeTerror,Pride1_Sense2
STOP,ComputeScalar1,Pride1,601926183743900,RuntimeTerror,Pride1_Sense2
STOP,Collect2,Sense2,601926187979700,RuntimeTerror,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,601926188018800,RuntimeTerror,Pride1_Sense2
START,ComputeScalar2,Sense2,601926188029000,RuntimeTerror,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,601926188028400,RuntimeTerror,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,601926188046900,RuntimeTerror,Pride1_Sense2
STOP,ComputeScalar2,Sense2,601926188661600,RuntimeTerror,Pride1_Sense2
