type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,38794341820900,Somnambulists,Pride1_Sense1
START,Tokenize2,Sense1,38794341950100,Somnambulists,Pride1_Sense1
QUEUE,Tokenize1,Pride1,38794341895800,Somnambulists,Pride1_Sense1
START,Tokenize1,Pride1,38794356892500,Somnambulists,Pride1_Sense1
STOP,Tokenize2,Sense1,38794358841100,Somnambulists,Pride1_Sense1
QUEUE,Tokenize2,Sense2,38794358935100,Somnambulists,Pride1_Sense2
START,Tokenize2,Sense2,38794358949000,Somnambulists,Pride1_Sense2
STOP,Tokenize2,Sense2,38794367583400,Somnambulists,Pride1_Sense2
QUEUE,Tokenize2,Sense3,38794367793300,Somnambulists,Pride1_Sense3
START,Tokenize2,Sense3,38794367863400,Somnambulists,Pride1_Sense3
QUEUE,Collect2,Sense1,38794371670300,Somnambulists,Pride1_Sense1
START,Collect2,Sense1,38794371926900,Somnambulists,Pride1_Sense1
STOP,Collect2,Sense1,38794373091700,Somnambulists,Pride1_Sense1
QUEUE,Collect2,Sense2,38794373259200,Somnambulists,Pride1_Sense2
START,Collect2,Sense2,38794373346200,Somnambulists,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense1,38794373845100,Somnambulists,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,38794373876900,Somnambulists,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,38794374317100,Somnambulists,Pride1_Sense1
STOP,Collect2,Sense2,38794375542400,Somnambulists,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,38794375712500,Somnambulists,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,38794376047700,Somnambulists,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,38794376902000,Somnambulists,Pride1_Sense2
STOP,Tokenize1,Pride1,38794378076700,Somnambulists,Pride1_Sense1
QUEUE,Tokenize1,Pride1,38794378146200,Somnambulists,Pride1_Sense2
START,Tokenize1,Pride1,38794378158700,Somnambulists,Pride1_Sense2
QUEUE,Collect1,Pride1,38794378180200,Somnambulists,Pride1_Sense1
START,Collect1,Pride1,38794378207400,Somnambulists,Pride1_Sense1
STOP,Collect1,Pride1,38794379051600,Somnambulists,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,38794379131400,Somnambulists,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,38794379152700,Somnambulists,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1_Sense1,38794379177400,Somnambulists,Pride1_Sense1
START,ComputeScalar1,Pride1_Sense1,38794379213100,Somnambulists,Pride1_Sense1
STOP,ComputeScalar1,Pride1_Sense1,38794379493500,Somnambulists,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,38794379820400,Somnambulists,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,38794379855600,Somnambulists,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,38794379868700,Somnambulists,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,38794379882500,Somnambulists,Pride1_Sense1
STOP,Tokenize1,Pride1,38794381107800,Somnambulists,Pride1_Sense2
QUEUE,Tokenize1,Pride1,38794381164300,Somnambulists,Pride1_Sense3
QUEUE,Collect1,Pride1,38794381172300,Somnambulists,Pride1_Sense2
START,Collect1,Pride1,38794381199000,Somnambulists,Pride1_Sense2
START,Tokenize1,Pride1,38794381177600,Somnambulists,Pride1_Sense3
STOP,Collect1,Pride1,38794382095300,Somnambulists,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,38794382156100,Somnambulists,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,38794382169000,Somnambulists,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1_Sense2,38794382199600,Somnambulists,Pride1_Sense2
START,ComputeScalar1,Pride1_Sense2,38794382227600,Somnambulists,Pride1_Sense2
STOP,ComputeScalar1,Pride1_Sense2,38794382808600,Somnambulists,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,38794383492200,Somnambulists,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,38794383542800,Somnambulists,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,38794383572800,Somnambulists,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,38794383589600,Somnambulists,Pride1_Sense2
STOP,Tokenize2,Sense3,38794383652800,Somnambulists,Pride1_Sense3
QUEUE,Tokenize2,Sense4,38794383706100,Somnambulists,Pride1_Sense4
QUEUE,Collect2,Sense3,38794383707700,Somnambulists,Pride1_Sense3
START,Collect2,Sense3,38794383742100,Somnambulists,Pride1_Sense3
START,Tokenize2,Sense4,38794383722300,Somnambulists,Pride1_Sense4
STOP,Tokenize1,Pride1,38794383886900,Somnambulists,Pride1_Sense3
QUEUE,Tokenize1,Pride1,38794383925300,Somnambulists,Pride1_Sense4
QUEUE,Collect1,Pride1,38794383931700,Somnambulists,Pride1_Sense3
START,Collect1,Pride1,38794383954400,Somnambulists,Pride1_Sense3
START,Tokenize1,Pride1,38794383936800,Somnambulists,Pride1_Sense4
STOP,Collect1,Pride1,38794384833200,Somnambulists,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1_Sense3,38794384895300,Somnambulists,Pride1_Sense3
START,ComputeScalar1,Pride1_Sense3,38794384918200,Somnambulists,Pride1_Sense3
STOP,ComputeScalar1,Pride1_Sense3,38794385507500,Somnambulists,Pride1_Sense3
STOP,Tokenize1,Pride1,38794387345900,Somnambulists,Pride1_Sense4
QUEUE,Tokenize1,Pride1,38794387454600,Somnambulists,Pride1_Sense5
START,Tokenize1,Pride1,38794387467900,Somnambulists,Pride1_Sense5
QUEUE,Collect1,Pride1,38794387645100,Somnambulists,Pride1_Sense4
START,Collect1,Pride1,38794387680100,Somnambulists,Pride1_Sense4
STOP,Collect2,Sense3,38794388878600,Somnambulists,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,38794388975400,Somnambulists,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,38794388991200,Somnambulists,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,38794389130600,Somnambulists,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,38794389257300,Somnambulists,Pride1_Sense3
STOP,Collect1,Pride1,38794389752300,Somnambulists,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1_Sense4,38794389887000,Somnambulists,Pride1_Sense4
START,ComputeScalar1,Pride1_Sense4,38794389904300,Somnambulists,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense3,38794390026100,Somnambulists,Pride1_Sense3
STOP,ComputeScalar1,Pride1_Sense4,38794390238400,Somnambulists,Pride1_Sense4
STOP,Tokenize1,Pride1,38794390795300,Somnambulists,Pride1_Sense5
QUEUE,Collect1,Pride1,38794390849200,Somnambulists,Pride1_Sense5
START,Collect1,Pride1,38794390873600,Somnambulists,Pride1_Sense5
QUEUE,Tokenize1,Pride1,38794390857700,Somnambulists,Pride1_Sense6
START,Tokenize1,Pride1,38794390910700,Somnambulists,Pride1_Sense6
STOP,Collect1,Pride1,38794391816300,Somnambulists,Pride1_Sense5
QUEUE,ComputeScalar1,Pride1_Sense5,38794391907600,Somnambulists,Pride1_Sense5
START,ComputeScalar1,Pride1_Sense5,38794391931300,Somnambulists,Pride1_Sense5
STOP,ComputeScalar1,Pride1_Sense5,38794392187000,Somnambulists,Pride1_Sense5
STOP,ComputeScalar3,Pride1_Sense3,38794393269900,Somnambulists,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,38794393343600,Somnambulists,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,38794393370700,Somnambulists,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,38794393396900,Somnambulists,Pride1_Sense3
STOP,Tokenize1,Pride1,38794393786100,Somnambulists,Pride1_Sense6
QUEUE,Tokenize1,Pride2,38794393832100,Somnambulists,Pride2_Sense1
QUEUE,Collect1,Pride1,38794393832900,Somnambulists,Pride1_Sense6
START,Collect1,Pride1,38794393867300,Somnambulists,Pride1_Sense6
START,Tokenize1,Pride2,38794393852200,Somnambulists,Pride2_Sense1
STOP,Collect1,Pride1,38794394854600,Somnambulists,Pride1_Sense6
QUEUE,ComputeScalar1,Pride1_Sense6,38794394937300,Somnambulists,Pride1_Sense6
START,ComputeScalar1,Pride1_Sense6,38794394962200,Somnambulists,Pride1_Sense6
STOP,ComputeScalar1,Pride1_Sense6,38794395482800,Somnambulists,Pride1_Sense6
STOP,Tokenize1,Pride2,38794398535600,Somnambulists,Pride2_Sense1
QUEUE,Tokenize1,Pride2,38794398600000,Somnambulists,Pride2_Sense2
QUEUE,Collect1,Pride2,38794398600400,Somnambulists,Pride2_Sense1
START,Collect1,Pride2,38794398632400,Somnambulists,Pride2_Sense1
START,Tokenize1,Pride2,38794398616500,Somnambulists,Pride2_Sense2
STOP,Collect1,Pride2,38794400374300,Somnambulists,Pride2_Sense1
QUEUE,ComputeScalar1,Pride2_Sense1,38794400486000,Somnambulists,Pride2_Sense1
START,ComputeScalar1,Pride2_Sense1,38794400513200,Somnambulists,Pride2_Sense1
STOP,ComputeScalar1,Pride2_Sense1,38794401538300,Somnambulists,Pride2_Sense1
STOP,Tokenize1,Pride2,38794404178100,Somnambulists,Pride2_Sense2
QUEUE,Tokenize1,Pride2,38794404281100,Somnambulists,Pride2_Sense3
START,Tokenize1,Pride2,38794404298100,Somnambulists,Pride2_Sense3
QUEUE,Collect1,Pride2,38794404399800,Somnambulists,Pride2_Sense2
START,Collect1,Pride2,38794404431300,Somnambulists,Pride2_Sense2
STOP,Tokenize2,Sense4,38794404749500,Somnambulists,Pride1_Sense4
QUEUE,Tokenize2,Sense5,38794404817300,Somnambulists,Pride1_Sense5
START,Tokenize2,Sense5,38794404843800,Somnambulists,Pride1_Sense5
QUEUE,Collect2,Sense4,38794404821600,Somnambulists,Pride1_Sense4
START,Collect2,Sense4,38794404884500,Somnambulists,Pride1_Sense4
STOP,Collect1,Pride2,38794406533600,Somnambulists,Pride2_Sense2
QUEUE,ComputeScalar1,Pride2_Sense2,38794406629700,Somnambulists,Pride2_Sense2
START,ComputeScalar1,Pride2_Sense2,38794406661200,Somnambulists,Pride2_Sense2
STOP,ComputeScalar1,Pride2_Sense2,38794407493800,Somnambulists,Pride2_Sense2
STOP,Tokenize1,Pride2,38794409829900,Somnambulists,Pride2_Sense3
QUEUE,Tokenize1,Pride2,38794409899300,Somnambulists,Pride2_Sense4
START,Tokenize1,Pride2,38794409912900,Somnambulists,Pride2_Sense4
QUEUE,Collect1,Pride2,38794409912500,Somnambulists,Pride2_Sense3
START,Collect1,Pride2,38794409948400,Somnambulists,Pride2_Sense3
STOP,Collect1,Pride2,38794411746600,Somnambulists,Pride2_Sense3
QUEUE,ComputeScalar1,Pride2_Sense3,38794411850300,Somnambulists,Pride2_Sense3
START,ComputeScalar1,Pride2_Sense3,38794411884200,Somnambulists,Pride2_Sense3
STOP,ComputeScalar1,Pride2_Sense3,38794412935300,Somnambulists,Pride2_Sense3
STOP,Collect2,Sense4,38794414683000,Somnambulists,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,38794414777100,Somnambulists,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,38794414798600,Somnambulists,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,38794414814600,Somnambulists,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,38794414843000,Somnambulists,Pride1_Sense4
STOP,Tokenize1,Pride2,38794415292100,Somnambulists,Pride2_Sense4
QUEUE,Collect1,Pride2,38794415354200,Somnambulists,Pride2_Sense4
START,Collect1,Pride2,38794415378000,Somnambulists,Pride2_Sense4
QUEUE,Tokenize1,Pride2,38794415356000,Somnambulists,Pride2_Sense5
START,Tokenize1,Pride2,38794415413400,Somnambulists,Pride2_Sense5
STOP,ComputeScalar2,Pride1_Sense4,38794416038700,Somnambulists,Pride1_Sense4
STOP,Collect1,Pride2,38794417212600,Somnambulists,Pride2_Sense4
QUEUE,ComputeScalar1,Pride2_Sense4,38794417302300,Somnambulists,Pride2_Sense4
START,ComputeScalar1,Pride2_Sense4,38794417331500,Somnambulists,Pride2_Sense4
STOP,ComputeScalar1,Pride2_Sense4,38794418329600,Somnambulists,Pride2_Sense4
STOP,Tokenize1,Pride2,38794420540400,Somnambulists,Pride2_Sense5
QUEUE,Tokenize1,Pride2,38794420618000,Somnambulists,Pride2_Sense6
QUEUE,Collect1,Pride2,38794420623100,Somnambulists,Pride2_Sense5
START,Collect1,Pride2,38794420659600,Somnambulists,Pride2_Sense5
START,Tokenize1,Pride2,38794420632100,Somnambulists,Pride2_Sense6
STOP,ComputeScalar3,Pride1_Sense4,38794420768600,Somnambulists,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,38794420822700,Somnambulists,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,38794420837700,Somnambulists,Pride1_Sense4
STOP,ComputeCosine,Pride1_Sense4,38794420860300,Somnambulists,Pride1_Sense4
STOP,Collect1,Pride2,38794422524100,Somnambulists,Pride2_Sense5
QUEUE,ComputeScalar1,Pride2_Sense5,38794422604100,Somnambulists,Pride2_Sense5
START,ComputeScalar1,Pride2_Sense5,38794422630000,Somnambulists,Pride2_Sense5
STOP,ComputeScalar1,Pride2_Sense5,38794423507300,Somnambulists,Pride2_Sense5
STOP,Tokenize1,Pride2,38794426113000,Somnambulists,Pride2_Sense6
QUEUE,Collect1,Pride2,38794426195400,Somnambulists,Pride2_Sense6
START,Collect1,Pride2,38794426219500,Somnambulists,Pride2_Sense6
QUEUE,Tokenize1,Pride3,38794426198200,Somnambulists,Pride3_Sense1
START,Tokenize1,Pride3,38794426254200,Somnambulists,Pride3_Sense1
STOP,Collect1,Pride2,38794428167500,Somnambulists,Pride2_Sense6
QUEUE,ComputeScalar1,Pride2_Sense6,38794428402700,Somnambulists,Pride2_Sense6
START,ComputeScalar1,Pride2_Sense6,38794428491300,Somnambulists,Pride2_Sense6
STOP,ComputeScalar1,Pride2_Sense6,38794429492200,Somnambulists,Pride2_Sense6
STOP,Tokenize1,Pride3,38794435833600,Somnambulists,Pride3_Sense1
QUEUE,Tokenize1,Pride3,38794435968900,Somnambulists,Pride3_Sense2
START,Tokenize1,Pride3,38794435989000,Somnambulists,Pride3_Sense2
QUEUE,Collect1,Pride3,38794435991800,Somnambulists,Pride3_Sense1
START,Collect1,Pride3,38794436041900,Somnambulists,Pride3_Sense1
STOP,Collect1,Pride3,38794440803200,Somnambulists,Pride3_Sense1
QUEUE,ComputeScalar1,Pride3_Sense1,38794440998400,Somnambulists,Pride3_Sense1
START,ComputeScalar1,Pride3_Sense1,38794441037100,Somnambulists,Pride3_Sense1
STOP,ComputeScalar1,Pride3_Sense1,38794443441000,Somnambulists,Pride3_Sense1
STOP,Tokenize2,Sense5,38794445116500,Somnambulists,Pride1_Sense5
QUEUE,Tokenize2,Sense6,38794445196900,Somnambulists,Pride1_Sense6
QUEUE,Collect2,Sense5,38794445198000,Somnambulists,Pride1_Sense5
START,Collect2,Sense5,38794445246600,Somnambulists,Pride1_Sense5
START,Tokenize2,Sense6,38794445216000,Somnambulists,Pride1_Sense6
STOP,Tokenize1,Pride3,38794446891700,Somnambulists,Pride3_Sense2
QUEUE,Tokenize1,Pride3,38794446966900,Somnambulists,Pride3_Sense3
START,Tokenize1,Pride3,38794446984200,Somnambulists,Pride3_Sense3
QUEUE,Collect1,Pride3,38794446967800,Somnambulists,Pride3_Sense2
START,Collect1,Pride3,38794447019600,Somnambulists,Pride3_Sense2
STOP,Collect1,Pride3,38794451688400,Somnambulists,Pride3_Sense2
QUEUE,ComputeScalar1,Pride3_Sense2,38794452026000,Somnambulists,Pride3_Sense2
START,ComputeScalar1,Pride3_Sense2,38794452104400,Somnambulists,Pride3_Sense2
STOP,ComputeScalar1,Pride3_Sense2,38794454784700,Somnambulists,Pride3_Sense2
STOP,Tokenize1,Pride3,38794458750800,Somnambulists,Pride3_Sense3
QUEUE,Tokenize1,Pride3,38794458890600,Somnambulists,Pride3_Sense4
QUEUE,Collect1,Pride3,38794458893400,Somnambulists,Pride3_Sense3
START,Collect1,Pride3,38794458948200,Somnambulists,Pride3_Sense3
START,Tokenize1,Pride3,38794458906700,Somnambulists,Pride3_Sense4
STOP,Collect1,Pride3,38794463538600,Somnambulists,Pride3_Sense3
QUEUE,ComputeScalar1,Pride3_Sense3,38794463686500,Somnambulists,Pride3_Sense3
START,ComputeScalar1,Pride3_Sense3,38794463720000,Somnambulists,Pride3_Sense3
STOP,ComputeScalar1,Pride3_Sense3,38794466218300,Somnambulists,Pride3_Sense3
STOP,Collect2,Sense5,38794467974000,Somnambulists,Pride1_Sense5
QUEUE,ComputeScalar2,Pride1_Sense5,38794468077300,Somnambulists,Pride1_Sense5
START,ComputeScalar2,Pride1_Sense5,38794468107500,Somnambulists,Pride1_Sense5
QUEUE,ComputeScalar3,Pride1_Sense5,38794468087900,Somnambulists,Pride1_Sense5
START,ComputeScalar3,Pride1_Sense5,38794468136400,Somnambulists,Pride1_Sense5
STOP,ComputeScalar2,Pride1_Sense5,38794469588800,Somnambulists,Pride1_Sense5
STOP,Tokenize1,Pride3,38794469751700,Somnambulists,Pride3_Sense4
QUEUE,Tokenize1,Pride3,38794469817500,Somnambulists,Pride3_Sense5
QUEUE,Collect1,Pride3,38794469830800,Somnambulists,Pride3_Sense4
START,Collect1,Pride3,38794469852400,Somnambulists,Pride3_Sense4
START,Tokenize1,Pride3,38794469835300,Somnambulists,Pride3_Sense5
STOP,Collect1,Pride3,38794474750700,Somnambulists,Pride3_Sense4
QUEUE,ComputeScalar1,Pride3_Sense4,38794474912500,Somnambulists,Pride3_Sense4
START,ComputeScalar1,Pride3_Sense4,38794474957900,Somnambulists,Pride3_Sense4
STOP,ComputeScalar1,Pride3_Sense4,38794477718000,Somnambulists,Pride3_Sense4
STOP,ComputeScalar3,Pride1_Sense5,38794479376700,Somnambulists,Pride1_Sense5
QUEUE,ComputeCosine,Pride1_Sense5,38794479613600,Somnambulists,Pride1_Sense5
START,ComputeCosine,Pride1_Sense5,38794479643800,Somnambulists,Pride1_Sense5
STOP,ComputeCosine,Pride1_Sense5,38794479660400,Somnambulists,Pride1_Sense5
STOP,Tokenize1,Pride3,38794480614300,Somnambulists,Pride3_Sense5
QUEUE,Tokenize1,Pride3,38794480685000,Somnambulists,Pride3_Sense6
QUEUE,Collect1,Pride3,38794480691200,Somnambulists,Pride3_Sense5
START,Collect1,Pride3,38794480717400,Somnambulists,Pride3_Sense5
START,Tokenize1,Pride3,38794480697100,Somnambulists,Pride3_Sense6
STOP,Collect1,Pride3,38794485551800,Somnambulists,Pride3_Sense5
QUEUE,ComputeScalar1,Pride3_Sense5,38794485779400,Somnambulists,Pride3_Sense5
START,ComputeScalar1,Pride3_Sense5,38794485810300,Somnambulists,Pride3_Sense5
STOP,ComputeScalar1,Pride3_Sense5,38794487859400,Somnambulists,Pride3_Sense5
