type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,41372688177600,SyncTask,Pride1_Sense1
QUEUE,Tokenize2,Sense1,41372688285500,SyncTask,Pride1_Sense1
START,Tokenize1,Pride1,41372688577500,SyncTask,Pride1_Sense1
START,Tokenize2,Sense1,41372688600600,SyncTask,Pride1_Sense1
STOP,Tokenize2,Sense1,41372695629100,SyncTask,Pride1_Sense1
QUEUE,Collect2,Sense1,41372695836200,SyncTask,Pride1_Sense1
STOP,Tokenize1,Pride1,41372695970700,SyncTask,Pride1_Sense1
QUEUE,Collect1,Pride1,41372696092200,SyncTask,Pride1_Sense1
START,Collect2,Sense1,41372696246400,SyncTask,Pride1_Sense1
START,Collect1,Pride1,41372696323500,SyncTask,Pride1_Sense1
STOP,Collect1,Pride1,41372822503200,SyncTask,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,41372822712400,SyncTask,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,41372822776800,SyncTask,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,41372822758200,SyncTask,Pride1_Sense1
START,ComputeScalar1,Pride1,41372822859600,SyncTask,Pride1_Sense1
STOP,ComputeScalar1,Pride1,41372824135200,SyncTask,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,41372824251000,SyncTask,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,41372824298100,SyncTask,Pride1_Sense1
STOP,Collect2,Sense1,41372826338800,SyncTask,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,41372826443000,SyncTask,Pride1_Sense1
START,ComputeScalar2,Sense1,41372826514400,SyncTask,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,41372827207600,SyncTask,Pride1_Sense1
STOP,ComputeScalar2,Sense1,41372827900900,SyncTask,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,41372828088700,SyncTask,Pride1_Sense1
QUEUE,Tokenize1,Pride1,41372844621500,SyncTask,Pride1_Sense2
QUEUE,Tokenize2,Sense2,41372844669300,SyncTask,Pride1_Sense2
START,Tokenize1,Pride1,41372844688800,SyncTask,Pride1_Sense2
START,Tokenize2,Sense2,41372844734400,SyncTask,Pride1_Sense2
STOP,Tokenize1,Pride1,41372847613700,SyncTask,Pride1_Sense2
QUEUE,Collect1,Pride1,41372847714100,SyncTask,Pride1_Sense2
START,Collect1,Pride1,41372847753800,SyncTask,Pride1_Sense2
STOP,Tokenize2,Sense2,41372848301900,SyncTask,Pride1_Sense2
QUEUE,Collect2,Sense2,41372848411400,SyncTask,Pride1_Sense2
START,Collect2,Sense2,41372848449400,SyncTask,Pride1_Sense2
STOP,Collect1,Pride1,41372956019700,SyncTask,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,41372956208400,SyncTask,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,41372956286800,SyncTask,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,41372956400600,SyncTask,Pride1_Sense2
START,ComputeScalar1,Pride1,41372956461500,SyncTask,Pride1_Sense2
STOP,ComputeScalar1,Pride1,41372957462000,SyncTask,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,41372957564000,SyncTask,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,41372957612800,SyncTask,Pride1_Sense2
STOP,Collect2,Sense2,41373259947000,SyncTask,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,41373260189900,SyncTask,Pride1_Sense2
START,ComputeScalar2,Sense2,41373260241200,SyncTask,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,41373261139400,SyncTask,Pride1_Sense2
STOP,ComputeScalar2,Sense2,41373262327000,SyncTask,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,41373262465100,SyncTask,Pride1_Sense2
QUEUE,Tokenize1,Pride1,41373279688300,SyncTask,Pride1_Sense3
START,Tokenize1,Pride1,41373279726600,SyncTask,Pride1_Sense3
QUEUE,Tokenize2,Sense3,41373279807000,SyncTask,Pride1_Sense3
START,Tokenize2,Sense3,41373279850300,SyncTask,Pride1_Sense3
STOP,Tokenize1,Pride1,41373281135300,SyncTask,Pride1_Sense3
QUEUE,Collect1,Pride1,41373281248700,SyncTask,Pride1_Sense3
START,Collect1,Pride1,41373281305100,SyncTask,Pride1_Sense3
STOP,Tokenize2,Sense3,41373284946600,SyncTask,Pride1_Sense3
QUEUE,Collect2,Sense3,41373285105800,SyncTask,Pride1_Sense3
START,Collect2,Sense3,41373285162900,SyncTask,Pride1_Sense3
STOP,Collect1,Pride1,41373389885500,SyncTask,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,41373390079400,SyncTask,Pride1_Sense3
START,ComputeScalar1,Pride1,41373390133600,SyncTask,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,41373390228400,SyncTask,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,41373390271200,SyncTask,Pride1_Sense3
STOP,ComputeScalar1,Pride1,41373391128800,SyncTask,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,41373391233800,SyncTask,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,41373391266500,SyncTask,Pride1_Sense3
STOP,Collect2,Sense3,41374722749900,SyncTask,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,41374722898800,SyncTask,Pride1_Sense3
START,ComputeScalar2,Sense3,41374722935000,SyncTask,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,41374724101800,SyncTask,Pride1_Sense3
STOP,ComputeScalar2,Sense3,41374726146100,SyncTask,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,41374726245300,SyncTask,Pride1_Sense3
QUEUE,Tokenize1,Pride1,41374739388300,SyncTask,Pride1_Sense4
START,Tokenize1,Pride1,41374739418700,SyncTask,Pride1_Sense4
QUEUE,Tokenize2,Sense4,41374739485900,SyncTask,Pride1_Sense4
START,Tokenize2,Sense4,41374739512600,SyncTask,Pride1_Sense4
STOP,Tokenize1,Pride1,41374740347500,SyncTask,Pride1_Sense4
QUEUE,Collect1,Pride1,41374740445400,SyncTask,Pride1_Sense4
START,Collect1,Pride1,41374740481100,SyncTask,Pride1_Sense4
STOP,Tokenize2,Sense4,41374745368800,SyncTask,Pride1_Sense4
QUEUE,Collect2,Sense4,41374745459700,SyncTask,Pride1_Sense4
START,Collect2,Sense4,41374745494300,SyncTask,Pride1_Sense4
STOP,Collect1,Pride1,41374840384000,SyncTask,Pride1_Sense4
QUEUE,ComputeScalar3,Pride1_Sense4,41374840562500,SyncTask,Pride1_Sense4
START,ComputeScalar3,Pride1_Sense4,41374840599200,SyncTask,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,41374840718300,SyncTask,Pride1_Sense4
START,ComputeScalar1,Pride1,41374840759000,SyncTask,Pride1_Sense4
STOP,ComputeScalar1,Pride1,41374841725000,SyncTask,Pride1_Sense4
QUEUE,ComputeCosine,Pride1_Sense4,41374841805500,SyncTask,Pride1_Sense4
START,ComputeCosine,Pride1_Sense4,41374841832500,SyncTask,Pride1_Sense4
STOP,Collect2,Sense4,41380130139400,SyncTask,Pride1_Sense4
QUEUE,ComputeScalar2,Sense4,41380130345600,SyncTask,Pride1_Sense4
START,ComputeScalar2,Sense4,41380130387900,SyncTask,Pride1_Sense4
STOP,ComputeScalar3,Pride1_Sense4,41380131550900,SyncTask,Pride1_Sense4
STOP,ComputeScalar2,Sense4,41380137588600,SyncTask,Pride1_Sense4
