type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,72133933492400,tamasok,Pride1_Sense1
QUEUE,Tokenize2,Sense1,72133933492600,tamasok,Pride1_Sense1
START,Tokenize2,Sense1,72133940043200,tamasok,Pride1_Sense1
START,Tokenize1,Pride1,72133940043200,tamasok,Pride1_Sense1
STOP,Tokenize1,Pride1,72134615872900,tamasok,Pride1_Sense1
STOP,Tokenize2,Sense1,72134716044800,tamasok,Pride1_Sense1
QUEUE,Collect2,Sense1,72134959685900,tamasok,Pride1_Sense1
START,Collect2,Sense1,72135003935400,tamasok,Pride1_Sense1
STOP,Collect2,Sense1,72135048775700,tamasok,Pride1_Sense1
QUEUE,Collect1,Pride1,72134960211800,tamasok,Pride1_Sense1
START,Collect1,Pride1,72135088900000,tamasok,Pride1_Sense1
STOP,Collect1,Pride1,72135118322600,tamasok,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,72135531665300,tamasok,Pride1_Sense1
START,ComputeScalar3,Sense1,72135533993200,tamasok,Pride1_Sense1
STOP,ComputeScalar3,Sense1,72135537300100,tamasok,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,72135532504500,tamasok,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,72135532607000,tamasok,Pride1_Sense1
START,ComputeScalar1,Pride1,72135551374900,tamasok,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,72135551235300,tamasok,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,72135554355400,tamasok,Pride1_Sense1
STOP,ComputeScalar1,Pride1,72135554337800,tamasok,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,72136058620000,tamasok,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,72136127609100,tamasok,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,72136162667800,tamasok,Pride1_Sense1
QUEUE,Tokenize1,Pride1,72136248187300,tamasok,Pride1_Sense2
START,Tokenize1,Pride1,72136250191700,tamasok,Pride1_Sense2
QUEUE,Tokenize2,Sense2,72136295546200,tamasok,Pride1_Sense2
START,Tokenize2,Sense2,72136297837500,tamasok,Pride1_Sense2
STOP,Tokenize1,Pride1,72136573432600,tamasok,Pride1_Sense2
QUEUE,Collect1,Pride1,72136676973800,tamasok,Pride1_Sense2
START,Collect1,Pride1,72136679306500,tamasok,Pride1_Sense2
STOP,Collect1,Pride1,72136683570500,tamasok,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,72137109114700,tamasok,Pride1_Sense2
START,ComputeScalar1,Pride1,72137161875800,tamasok,Pride1_Sense2
STOP,ComputeScalar1,Pride1,72137196867400,tamasok,Pride1_Sense2
STOP,Tokenize2,Sense2,72138269817200,tamasok,Pride1_Sense2
QUEUE,Collect2,Sense2,72138699745900,tamasok,Pride1_Sense2
START,Collect2,Sense2,72138732840200,tamasok,Pride1_Sense2
STOP,Collect2,Sense2,72138770482600,tamasok,Pride1_Sense2
QUEUE,ComputeScalar3,Sense2,72139168675500,tamasok,Pride1_Sense2
START,ComputeScalar3,Sense2,72139197579600,tamasok,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,72139201403000,tamasok,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,72139237118900,tamasok,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,72139264528000,tamasok,Pride1_Sense2
STOP,ComputeScalar3,Sense2,72139231414100,tamasok,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,72139363395600,tamasok,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,72139399454100,tamasok,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,72139432426800,tamasok,Pride1_Sense2
QUEUE,Tokenize1,Pride1,72139677182800,tamasok,Pride1_Sense3
START,Tokenize1,Pride1,72139679272800,tamasok,Pride1_Sense3
QUEUE,Tokenize2,Sense3,72139880051100,tamasok,Pride1_Sense3
START,Tokenize2,Sense3,72139884730300,tamasok,Pride1_Sense3
STOP,Tokenize1,Pride1,72140142695500,tamasok,Pride1_Sense3
QUEUE,Collect1,Pride1,72140358818200,tamasok,Pride1_Sense3
START,Collect1,Pride1,72140421292600,tamasok,Pride1_Sense3
STOP,Collect1,Pride1,72140464296400,tamasok,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,72140945707400,tamasok,Pride1_Sense3
START,ComputeScalar1,Pride1,72140979656800,tamasok,Pride1_Sense3
STOP,ComputeScalar1,Pride1,72141015690000,tamasok,Pride1_Sense3
STOP,Tokenize2,Sense3,72151515980000,tamasok,Pride1_Sense3
QUEUE,Collect2,Sense3,72151960109800,tamasok,Pride1_Sense3
START,Collect2,Sense3,72151993611400,tamasok,Pride1_Sense3
STOP,Collect2,Sense3,72152061410800,tamasok,Pride1_Sense3
QUEUE,ComputeScalar3,Sense3,72152464981000,tamasok,Pride1_Sense3
START,ComputeScalar3,Sense3,72152489988700,tamasok,Pride1_Sense3
STOP,ComputeScalar3,Sense3,72152503304900,tamasok,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,72152467565900,tamasok,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,72152555938500,tamasok,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,72152590181000,tamasok,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,72152643093100,tamasok,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,72152675816900,tamasok,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,72152708838100,tamasok,Pride1_Sense3
QUEUE,Tokenize1,Pride1,72152857621600,tamasok,Pride1_Sense4
START,Tokenize1,Pride1,72152860132100,tamasok,Pride1_Sense4
QUEUE,Tokenize2,Sense4,72153104700600,tamasok,Pride1_Sense4
START,Tokenize2,Sense4,72153106982400,tamasok,Pride1_Sense4
STOP,Tokenize1,Pride1,72153267486100,tamasok,Pride1_Sense4
QUEUE,Collect1,Pride1,72153698232200,tamasok,Pride1_Sense4
START,Collect1,Pride1,72153764170000,tamasok,Pride1_Sense4
STOP,Collect1,Pride1,72153810170200,tamasok,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,72154208845500,tamasok,Pride1_Sense4
START,ComputeScalar1,Pride1,72154241945400,tamasok,Pride1_Sense4
STOP,ComputeScalar1,Pride1,72154302412900,tamasok,Pride1_Sense4
STOP,Tokenize2,Sense4,72199705835500,tamasok,Pride1_Sense4
QUEUE,Collect2,Sense4,72199995709600,tamasok,Pride1_Sense4
START,Collect2,Sense4,72200028787000,tamasok,Pride1_Sense4
STOP,Collect2,Sense4,72200073182400,tamasok,Pride1_Sense4
QUEUE,ComputeScalar3,Sense4,72200519315800,tamasok,Pride1_Sense4
START,ComputeScalar3,Sense4,72200525368600,tamasok,Pride1_Sense4
STOP,ComputeScalar3,Sense4,72200561824600,tamasok,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,72200519785000,tamasok,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,72200622302200,tamasok,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,72200653652800,tamasok,Pride1_Sense4
