type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,4059505061375,desiro,Pride1_Sense1
START,Tokenize2,Sense1,4059505120525,desiro,Pride1_Sense1
QUEUE,Tokenize1,Pride1,4059505325210,desiro,Pride1_Sense1
START,Tokenize1,Pride1,4059505345717,desiro,Pride1_Sense1
STOP,Tokenize2,Sense1,4059549573267,desiro,Pride1_Sense1
STOP,Tokenize1,Pride1,4059550355493,desiro,Pride1_Sense1
QUEUE,Collect1,Pride1,4059550612622,desiro,Pride1_Sense1
START,Collect1,Pride1,4059550634609,desiro,Pride1_Sense1
QUEUE,Collect2,Sense1,4059550961564,desiro,Pride1_Sense1
START,Collect2,Sense1,4059550989336,desiro,Pride1_Sense1
STOP,Collect2,Sense1,4059586437665,desiro,Pride1_Sense1
QUEUE,ComputeScalar3,Sense1,4059586662479,desiro,Pride1_Sense1
START,ComputeScalar3,Sense1,4059586708653,desiro,Pride1_Sense1
STOP,ComputeScalar3,Sense1,4059590195210,desiro,Pride1_Sense1
STOP,Collect1,Pride1,4059597488248,desiro,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,4059597666842,desiro,Pride1_Sense1
START,ComputeScalar1,Pride1,4059597727582,desiro,Pride1_Sense1
STOP,ComputeScalar1,Pride1,4059598633524,desiro,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,4059598725740,desiro,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,4059598795173,desiro,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,4059598820614,desiro,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,4059632843545,desiro,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,4059632998597,desiro,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,4059633123919,desiro,Pride1_Sense1
QUEUE,Tokenize2,Sense2,4059638996232,desiro,Pride1_Sense2
START,Tokenize2,Sense2,4059639036531,desiro,Pride1_Sense2
QUEUE,Tokenize1,Pride1,4059640238157,desiro,Pride1_Sense2
START,Tokenize1,Pride1,4059640270016,desiro,Pride1_Sense2
STOP,Tokenize1,Pride1,4059658058174,desiro,Pride1_Sense2
QUEUE,Collect1,Pride1,4059658171939,desiro,Pride1_Sense2
START,Collect1,Pride1,4059658189016,desiro,Pride1_Sense2
STOP,Collect1,Pride1,4059665537423,desiro,Pride1_Sense2
STOP,Tokenize2,Sense2,4059671343082,desiro,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,4059671443676,desiro,Pride1_Sense2
START,ComputeScalar1,Pride1,4059671484693,desiro,Pride1_Sense2
STOP,ComputeScalar1,Pride1,4059672451885,desiro,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,4059672505330,desiro,Pride1_Sense2
