type, name, input_id, time, team, meas_id
QUEUE,Tokenize1,Pride1,941231183229000,igen,Pride1_Sense1
QUEUE,Tokenize2,Sense1,941231183845200,igen,Pride1_Sense1
START,Tokenize1,Pride1,941231184467800,igen,Pride1_Sense1
START,Tokenize2,Sense1,941231184469900,igen,Pride1_Sense1
STOP,Tokenize2,Sense1,941231228004700,igen,Pride1_Sense1
QUEUE,Collect2,Sense1,941231228493900,igen,Pride1_Sense1
START,Collect2,Sense1,941231228693100,igen,Pride1_Sense1
STOP,Tokenize1,Pride1,941231230636800,igen,Pride1_Sense1
QUEUE,Collect1,Pride1,941231230877100,igen,Pride1_Sense1
START,Collect1,Pride1,941231230987000,igen,Pride1_Sense1
STOP,Collect1,Pride1,941231277501800,igen,Pride1_Sense1
STOP,Collect2,Sense1,941231280729000,igen,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,941231281147400,igen,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,941231281835700,igen,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,941231281914100,igen,Pride1_Sense1
START,ComputeScalar1,Pride1,941231281914200,igen,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,941231282131800,igen,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,941231284154800,igen,Pride1_Sense1
STOP,ComputeScalar1,Pride1,941231284625700,igen,Pride1_Sense1
START,ComputeScalar2,Sense1,941231286791900,igen,Pride1_Sense1
STOP,ComputeScalar2,Sense1,941231289808000,igen,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,941231290016000,igen,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,941231290201500,igen,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,941231290410200,igen,Pride1_Sense1
QUEUE,Tokenize1,Pride1,941233376549200,igen,Pride1_Sense2
QUEUE,Tokenize2,Sense2,941233378373900,igen,Pride1_Sense2
START,Tokenize1,Pride1,941233379781700,igen,Pride1_Sense2
START,Tokenize2,Sense2,941233380855600,igen,Pride1_Sense2
STOP,Tokenize1,Pride1,941233455080500,igen,Pride1_Sense2
START,Collect1,Pride1,941233457526400,igen,Pride1_Sense2
QUEUE,Collect1,Pride1,941233472737000,igen,Pride1_Sense2
STOP,Tokenize2,Sense2,941233500590400,igen,Pride1_Sense2
QUEUE,Collect2,Sense2,941233500818900,igen,Pride1_Sense2
START,Collect2,Sense2,941233501092400,igen,Pride1_Sense2
STOP,Collect1,Pride1,941233546284600,igen,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,941233547874800,igen,Pride1_Sense2
START,ComputeScalar1,Pride1,941233548668700,igen,Pride1_Sense2
STOP,ComputeScalar1,Pride1,941233550656100,igen,Pride1_Sense2
STOP,Collect2,Sense2,941233553351200,igen,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,941233553973000,igen,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,941233554066000,igen,Pride1_Sense2
START,ComputeScalar2,Sense2,941233554450600,igen,Pride1_Sense2
QUEUE,ComputeScalar2,Sense2,941233554492100,igen,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,941233556795400,igen,Pride1_Sense2
STOP,ComputeScalar2,Sense2,941233558292700,igen,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,941233558562700,igen,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,941233558718400,igen,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,941233558870600,igen,Pride1_Sense2
QUEUE,Tokenize1,Pride1,941235620302300,igen,Pride1_Sense3
QUEUE,Tokenize2,Sense3,941235621207300,igen,Pride1_Sense3
START,Tokenize1,Pride1,941235621974900,igen,Pride1_Sense3
START,Tokenize2,Sense3,941235622361900,igen,Pride1_Sense3
STOP,Tokenize1,Pride1,941235710882200,igen,Pride1_Sense3
START,Collect1,Pride1,941235711346200,igen,Pride1_Sense3
QUEUE,Collect1,Pride1,941235714252900,igen,Pride1_Sense3
STOP,Tokenize2,Sense3,941235754773800,igen,Pride1_Sense3
QUEUE,Collect2,Sense3,941235755028000,igen,Pride1_Sense3
START,Collect2,Sense3,941235755148400,igen,Pride1_Sense3
STOP,Collect1,Pride1,941235761163900,igen,Pride1_Sense3
START,ComputeScalar1,Pride1,941235764879000,igen,Pride1_Sense3
STOP,ComputeScalar1,Pride1,941235768968400,igen,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1,941235771897000,igen,Pride1_Sense3
STOP,Collect2,Sense3,941235831113200,igen,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,941235831352900,igen,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,941235831492500,igen,Pride1_Sense3
START,ComputeScalar2,Sense3,941235831948300,igen,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,941235836474600,igen,Pride1_Sense3
QUEUE,ComputeScalar2,Sense3,941235837596500,igen,Pride1_Sense3
STOP,ComputeScalar2,Sense3,941235841199400,igen,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,941235841482500,igen,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,941235841724600,igen,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,941235841874400,igen,Pride1_Sense3
QUEUE,Tokenize1,Pride1,941237718105000,igen,Pride1_Sense4
QUEUE,Tokenize2,Sense4,941237718816700,igen,Pride1_Sense4
START,Tokenize1,Pride1,941237719388700,igen,Pride1_Sense4
START,Tokenize2,Sense4,941237719393300,igen,Pride1_Sense4
STOP,Tokenize1,Pride1,941237781501400,igen,Pride1_Sense4
START,Collect1,Pride1,941237782051400,igen,Pride1_Sense4
QUEUE,Collect1,Pride1,941237784545200,igen,Pride1_Sense4
STOP,Collect1,Pride1,941237820134500,igen,Pride1_Sense4
QUEUE,ComputeScalar1,Pride1,941237821160600,igen,Pride1_Sense4
START,ComputeScalar1,Pride1,941237873935000,igen,Pride1_Sense4
STOP,ComputeScalar1,Pride1,941237877756300,igen,Pride1_Sense4
STOP,Tokenize2,Sense4,941237888843100,igen,Pride1_Sense4
START,Collect2,Sense4,941237889226200,igen,Pride1_Sense4
QUEUE,Collect2,Sense4,941237904746300,igen,Pride1_Sense4
