type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,74740348039400,Koalab,Pride1_Sense1
START,Tokenize1,Pride1,74740349631000,Koalab,Pride1_Sense1
STOP,Tokenize1,Pride1,74740603607800,Koalab,Pride1_Sense1
QUEUE,Collect1,Pride1,74740604266000,Koalab,Pride1_Sense1
QUEUE,Tokenize2,Sense1,74740605216200,Koalab,Pride1_Sense1
START,Tokenize2,Sense1,74740606901300,Koalab,Pride1_Sense1
START,Collect1,Pride1,74740606880100,Koalab,Pride1_Sense1
STOP,Collect1,Pride1,74740610158900,Koalab,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1,74740618157300,Koalab,Pride1_Sense1
START,ComputeScalar1,Pride1,74740619933200,Koalab,Pride1_Sense1
STOP,Tokenize2,Sense1,74740769614700,Koalab,Pride1_Sense1
QUEUE,Collect2,Sense1,74740769703000,Koalab,Pride1_Sense1
START,Collect2,Sense1,74740771391600,Koalab,Pride1_Sense1
STOP,Collect2,Sense1,74740772660900,Koalab,Pride1_Sense1
STOP,ComputeScalar1,Pride1,74740795031200,Koalab,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,74740796113200,Koalab,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,74740796842900,Koalab,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,74740906518300,Koalab,Pride1_Sense1
QUEUE,ComputeScalar2,Sense1,74740908051800,Koalab,Pride1_Sense1
START,ComputeScalar2,Sense1,74740909055600,Koalab,Pride1_Sense1
STOP,ComputeScalar2,Sense1,74740980314100,Koalab,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,74740981197500,Koalab,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,74740986877600,Koalab,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,74740988179100,Koalab,Pride1_Sense1
QUEUE,Tokenize1,Pride1,74740988712400,Koalab,Pride1_Sense2
START,Tokenize1,Pride1,74740989637500,Koalab,Pride1_Sense2
STOP,Tokenize1,Pride1,74741093569000,Koalab,Pride1_Sense2
QUEUE,Collect1,Pride1,74741093646300,Koalab,Pride1_Sense2
QUEUE,Tokenize2,Sense2,74741094332000,Koalab,Pride1_Sense2
START,Collect1,Pride1,74741094643200,Koalab,Pride1_Sense2
START,Tokenize2,Sense2,74741095121000,Koalab,Pride1_Sense2
STOP,Collect1,Pride1,74741096926100,Koalab,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1,74741098558500,Koalab,Pride1_Sense2
START,ComputeScalar1,Pride1,74741099710200,Koalab,Pride1_Sense2
STOP,ComputeScalar1,Pride1,74741173967600,Koalab,Pride1_Sense2
STOP,Tokenize2,Sense2,74741470498400,Koalab,Pride1_Sense2
QUEUE,Collect2,Sense2,74741470569100,Koalab,Pride1_Sense2
START,Collect2,Sense2,74741471450600,Koalab,Pride1_Sense2
STOP,Collect2,Sense2,74741473240700,Koalab,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,74741473375600,Koalab,Pride1_Sense2
