type,name,input_id,time,team,meas_id
QUEUE,Tokenize2,Sense1,17681055904432,nincs,Pride1_Sense1
QUEUE,Tokenize1,Pride1,17681056056451,nincs,Pride1_Sense1
START,Tokenize2,Sense1,17681056129461,nincs,Pride1_Sense1
START,Tokenize1,Pride1,17681056237721,nincs,Pride1_Sense1
STOP,Tokenize2,Sense1,17681103921648,nincs,Pride1_Sense1
QUEUE,Collect2,Sense1,17681104458268,nincs,Pride1_Sense1
START,Collect2,Sense1,17681104603008,nincs,Pride1_Sense1
STOP,Tokenize1,Pride1,17681114195685,nincs,Pride1_Sense1
STOP,Collect2,Sense1,17681115321734,nincs,Pride1_Sense1
QUEUE,Collect1,Pride1,17681115458234,nincs,Pride1_Sense1
START,Collect1,Pride1,17681116370824,nincs,Pride1_Sense1
QUEUE,ComputeScalar3,Pride1_Sense1,17681121305883,nincs,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,17681121467452,nincs,Pride1_Sense1
STOP,ComputeScalar3,Pride1_Sense1,17681127438641,nincs,Pride1_Sense1
STOP,Collect1,Pride1,17681128452381,nincs,Pride1_Sense1
QUEUE,ComputeScalar2,Pride1_Sense1,17681128799781,nincs,Pride1_Sense1
START,ComputeScalar2,Pride1_Sense1,17681128942931,nincs,Pride1_Sense1
QUEUE,ComputeScalar1,Pride1_Sense1,17681129783590,nincs,Pride1_Sense1
STOP,ComputeScalar2,Pride1_Sense1,17681131479730,nincs,Pride1_Sense1
START,ComputeScalar1,Pride1_Sense1,17681131682300,nincs,Pride1_Sense1
STOP,ComputeScalar1,Pride1_Sense1,17681140365058,nincs,Pride1_Sense1
QUEUE,ComputeCosine,Pride1_Sense1,17681140956038,nincs,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,17681141138108,nincs,Pride1_Sense1
STOP,ComputeCosine,Pride1_Sense1,17681141439318,nincs,Pride1_Sense1
QUEUE,Tokenize1,Pride1,17681146291086,nincs,Pride1_Sense2
START,Tokenize1,Pride1,17681146428186,nincs,Pride1_Sense2
QUEUE,Tokenize2,Sense2,17681146469986,nincs,Pride1_Sense2
START,Tokenize2,Sense2,17681146564376,nincs,Pride1_Sense2
STOP,Tokenize1,Pride1,17681163262862,nincs,Pride1_Sense2
QUEUE,Collect1,Pride1,17681163611061,nincs,Pride1_Sense2
START,Collect1,Pride1,17681163708411,nincs,Pride1_Sense2
STOP,Collect1,Pride1,17681167473970,nincs,Pride1_Sense2
QUEUE,ComputeScalar2,Pride1_Sense2,17681168817019,nincs,Pride1_Sense2
START,ComputeScalar2,Pride1_Sense2,17681168969909,nincs,Pride1_Sense2
STOP,ComputeScalar2,Pride1_Sense2,17681174338328,nincs,Pride1_Sense2
STOP,Tokenize2,Sense2,17681179541757,nincs,Pride1_Sense2
QUEUE,Collect2,Sense2,17681179857887,nincs,Pride1_Sense2
START,Collect2,Sense2,17681180164397,nincs,Pride1_Sense2
STOP,Collect2,Sense2,17681195669023,nincs,Pride1_Sense2
QUEUE,ComputeScalar1,Pride1_Sense2,17681196050712,nincs,Pride1_Sense2
START,ComputeScalar1,Pride1_Sense2,17681196158392,nincs,Pride1_Sense2
QUEUE,ComputeScalar3,Pride1_Sense2,17681196563622,nincs,Pride1_Sense2
START,ComputeScalar3,Pride1_Sense2,17681196659902,nincs,Pride1_Sense2
STOP,ComputeScalar3,Pride1_Sense2,17681207517319,nincs,Pride1_Sense2
STOP,ComputeScalar1,Pride1_Sense2,17681208486308,nincs,Pride1_Sense2
QUEUE,ComputeCosine,Pride1_Sense2,17681208728878,nincs,Pride1_Sense2
START,ComputeCosine,Pride1_Sense2,17681208824998,nincs,Pride1_Sense2
STOP,ComputeCosine,Pride1_Sense2,17681208871148,nincs,Pride1_Sense2
QUEUE,Tokenize1,Pride1,17681214903307,nincs,Pride1_Sense3
START,Tokenize1,Pride1,17681215061097,nincs,Pride1_Sense3
QUEUE,Tokenize2,Sense3,17681218116656,nincs,Pride1_Sense3
START,Tokenize2,Sense3,17681218225466,nincs,Pride1_Sense3
STOP,Tokenize1,Pride1,17681233186262,nincs,Pride1_Sense3
QUEUE,Collect1,Pride1,17681233538912,nincs,Pride1_Sense3
START,Collect1,Pride1,17681233643182,nincs,Pride1_Sense3
STOP,Collect1,Pride1,17681237677411,nincs,Pride1_Sense3
QUEUE,ComputeScalar2,Pride1_Sense3,17681238088810,nincs,Pride1_Sense3
START,ComputeScalar2,Pride1_Sense3,17681238207710,nincs,Pride1_Sense3
STOP,ComputeScalar2,Pride1_Sense3,17681244968019,nincs,Pride1_Sense3
STOP,Tokenize2,Sense3,17681263017183,nincs,Pride1_Sense3
QUEUE,Collect2,Sense3,17681266230342,nincs,Pride1_Sense3
START,Collect2,Sense3,17681266379812,nincs,Pride1_Sense3
STOP,Collect2,Sense3,17681278538259,nincs,Pride1_Sense3
QUEUE,ComputeScalar1,Pride1_Sense3,17681281801168,nincs,Pride1_Sense3
START,ComputeScalar1,Pride1_Sense3,17681281938398,nincs,Pride1_Sense3
QUEUE,ComputeScalar3,Pride1_Sense3,17681286226917,nincs,Pride1_Sense3
START,ComputeScalar3,Pride1_Sense3,17681286380147,nincs,Pride1_Sense3
STOP,ComputeScalar3,Pride1_Sense3,17681301513263,nincs,Pride1_Sense3
STOP,ComputeScalar1,Pride1_Sense3,17681302884823,nincs,Pride1_Sense3
QUEUE,ComputeCosine,Pride1_Sense3,17681303468332,nincs,Pride1_Sense3
START,ComputeCosine,Pride1_Sense3,17681303589382,nincs,Pride1_Sense3
STOP,ComputeCosine,Pride1_Sense3,17681303653952,nincs,Pride1_Sense3
QUEUE,Tokenize1,Pride1,17681306063742,nincs,Pride1_Sense4
START,Tokenize1,Pride1,17681306196952,nincs,Pride1_Sense4
STOP,Tokenize1,Pride1,17681308776871,nincs,Pride1_Sense4
QUEUE,Tokenize2,Sense4,17681309272881,nincs,Pride1_Sense4
START,Tokenize2,Sense4,17681309401481,nincs,Pride1_Sense4
QUEUE,Collect1,Pride1,17681320192388,nincs,Pride1_Sense4
START,Collect1,Pride1,17681320355838,nincs,Pride1_Sense4
STOP,Collect1,Pride1,17681322037798,nincs,Pride1_Sense4
QUEUE,ComputeScalar2,Pride1_Sense4,17681323022837,nincs,Pride1_Sense4
START,ComputeScalar2,Pride1_Sense4,17681323134477,nincs,Pride1_Sense4
STOP,ComputeScalar2,Pride1_Sense4,17681324487397,nincs,Pride1_Sense4
STOP,Tokenize2,Sense4,17681339144423,nincs,Pride1_Sense4
