type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Pride1,504291281815800,tea,Pride1_Sense1
QUEUE,Tokenize2,Sense1,504291282216400,tea,Pride1_Sense1
START,Tokenize1,Pride1,504291282250700,tea,Pride1_Sense1
START,Tokenize2,Sense1,504291282338600,tea,Pride1_Sense1
QUEUE,Tokenize1,Pride1,504291286294100,tea,Pride1_Sense2
QUEUE,Tokenize2,Sense2,504291286420400,tea,Pride1_Sense2
QUEUE,Tokenize1,Pride1,504291290378800,tea,Pride1_Sense3
QUEUE,Tokenize2,Sense3,504291290483800,tea,Pride1_Sense3
QUEUE,Tokenize1,Pride1,504291294813100,tea,Pride1_Sense4
QUEUE,Tokenize2,Sense4,504291294934200,tea,Pride1_Sense4
QUEUE,Tokenize1,Pride1,504291300490700,tea,Pride1_Sense5
QUEUE,Tokenize2,Sense5,504291300621400,tea,Pride1_Sense5
QUEUE,Tokenize1,Pride1,504291304911800,tea,Pride1_Sense6
QUEUE,Tokenize2,Sense6,504291305036600,tea,Pride1_Sense6
QUEUE,Tokenize1,Pride2,504291309457800,tea,Pride2_Sense1
QUEUE,Tokenize2,Sense1,504291309675100,tea,Pride2_Sense1
QUEUE,Tokenize1,Pride2,504291310450700,tea,Pride2_Sense2
QUEUE,Tokenize2,Sense2,504291310616500,tea,Pride2_Sense2
QUEUE,Tokenize1,Pride2,504291311329400,tea,Pride2_Sense3
QUEUE,Tokenize2,Sense3,504291311426900,tea,Pride2_Sense3
QUEUE,Tokenize1,Pride2,504291312153300,tea,Pride2_Sense4
QUEUE,Tokenize2,Sense4,504291312239600,tea,Pride2_Sense4
QUEUE,Tokenize1,Pride2,504291313129900,tea,Pride2_Sense5
QUEUE,Tokenize2,Sense5,504291313218100,tea,Pride2_Sense5
QUEUE,Tokenize1,Pride2,504291314462500,tea,Pride2_Sense6
QUEUE,Tokenize2,Sense6,504291314560400,tea,Pride2_Sense6
QUEUE,Tokenize1,Pride3,504291317733800,tea,Pride3_Sense1
QUEUE,Tokenize2,Sense1,504291317835200,tea,Pride3_Sense1
QUEUE,Tokenize1,Pride3,504291318548300,tea,Pride3_Sense2
QUEUE,Tokenize2,Sense2,504291318793600,tea,Pride3_Sense2
QUEUE,Tokenize1,Pride3,504291319908800,tea,Pride3_Sense3
QUEUE,Tokenize2,Sense3,504291320014700,tea,Pride3_Sense3
QUEUE,Tokenize1,Pride3,504291320956500,tea,Pride3_Sense4
QUEUE,Tokenize2,Sense4,504291321067000,tea,Pride3_Sense4
QUEUE,Tokenize1,Pride3,504291322184400,tea,Pride3_Sense5
QUEUE,Tokenize2,Sense5,504291322287400,tea,Pride3_Sense5
QUEUE,Tokenize1,Pride3,504291323694100,tea,Pride3_Sense6
QUEUE,Tokenize2,Sense6,504291323801600,tea,Pride3_Sense6
QUEUE,Tokenize1,Pride4,504291329843300,tea,Pride4_Sense1
QUEUE,Tokenize2,Sense1,504291329996700,tea,Pride4_Sense1
QUEUE,Tokenize1,Pride4,504291330995200,tea,Pride4_Sense2
QUEUE,Tokenize2,Sense2,504291331324400,tea,Pride4_Sense2
QUEUE,Tokenize1,Pride4,504291332477400,tea,Pride4_Sense3
QUEUE,Tokenize2,Sense3,504291332657600,tea,Pride4_Sense3
STOP,Tokenize2,Sense1,504291333457100,tea,Pride1_Sense1
QUEUE,Collect2,Sense1,504291333561600,tea,Pride1_Sense1
