type,name,input_id,time,team,meas_id
START,Tokenize1,Sense1,979477067130,Analytics-Team-1,Pride1_Sense1
START,Tokenize2,Pride1,979477069670,Analytics-Team-1,Pride1_Sense1
END,Tokenize1,Sense1,979484561920,Analytics-Team-1,Pride1_Sense1
END,Tokenize2,Pride1,979484764139,Analytics-Team-1,Pride1_Sense1
START,Collect1,Sense1,979540483730,Analytics-Team-1,Pride1_Sense1
START,Collect2,Pride1,979549264206,Analytics-Team-1,Pride1_Sense1
END,Collect1,Sense1,979562060603,Analytics-Team-1,Pride1_Sense1
END,Collect2,Pride1,979562862630,Analytics-Team-1,Pride1_Sense1
START,ComputeScalar2,Pride1,979569795642,Analytics-Team-1,Pride1_Sense1
START,ComputeScalar1,Sense1,979572040836,Analytics-Team-1,Pride1_Sense1
START,ComputeScalar3,Pride1_Sense1,979574834048,Analytics-Team-1,Pride1_Sense1
END,ComputeScalar2,Pride1,979575981675,Analytics-Team-1,Pride1_Sense1
END,ComputeScalar3,Pride1_Sense1,979577245962,Analytics-Team-1,Pride1_Sense1
END,ComputeScalar1,Sense1,979577386501,Analytics-Team-1,Pride1_Sense1
START,ComputeCosine,Pride1_Sense1,979577632641,Analytics-Team-1,Pride1_Sense1
END,ComputeCosine,Pride1_Sense1,979577725550,Analytics-Team-1,Pride1_Sense1
START,Tokenize2,Pride2,979585016601,Analytics-Team-1,Pride2_Sense1
START,Tokenize1,Sense1,979585015521,Analytics-Team-1,Pride2_Sense1
END,Tokenize1,Sense1,979586021498,Analytics-Team-1,Pride2_Sense1
END,Tokenize2,Pride2,979586641856,Analytics-Team-1,Pride2_Sense1
START,Collect1,Sense1,979613083796,Analytics-Team-1,Pride2_Sense1
END,Collect1,Sense1,979616530356,Analytics-Team-1,Pride2_Sense1
START,Collect2,Pride2,979619723008,Analytics-Team-1,Pride2_Sense1
START,ComputeScalar1,Sense1,979620527086,Analytics-Team-1,Pride2_Sense1
END,ComputeScalar1,Sense1,979621925682,Analytics-Team-1,Pride2_Sense1
END,Collect2,Pride2,979626981428,Analytics-Team-1,Pride2_Sense1
START,ComputeScalar2,Pride2,979633819080,Analytics-Team-1,Pride2_Sense1
START,ComputeScalar3,Pride2_Sense1,979637080111,Analytics-Team-1,Pride2_Sense1
END,ComputeScalar2,Pride2,979638958616,Analytics-Team-1,Pride2_Sense1
END,ComputeScalar3,Pride2_Sense1,979642584167,Analytics-Team-1,Pride2_Sense1
START,ComputeCosine,Pride2_Sense1,979642787756,Analytics-Team-1,Pride2_Sense1
END,ComputeCosine,Pride2_Sense1,979642864626,Analytics-Team-1,Pride2_Sense1
START,Tokenize1,Sense1,979645498909,Analytics-Team-1,Pride3_Sense1
START,Tokenize2,Pride3,979645523289,Analytics-Team-1,Pride3_Sense1
END,Tokenize1,Sense1,979646101898,Analytics-Team-1,Pride3_Sense1
END,Tokenize2,Pride3,979647470294,Analytics-Team-1,Pride3_Sense1
START,Collect1,Sense1,979658644604,Analytics-Team-1,Pride3_Sense1
END,Collect1,Sense1,979661215607,Analytics-Team-1,Pride3_Sense1
START,ComputeScalar1,Sense1,979665179236,Analytics-Team-1,Pride3_Sense1
END,ComputeScalar1,Sense1,979666640062,Analytics-Team-1,Pride3_Sense1
START,Collect2,Pride3,979695775274,Analytics-Team-1,Pride3_Sense1
END,Collect2,Pride3,979701063870,Analytics-Team-1,Pride3_Sense1
START,ComputeScalar2,Pride3,979711876691,Analytics-Team-1,Pride3_Sense1
START,ComputeScalar3,Pride3_Sense1,979716198399,Analytics-Team-1,Pride3_Sense1
END,ComputeScalar2,Pride3,979722958032,Analytics-Team-1,Pride3_Sense1
END,ComputeScalar3,Pride3_Sense1,979726088023,Analytics-Team-1,Pride3_Sense1
START,ComputeCosine,Pride3_Sense1,979726329583,Analytics-Team-1,Pride3_Sense1
END,ComputeCosine,Pride3_Sense1,979726427842,Analytics-Team-1,Pride3_Sense1
START,Tokenize2,Pride4,979730367452,Analytics-Team-1,Pride4_Sense1
START,Tokenize1,Sense1,979730382962,Analytics-Team-1,Pride4_Sense1
END,Tokenize1,Sense1,979731321819,Analytics-Team-1,Pride4_Sense1
END,Tokenize2,Pride4,979732771335,Analytics-Team-1,Pride4_Sense1
START,Collect1,Sense1,979754082978,Analytics-Team-1,Pride4_Sense1
END,Collect1,Sense1,979755796923,Analytics-Team-1,Pride4_Sense1
START,ComputeScalar1,Sense1,979757080060,Analytics-Team-1,Pride4_Sense1
