type,name,input_id,time,team,meas_id
QUEUE,Tokenize1,Sense2_Pride6,2297449445928422.0,Team-2,Pride6_Sense2
START,Tokenize1,Sense2_Pride6,2297449447188090.0,Team-2,Pride6_Sense2
QUEUE,Tokenize2,Sense2_Pride6,2297449447927074.0,Team-2,Pride6_Sense2
START,Tokenize2,Sense2_Pride6,2297449449799404.0,Team-2,Pride6_Sense2
STOP,Tokenize2,Sense2_Pride6,2297449485702116.0,Team-2,Pride6_Sense2
QUEUE,Collect1,Sense2_Pride6,2297449487332855.0,Team-2,Pride6_Sense2
START,Collect1,Sense2_Pride6,2297449487771034.0,Team-2,Pride6_Sense2
STOP,Collect1,Sense2_Pride6,2297449532927234.0,Team-2,Pride6_Sense2
QUEUE,ComputeScalar1,Sense2_Pride6,2297449533755038.0,Team-2,Pride6_Sense2
START,ComputeScalar1,Sense2_Pride6,2297449533982023.0,Team-2,Pride6_Sense2
STOP,ComputeScalar1,Sense2_Pride6,2297449534856409.0,Team-2,Pride6_Sense2
STOP,Tokenize1,Sense2_Pride6,2297449605556119.0,Team-2,Pride6_Sense2
QUEUE,Collect2,Sense2_Pride6,2297449606242206.0,Team-2,Pride6_Sense2
START,Collect2,Sense2_Pride6,2297449606577354.0,Team-2,Pride6_Sense2
STOP,Collect2,Sense2_Pride6,2297449764594050.0,Team-2,Pride6_Sense2
QUEUE,ComputeScalar2,Sense2_Pride6,2297449765452251.0,Team-2,Pride6_Sense2
QUEUE,ComputeScalar3,Sense2_Pride6,2297449766084651.0,Team-2,Pride6_Sense2
START,ComputeScalar3,Sense2_Pride6,2297449766281239.0,Team-2,Pride6_Sense2
START,ComputeScalar2,Sense2_Pride6,2297449765712000.0,Team-2,Pride6_Sense2
STOP,ComputeScalar3,Sense2_Pride6,2297449766409930.0,Team-2,Pride6_Sense2
STOP,ComputeScalar2,Sense2_Pride6,2298361710707415.0,Team-2,Pride6_Sense2
QUEUE,ComputeCosine,Sense2_Pride6,2298361711206387.0,Team-2,Pride6_Sense2
START,ComputeCosine,Sense2_Pride6,2298361711330341.0,Team-2,Pride6_Sense2
STOP,ComputeCosine,Sense2_Pride6,2298361711431794.0,Team-2,Pride6_Sense2
QUEUE,Tokenize1,Sense5_Pride3,2294925215513773.0,Team-2,Pride3_Sense5
START,Tokenize1,Sense5_Pride3,2294925216856735.0,Team-2,Pride3_Sense5
QUEUE,Tokenize2,Sense5_Pride3,2294925215513773.0,Team-2,Pride3_Sense5
START,Tokenize2,Sense5_Pride3,2294925218013766.0,Team-2,Pride3_Sense5
